Date,Open,High,Low,Close,Volume,OpenInt
20100531,24.73,24.73,24.73,24.73,0,0
20100630,26.68,26.68,26.68,26.68,0,0
20100730,25.39,25.39,25.39,25.39,0,0
20100831,24.71,24.71,24.71,24.71,0,0
20100930,24.15,24.15,24.15,24.15,0,0
20101029,24.32,24.32,24.32,24.32,0,0
20101130,24.44,24.44,24.44,24.44,0,0
20101231,24.58,24.58,24.58,24.58,0,0
20110131,23.64,23.64,23.64,23.64,0,0
20110228,22.84,22.84,22.84,22.84,0,0
20110331,24.99,24.99,24.99,24.99,0,0
20110429,25.28,25.28,25.28,25.28,0,0
20110531,26.26,26.26,26.26,26.26,0,0
20110630,26.26,26.26,26.26,26.26,0,0
20110831,28.36,28.36,28.36,28.36,0,0
20110930,27.32,27.32,27.32,27.32,0,0
20111031,27.19,27.19,27.19,27.19,0,0
20111130,27.17,27.17,27.17,27.17,0,0
20111230,27.65,27.65,27.65,27.65,0,0
20120131,24.94,24.94,24.94,24.94,0,0
20120229,24.13,24.13,24.13,24.13,0,0
20120330,25.24,25.24,25.24,25.24,0,0
20120430,26.2,26.2,26.2,26.2,0,0
20120531,26.73,26.73,26.73,26.73,0,0
20120629,26.49,26.49,26.49,26.49,0,0
20120731,25.76,25.76,25.76,25.76,0,0
20120831,24.59,24.59,24.59,24.59,0,0
20120928,24.17,24.17,24.17,24.17,0,0
20121031,24.4,24.4,24.4,24.4,0,0
20121130,24.68,24.68,24.68,24.68,0,0
20121231,25.38,25.38,25.38,25.38,0,0
20130131,25.02,25.02,25.02,25.02,0,0
20130228,25.64,25.64,25.64,25.64,0,0
20130329,25.75,25.75,25.75,25.75,0,0
20130430,25.42,25.42,25.42,25.42,0,0
20130531,26.44,26.44,26.44,26.44,0,0
20130628,26.08,26.08,26.08,26.08,0,0
20130731,26.2,26.2,26.2,26.2,0,0
20130830,27.31,27.31,27.31,27.31,0,0
20131031,27.27,27.27,27.27,27.27,0,0
20131129,27.38,27.38,27.38,27.38,0,0
20131231,28.51,28.51,28.51,28.51,0,0
20140131,29.76,29.76,29.76,29.76,0,0
20140228,29.97,29.97,29.97,29.97,0,0
20140331,29.03,29.03,29.03,29.03,0,0
20140430,28.5,28.5,28.5,28.5,0,0
20140530,26.68,26.68,26.68,26.68,0,0
20140630,26.62,26.62,26.62,26.62,0,0
20140731,26.78,26.78,26.78,26.78,0,0
20140829,26.37,26.37,26.37,26.37,0,0
20140930,26.46,26.46,26.46,26.46,0,0
20141031,26.9,26.9,26.9,26.9,0,0
