Date,Open,High,Low,Close,Volume,OpenInt
20100630,7.8,7.8,7.8,7.8,0,0
20100730,11.6,11.6,11.6,11.6,0,0
20100831,10.5,10.5,10.5,10.5,0,0
20110831,4.4,4.4,4.4,4.4,0,0
20110930,1.3,1.3,1.3,1.3,0,0
20111031,4.4,4.4,4.4,4.4,0,0
20111130,2.9,2.9,2.9,2.9,0,0
20111230,-3,-3,-3,-3,0,0
20120131,2.7,2.7,2.7,2.7,0,0
20120229,1.7,1.7,1.7,1.7,0,0
20120330,4,4,4,4,0,0
20120430,22.4,22.4,22.4,22.4,0,0
20120629,18.4,18.4,18.4,18.4,0,0
20120731,5,5,5,5,0,0
20120831,6.4,6.4,6.4,6.4,0,0
20120928,14.4,14.4,14.4,14.4,0,0
20121031,8.6,8.6,8.6,8.6,0,0
20121130,9.7,9.7,9.7,9.7,0,0
20121231,17.9,17.9,17.9,17.9,0,0
20130131,10.8,10.8,10.8,10.8,0,0
20130228,9.4,9.4,9.4,9.4,0,0
20130329,4.5,4.5,4.5,4.5,0,0
20130430,3.3,3.3,3.3,3.3,0,0
20130531,0.2,0.2,0.2,0.2,0,0
20130628,7.1,7.1,7.1,7.1,0,0
20130731,3,3,3,3,0,0
20130830,0.2,0.2,0.2,0.2,0,0
20130930,-3.5,-3.5,-3.5,-3.5,0,0
20131031,-3.1,-3.1,-3.1,-3.1,0,0
20131129,-0.5,-0.5,-0.5,-0.5,0,0
20131231,0.1,0.1,0.1,0.1,0,0
20140215,0.1,0.1,0.1,0.1,0,0
20140216,-3,-3,-3,-3,0,0
20140228,-3.5,-3.5,-3.5,-3.5,0,0
20140331,-2.8,-2.8,-2.8,-2.8,0,0
20140430,-1.9,-1.9,-1.9,-1.9,0,0
20140530,-2,-2,-2,-2,0,0
20140630,-2.2,-2.2,-2.2,-2.2,0,0
20140731,-0.4,-0.4,-0.4,-0.4,0,0
20140829,-3.5,-3.5,-3.5,-3.5,0,0
20140930,0.8,0.8,0.8,0.8,0,0
20141031,-0.5,-0.5,-0.5,-0.5,0,0
20141128,-3.8,-3.8,-3.8,-3.8,0,0
