Date,Open,High,Low,Close,Volume,OpenInt
20100531,0.8,0.8,0.8,0.8,0,0
20100630,1.77,1.77,1.77,1.77,0,0
20100730,2.84,2.84,2.84,2.84,0,0
20100831,0.58,0.58,0.58,0.58,0,0
20100930,1.43,1.43,1.43,1.43,0,0
20101029,1.93,1.93,1.93,1.93,0,0
20101130,1.95,1.95,1.95,1.95,0,0
20101231,0.87,0.87,0.87,0.87,0,0
20110131,2.04,2.04,2.04,2.04,0,0
20110228,2.49,2.49,2.49,2.49,0,0
20110331,1.09,1.09,1.09,1.09,0,0
20110429,1.44,1.44,1.44,1.44,0,0
20110531,3.31,3.31,3.31,3.31,0,0
20110630,2.81,2.81,2.81,2.81,0,0
20110831,0.81,0.81,0.81,0.81,0,0
20110930,1.91,1.91,1.91,1.91,0,0
20111031,2.16,2.16,2.16,2.16,0,0
20111130,3,3,3,3,0,0
20111230,2.01,2.01,2.01,2.01,0,0
20120131,1.5,1.5,1.5,1.5,0,0
20120229,2.68,2.68,2.68,2.68,0,0
20120330,1.58,1.58,1.58,1.58,0,0
20120430,1.26,1.26,1.26,1.26,0,0
20120531,2.48,2.48,2.48,2.48,0,0
20120629,2.25,2.25,2.25,2.25,0,0
20120731,2.88,2.88,2.88,2.88,0,0
20120831,1.73,1.73,1.73,1.73,0,0
20120928,1.93,1.93,1.93,1.93,0,0
20121031,2.73,2.73,2.73,2.73,0,0
20121130,2.95,2.95,2.95,2.95,0,0
20121231,1,1,1,1,0,0
20130131,2.12,2.12,2.12,2.12,0,0
20130228,2.1,2.1,2.1,2.1,0,0
20130329,1.89,1.89,1.89,1.89,0,0
20130430,1.7,1.7,1.7,1.7,0,0
20130531,2.13,2.13,2.13,2.13,0,0
20130628,2.82,2.82,2.82,2.82,0,0
20130731,2.49,2.49,2.49,2.49,0,0
20130830,1.86,1.86,1.86,1.86,0,0
20130930,2.41,2.41,2.41,2.41,0,0
20131031,2.28,2.28,2.28,2.28,0,0
20131129,2.03,2.03,2.03,2.03,0,0
20131231,0.52,0.52,0.52,0.52,0,0
20140131,2.55,2.55,2.55,2.55,0,0
20140228,2.3,2.3,2.3,2.3,0,0
20140331,2,2,2,2,0,0
20140430,2.45,2.45,2.45,2.45,0,0
20140530,2.85,2.85,2.85,2.85,0,0
20140630,1.41,1.41,1.41,1.41,0,0
20140731,3.9,3.9,3.9,3.9,0,0
20140829,1.33,1.33,1.33,1.33,0,0
20140930,2.49,2.49,2.49,2.49,0,0
20141031,3.23,3.23,3.23,3.23,0,0
20141128,3.87,3.87,3.87,3.87,0,0
