Date,Open,High,Low,Close,Volume,OpenInt
20100430,13.1,13.1,13.1,13.1,0,0
20100531,10.6,10.6,10.6,10.6,0,0
20100630,12.4,12.4,12.4,12.4,0,0
20100730,12.7,12.7,12.7,12.7,0,0
20100831,12,12,12,12,0,0
20100930,15.4,15.4,15.4,15.4,0,0
20101029,14.2,14.2,14.2,14.2,0,0
20101130,11.9,11.9,11.9,11.9,0,0
20101231,12.2,12.2,12.2,12.2,0,0
20110131,10.1,10.1,10.1,10.1,0,0
20110228,12.1,12.1,12.1,12.1,0,0
20110331,18.8,18.8,18.8,18.8,0,0
20110429,10.9,10.9,10.9,10.9,0,0
20110531,14.8,14.8,14.8,14.8,0,0
20110630,12.7,12.7,12.7,12.7,0,0
20110729,10.5,10.5,10.5,10.5,0,0
20110831,11.8,11.8,11.8,11.8,0,0
20110930,17.3,17.3,17.3,17.3,0,0
20111031,11.5,11.5,11.5,11.5,0,0
20111130,15.9,15.9,15.9,15.9,0,0
20111230,12.9,12.9,12.9,12.9,0,0
20120131,13.2,13.2,13.2,13.2,0,0
20120229,14.9,14.9,14.9,14.9,0,0
20120330,17.4,17.4,17.4,17.4,0,0
20120430,14.4,14.4,14.4,14.4,0,0
20120531,15.6,15.6,15.6,15.6,0,0
20120629,18,18,18,18,0,0
20120731,16.9,16.9,16.9,16.9,0,0
20120831,16.3,16.3,16.3,16.3,0,0
20120928,16.9,16.9,16.9,16.9,0,0
20121031,15.7,15.7,15.7,15.7,0,0
20121130,16.9,16.9,16.9,16.9,0,0
20121231,12.1,12.1,12.1,12.1,0,0
20130131,13.6,13.6,13.6,13.6,0,0
20130228,16.8,16.8,16.8,16.8,0,0
20130329,17.6,17.6,17.6,17.6,0,0
20130430,17.5,17.5,17.5,17.5,0,0
20130531,14.6,14.6,14.6,14.6,0,0
20130628,15.8,15.8,15.8,15.8,0,0
20130731,15,15,15,15,0,0
20130830,15.8,15.8,15.8,15.8,0,0
20130930,16,16,16,16,0,0
20131031,16.7,16.7,16.7,16.7,0,0
20131129,18.9,18.9,18.9,18.9,0,0
20131231,18.3,18.3,18.3,18.3,0,0
20140131,17.3,17.3,17.3,17.3,0,0
20140228,15.8,15.8,15.8,15.8,0,0
20140331,15,15,15,15,0,0
20140430,17.2,17.2,17.2,17.2,0,0
20140530,18.6,18.6,18.6,18.6,0,0
20140630,16.4,16.4,16.4,16.4,0,0
20140731,22.2,22.2,22.2,22.2,0,0
20140829,17.5,17.5,17.5,17.5,0,0
20140930,18.6,18.6,18.6,18.6,0,0
20141031,20.6,20.6,20.6,20.6,0,0
