Date,Open,High,Low,Close,Volume,OpenInt
20100731,144.1,144.1,144.1,144.1,0,0
20100807,150.1,150.1,150.1,150.1,0,0
20100814,-40.3,-40.3,-40.3,-40.3,0,0
20100821,-39.1,-39.1,-39.1,-39.1,0,0
20100918,-76.5,-76.5,-76.5,-76.5,0,0
20101002,4.8,4.8,4.8,4.8,0,0
20101009,36.2,36.2,36.2,36.2,0,0
20101016,133.8,133.8,133.8,133.8,0,0
20101023,114.5,114.5,114.5,114.5,0,0
20101030,517,517,517,517,0,0
20101225,517,517,517,517,0,0
20110101,235,235,235,235,0,0
20110115,325.4,325.4,325.4,325.4,0,0
20110122,18.4,18.4,18.4,18.4,0,0
20110129,54.2,54.2,54.2,54.2,0,0
20110305,163.6,163.6,163.6,163.6,0,0
20110319,891,891,891,891,0,0
20110326,-13.3,-13.3,-13.3,-13.3,0,0
20110402,144.7,144.7,144.7,144.7,0,0
20110409,389.5,389.5,389.5,389.5,0,0
20110423,34.7,34.7,34.7,34.7,0,0
20110430,510,510,510,510,0,0
20110514,32,32,32,32,0,0
20110521,5.1,5.1,5.1,5.1,0,0
20110528,-83.2,-83.2,-83.2,-83.2,0,0
20110604,8.6,8.6,8.6,8.6,0,0
20110611,-73.7,-73.7,-73.7,-73.7,0,0
20110618,-190.5,-190.5,-190.5,-190.5,0,0
20110625,-31.8,-31.8,-31.8,-31.8,0,0
20110702,186.4,186.4,186.4,186.4,0,0
20110709,278.6,278.6,278.6,278.6,0,0
20110723,2.3,2.3,2.3,2.3,0,0
20110730,-50.8,-50.8,-50.8,-50.8,0,0
20110806,-389.9,-389.9,-389.9,-389.9,0,0
20110813,-400.98,-400.98,-400.98,-400.98,0,0
20110820,-334.9,-334.9,-334.9,-334.9,0,0
20110827,-153.8,-153.8,-153.8,-153.8,0,0
20110924,-58.4,-58.4,-58.4,-58.4,0,0
20111001,-169.3,-169.3,-169.3,-169.3,0,0
20111008,-59,-59,-59,-59,0,0
20111015,86.2,86.2,86.2,86.2,0,0
20111119,-77.2,-77.2,-77.2,-77.2,0,0
20111126,-134.8,-134.8,-134.8,-134.8,0,0
20111203,59,59,59,59,0,0
20111210,-303.9,-303.9,-303.9,-303.9,0,0
20111217,-48.9,-48.9,-48.9,-48.9,0,0
20111231,57.7,57.7,57.7,57.7,0,0
20120107,42.6,42.6,42.6,42.6,0,0
20120114,139.8,139.8,139.8,139.8,0,0
20120121,176.5,176.5,176.5,176.5,0,0
20120128,38.5,38.5,38.5,38.5,0,0
20120208,64.4,64.4,64.4,64.4,0,0
20120215,128.5,128.5,128.5,128.5,0,0
20120222,264.2,264.2,264.2,264.2,0,0
20120229,54.8,54.8,54.8,54.8,0,0
20120303,164.4,164.4,164.4,164.4,0,0
20120310,87.2,87.2,87.2,87.2,0,0
20120317,287.5,287.5,287.5,287.5,0,0
20120324,-243.7,-243.7,-243.7,-243.7,0,0
20120331,132.1,132.1,132.1,132.1,0,0
20120407,53.6,53.6,53.6,53.6,0,0
20120414,203.7,203.7,203.7,203.7,0,0
20120421,-63.1,-63.1,-63.1,-63.1,0,0
20120505,-72.7,-72.7,-72.7,-72.7,0,0
20120512,-258.6,-258.6,-258.6,-258.6,0,0
20120519,-131,-131,-131,-131,0,0
20120526,-113.3,-113.3,-113.3,-113.3,0,0
20120602,-74.7,-74.7,-74.7,-74.7,0,0
20120609,-187.2,-187.2,-187.2,-187.2,0,0
20120616,58.8,58.8,58.8,58.8,0,0
20120623,50,50,50,50,0,0
20120630,-50,-50,-50,-50,0,0
20120707,-3.2,-3.2,-3.2,-3.2,0,0
20120714,-133.8,-133.8,-133.8,-133.8,0,0
20120721,-42.1,-42.1,-42.1,-42.1,0,0
20120728,-76.4,-76.4,-76.4,-76.4,0,0
20120804,-82.6,-82.6,-82.6,-82.6,0,0
20120811,-68.1,-68.1,-68.1,-68.1,0,0
20120818,89.5,89.5,89.5,89.5,0,0
20120825,-135.3,-135.3,-135.3,-135.3,0,0
20120901,-44.8,-44.8,-44.8,-44.8,0,0
20120908,65.9,65.9,65.9,65.9,0,0
20120915,59.8,59.8,59.8,59.8,0,0
20120922,-101.7,-101.7,-101.7,-101.7,0,0
20120929,-239.6,-239.6,-239.6,-239.6,0,0
20121006,118.6,118.6,118.6,118.6,0,0
20121013,-26.1,-26.1,-26.1,-26.1,0,0
20121020,195.2,195.2,195.2,195.2,0,0
20121027,-12.1,-12.1,-12.1,-12.1,0,0
20121103,-27.7,-27.7,-27.7,-27.7,0,0
20121110,-78.6,-78.6,-78.6,-78.6,0,0
20121117,133.3,133.3,133.3,133.3,0,0
20121124,275.8,275.8,275.8,275.8,0,0
20121201,184.3,184.3,184.3,184.3,0,0
20121208,116.8,116.8,116.8,116.8,0,0
20121215,389.6,389.6,389.6,389.6,0,0
20121222,226,226,226,226,0,0
20130105,178.9,178.9,178.9,178.9,0,0
20130112,233.5,233.5,233.5,233.5,0,0
20130119,196.2,196.2,196.2,196.2,0,0
20130126,248.1,248.1,248.1,248.1,0,0
20130206,419.4,419.4,419.4,419.4,0,0
20130214,213.3,213.3,213.3,213.3,0,0
20130220,195.9,195.9,195.9,195.9,0,0
20130227,188.5,188.5,188.5,188.5,0,0
20130302,269.7,269.7,269.7,269.7,0,0
20130309,1121.9,1121.9,1121.9,1121.9,0,0
20130316,471.6,471.6,471.6,471.6,0,0
20130327,-267.6,-267.6,-267.6,-267.6,0,0
20130330,228.1,228.1,228.1,228.1,0,0
20130406,868.6,868.6,868.6,868.6,0,0
20130413,1568.9,1568.9,1568.9,1568.9,0,0
20130420,607.9,607.9,607.9,607.9,0,0
20130504,-26.2,-26.2,-26.2,-26.2,0,0
20130511,879.4,879.4,879.4,879.4,0,0
20130518,715.8,715.8,715.8,715.8,0,0
20130525,-68.5,-68.5,-68.5,-68.5,0,0
20130601,-191.1,-191.1,-191.1,-191.1,0,0
20130608,115.4,115.4,115.4,115.4,0,0
20130615,-3.1,-3.1,-3.1,-3.1,0,0
20130622,171.1,171.1,171.1,171.1,0,0
20130629,479.4,479.4,479.4,479.4,0,0
20130706,485.3,485.3,485.3,485.3,0,0
20130713,398.2,398.2,398.2,398.2,0,0
20130720,349.6,349.6,349.6,349.6,0,0
20130727,-61.8,-61.8,-61.8,-61.8,0,0
20130803,-42.2,-42.2,-42.2,-42.2,0,0
20130810,-148.5,-148.5,-148.5,-148.5,0,0
20130817,48.1,48.1,48.1,48.1,0,0
20130824,-88.8,-88.8,-88.8,-88.8,0,0
20130831,-175,-175,-175,-175,0,0
20130907,185.4,185.4,185.4,185.4,0,0
20130914,152.9,152.9,152.9,152.9,0,0
20130921,182.1,182.1,182.1,182.1,0,0
20130928,338.8,338.8,338.8,338.8,0,0
