Date,Open,High,Low,Close,Volume,OpenInt
20100630,-221,-221,-221,-221,0,0
20100730,-131,-131,-131,-131,0,0
20100831,-57,-57,-57,-57,0,0
20100930,-41,-41,-41,-41,0,0
20101029,172,172,172,172,0,0
20101130,71,71,71,71,0,0
20101231,103,103,103,103,0,0
20110131,36,36,36,36,0,0
20110228,194,194,194,194,0,0
20110331,221,221,221,221,0,0
20110429,232,232,232,232,0,0
20110531,25,25,25,25,0,0
20110708,46,46,46,46,0,0
20110729,117,117,117,117,0,0
20110831,57,57,57,57,0,0
20110930,158,158,158,158,0,0
20111031,100,100,100,100,0,0
20111130,100,100,100,100,0,0
20111230,203,203,203,203,0,0
20120131,243,243,243,243,0,0
20120229,240,240,240,240,0,0
20120330,120,120,120,120,0,0
20120430,115,115,115,115,0,0
20120531,77,77,77,77,0,0
20120629,80,80,80,80,0,0
20120731,141,141,141,141,0,0
20120831,142,142,142,142,0,0
20120928,114,114,114,114,0,0
20121031,138,138,138,138,0,0
20121130,146,146,146,146,0,0
20121231,155,155,155,155,0,0
20130131,157,157,157,157,0,0
20130228,268,268,268,268,0,0
20130329,138,138,138,138,0,0
20130430,149,149,149,149,0,0
20130531,195,195,195,195,0,0
20130628,188,188,188,188,0,0
20130731,104,104,104,104,0,0
20130830,193,193,193,193,0,0
20130930,163,163,163,163,0,0
20131031,200,200,200,200,0,0
20131129,241,241,241,241,0,0
20131231,75,75,75,75,0,0
20140131,129,129,129,129,0,0
20140228,197,197,197,197,0,0
20140331,203,203,203,203,0,0
20140430,288,288,288,288,0,0
20140530,224,224,224,224,0,0
20140630,298,298,298,298,0,0
20140731,212,212,212,212,0,0
20140829,180,180,180,180,0,0
20140930,256,256,256,256,0,0
20141031,243,243,243,243,0,0
20141128,321,321,321,321,0,0
