Date,Open,High,Low,Close,Volume,OpenInt
20100630,1.9,1.9,1.9,1.9,0,0
20100930,2.9,2.9,2.9,2.9,0,0
20101231,2,2,2,2,0,0
20110331,1.2,1.2,1.2,1.2,0,0
20110630,0.9,0.9,0.9,0.9,0,0
20110930,0.5,0.5,0.5,0.5,0,0
20111230,0.4,0.4,0.4,0.4,0,0
20120330,1,1,1,1,0,0
20120629,1.2,1.2,1.2,1.2,0,0
20120928,1.6,1.6,1.6,1.6,0,0
20121231,0.6,0.6,0.6,0.6,0,0
20130329,0,0,0,0,0,0
20130628,0.2,0.2,0.2,0.2,0,0
20130930,0.5,0.5,0.5,0.5,0,0
20131231,2.3,2.3,2.3,2.3,0,0
20140331,0.7,0.7,0.7,0.7,0,0
20140630,1.3,1.3,1.3,1.3,0,0
20140930,1,1,1,1,0,0
