Date,Open,High,Low,Close,Volume,OpenInt
20100430,16.3,16.3,16.3,16.3,0,0
20100531,14.8,14.8,14.8,14.8,0,0
20100630,13.1,13.1,13.1,13.1,0,0
20100730,12.9,12.9,12.9,12.9,0,0
20100831,12.4,12.4,12.4,12.4,0,0
20100930,12,12,12,12,0,0
20101029,13.8,13.8,13.8,13.8,0,0
20101130,12.2,12.2,12.2,12.2,0,0
20101231,12.45,12.45,12.45,12.45,0,0
20110131,16,16,16,16,0,0
20110228,14.3,14.3,14.3,14.3,0,0
20110331,15.5,15.5,15.5,15.5,0,0
20110429,14.7,14.7,14.7,14.7,0,0
20110531,14.5,14.5,14.5,14.5,0,0
20110630,15.4,15.4,15.4,15.4,0,0
20110729,14.73,14.73,14.73,14.73,0,0
20110831,15.2,15.2,15.2,15.2,0,0
20110930,15,15,15,15,0,0
20111031,13,13,13,13,0,0
20111130,11.3,11.3,11.3,11.3,0,0
20111230,12,12,12,12,0,0
20120131,7.4,7.4,7.4,7.4,0,0
20120229,9.2,9.2,9.2,9.2,0,0
20120330,6.4,6.4,6.4,6.4,0,0
20120430,6.3,6.3,6.3,6.3,0,0
20120531,5.4,5.4,5.4,5.4,0,0
20120629,3.1,3.1,3.1,3.1,0,0
20120731,2.6,2.6,2.6,2.6,0,0
20120831,2.1,2.1,2.1,2.1,0,0
20120928,4.3,4.3,4.3,4.3,0,0
20121031,2.6,2.6,2.6,2.6,0,0
20121130,5.6,5.6,5.6,5.6,0,0
20121231,3.7,3.7,3.7,3.7,0,0
20130131,3,3,3,3,0,0
20130228,3.7,3.7,3.7,3.7,0,0
20130329,1.3,1.3,1.3,1.3,0,0
20130430,0.7,0.7,0.7,0.7,0,0
20130531,4.1,4.1,4.1,4.1,0,0
20130628,5.6,5.6,5.6,5.6,0,0
20130731,5.7,5.7,5.7,5.7,0,0
20130830,5.6,5.6,5.6,5.6,0,0
20130930,3.9,3.9,3.9,3.9,0,0
20131031,6.4,6.4,6.4,6.4,0,0
20131129,5.5,5.5,5.5,5.5,0,0
20131231,5.8,5.8,5.8,5.8,0,0
20140131,3.9,3.9,3.9,3.9,0,0
20140228,3.1,3.1,3.1,3.1,0,0
20140331,6.5,6.5,6.5,6.5,0,0
20140430,7.8,7.8,7.8,7.8,0,0
20140530,6.6,6.6,6.6,6.6,0,0
20140630,6.5,6.5,6.5,6.5,0,0
20140731,7.5,7.5,7.5,7.5,0,0
20140829,5.8,5.8,5.8,5.8,0,0
20140930,5.2,5.2,5.2,5.2,0,0
20141031,4.3,4.3,4.3,4.3,0,0
