Date,Open,High,Low,Close,Volume,OpenInt
20080917,9.93,10.13,9.78,10.13,215077,0
20080918,9.77,10.29,9.76,10.26,253785,0
20080919,10.4,10.61,10.34,10.34,455987,0
20080922,10.39,10.42,9.87,9.88,125519,0
20080923,9.88,10.13,9.82,10.09,136206,0
20080924,10.06,10.16,9.59,10.16,82325,0
20080925,10.29,10.39,10.16,10.29,54931,0
20080926,10.3,10.3,9.97,10.23,101726,0
20080929,10.3,10.3,9.88,10.03,484004,0
20080930,9.77,9.99,9.36,9.99,250000,0
20081001,10,10.07,9.77,10.07,30483,0
20081002,10.07,10.07,9.72,9.72,229074,0
20081003,9.72,9.95,9.66,9.69,164706,0
20081006,9.69,9.69,9.18,9.37,180283,0
20081007,9.34,9.7,9.16,9.5,502564,0
20081008,9.63,9.63,8.86,9.25,755446,0
20081009,9.25,9.42,8.99,9.09,444467,0
20081010,8.93,8.93,8.39,8.57,754069,0
20081013,8.73,8.84,8.36,8.7,193074,0
20081014,8.78,9.09,8.7,9,243353,0
20081015,9,9,8.76,8.9,142181,0
20081016,8.81,8.85,8.39,8.85,328835,0
20081017,8.74,8.74,8.16,8.56,271278,0
20081020,8.64,8.76,8.33,8.62,832183,0
20081021,8.62,8.72,8.53,8.7,127468,0
20081022,8.62,8.62,8.14,8.45,121092,0
20081023,8.28,8.38,7.21,7.67,780760,0
20081024,7.72,7.72,7.47,7.57,257236,0
20081027,7.57,7.57,7.02,7.24,512183,0
20081028,7.33,7.52,7.22,7.52,320418,0
20081029,7.55,7.85,7.41,7.79,1022525,0
20081030,7.79,7.91,7.27,7.91,612639,0
20081031,7.94,7.94,7.44,7.91,355524,0
20081103,7.84,7.84,7.5,7.79,91795,0
20081104,7.86,8.43,7.76,8.32,1767513,0
20081105,8.32,8.59,8.2,8.34,1480444,0
20081106,8.19,8.29,7.85,8.23,586725,0
20081107,8.23,8.23,7.96,8.08,180679,0
20081110,8.12,8.49,7.88,8.38,371244,0
20081112,8.42,8.42,7.95,8.3,738797,0
20081113,8.46,8.61,8.31,8.5,123618,0
20081114,8.5,8.52,8.32,8.32,314010,0
20081117,8.32,8.56,8.23,8.39,45703,0
