Date,Open,High,Low,Close,Volume,OpenInt
20101014,5.03,5.03,5.03,5.03,0,0
20101015,4.98,5.08,4.76,4.98,0,0
20101018,4.81,4.88,4.71,4.83,0,0
20101019,4.71,4.88,4.71,4.71,0,0
20101020,4.66,4.76,4.63,4.76,0,0
20101021,4.76,4.98,4.76,4.96,0,0
20101025,4.76,4.86,4.36,4.86,0,0
20101026,4.86,4.86,4.61,4.63,0,0
20101027,4.58,4.58,4.58,4.58,0,0
20101028,4.51,4.51,4.43,4.43,0,0
20101029,4.58,4.58,4.58,4.58,0,0
20101104,4.61,4.61,4.61,4.61,0,0
20101108,4.41,4.53,4.38,4.53,0,0
20101112,4.53,4.53,4.51,4.51,0,0
20101123,4.36,4.36,4.36,4.36,0,0
20101124,4.53,4.53,4.46,4.46,0,0
20101129,4.36,4.61,4.36,4.61,0,0
20101130,4.73,6.67,4.73,6.67,0,0
20101201,6.6,7.92,5.9,6.23,0,0
20101202,6.23,6.32,5.23,5.85,0,0
20101203,5.88,5.88,5.38,5.6,0,0
20101206,5.35,5.65,5.35,5.65,0,0
20101207,5.4,5.73,5.18,5.73,0,0
20101208,5.73,5.9,5.58,5.9,0,0
20101209,5.9,6.23,5.9,5.9,0,0
20101210,5.7,5.85,5.35,5.55,0,0
20101213,5.55,5.55,5.3,5.53,0,0
20101214,5.53,5.65,5.38,5.65,0,0
20101215,5.55,5.7,5.43,5.6,0,0
20101216,5.53,5.7,5.53,5.68,0,0
20101217,5.68,6.35,5.68,6.35,0,0
20101220,6.37,6.95,6.37,6.92,0,0
20101221,6.85,6.85,5.98,6.25,0,0
20101222,6.05,6.05,5.65,5.98,0,0
20101223,5.7,6.18,5.53,5.83,0,0
20101227,5.65,5.78,5.35,5.75,0,0
20101228,5.75,5.75,5.3,5.4,0,0
20101229,5.43,5.6,5.35,5.6,0,0
20101230,5.83,5.83,5.03,5.03,0,0
20101231,5.03,5.35,4.98,5.33,0,0
20110103,5.23,5.95,5.05,5.55,0,0
20110104,5.55,5.83,5.2,5.58,0,0
20110105,5.48,5.48,4.93,5.08,0,0
20110107,4.98,4.98,4.96,4.96,0,0
20110110,4.73,4.86,4.48,4.81,0,0
20110111,4.86,4.86,4.53,4.86,0,0
20110112,4.66,4.91,4.66,4.71,0,0
20110113,4.53,4.71,4.53,4.71,0,0
20110114,4.53,4.71,4.43,4.71,0,0
20110117,4.46,4.66,4.46,4.66,0,0
20110118,4.58,4.83,4.58,4.83,0,0
20110119,4.56,4.78,4.53,4.78,0,0
20110120,4.73,4.73,4.73,4.73,0,0
20110121,4.73,4.73,4.61,4.61,0,0
20110124,4.61,4.78,4.61,4.78,0,0
20110125,4.78,4.86,4.78,4.86,0,0
20110126,4.83,4.83,4.81,4.83,0,0
20110127,4.86,5.6,4.86,5.5,0,0
20110128,5.25,5.25,5.25,5.25,0,0
20110131,5.05,5.2,4.93,5.03,0,0
20110201,4.93,4.93,4.68,4.68,0,0
20110202,4.58,4.58,4.48,4.48,0,0
20110203,4.33,4.91,4.23,4.63,0,0
20110204,4.88,4.93,4.73,4.93,0,0
20110207,4.86,4.91,4.86,4.91,0,0
20110208,4.91,4.91,4.66,4.66,0,0
20110209,4.61,4.61,4.61,4.61,0,0
20110210,4.61,4.68,4.61,4.68,0,0
20110211,4.83,4.86,4.83,4.86,0,0
20110214,4.81,4.81,4.81,4.81,0,0
20110215,4.81,4.81,4.78,4.81,0,0
20110216,4.78,4.81,4.78,4.81,0,0
20110217,4.86,4.86,4.86,4.86,0,0
20110222,4.63,4.63,4.63,4.63,0,0
20110224,4.71,4.71,4.71,4.71,0,0
20110225,4.71,4.78,4.71,4.78,0,0
20110303,4.96,4.96,4.96,4.96,0,0
20110308,4.96,4.96,4.96,4.96,0,0
20110310,4.76,4.76,4.73,4.73,0,0
20110311,4.56,4.56,4.56,4.56,0,0
20110314,4.76,4.76,4.76,4.76,0,0
20110315,4.56,4.76,4.36,4.58,0,0
20110316,4.76,4.76,4.53,4.53,0,0
20110317,4.76,4.76,4.76,4.76,0,0
20110318,4.78,4.78,4.56,4.56,0,0
20110321,4.56,4.68,4.56,4.68,0,0
20110324,4.43,4.56,4.23,4.56,0,0
20110325,4.33,4.33,4.33,4.33,0,0
20110328,4.31,4.56,4.31,4.56,0,0
20110404,4.48,4.66,4.48,4.66,0,0
20110411,4.73,4.73,4.71,4.71,0,0
20110413,4.51,4.51,4.51,4.51,0,0
20110414,4.71,4.98,4.71,4.98,0,0
20110415,4.76,5.15,4.73,5.15,0,0
20110418,5.15,5.15,5.03,5.03,0,0
20110419,4.81,4.93,4.78,4.93,0,0
20110420,4.93,4.93,4.73,4.93,0,0
20110421,4.93,5.1,4.91,4.91,0,0
20110426,4.91,5.08,4.91,5.08,0,0
20110427,5.08,5.08,4.83,5.08,0,0
20110428,5.03,5.1,5.03,5.1,0,0
20110429,5.2,5.85,5.2,5.85,0,0
20110502,4.98,5.85,4.98,5.35,0,0
20110504,5.35,5.35,4.96,5.18,0,0
20110505,4.98,5.18,4.98,5.18,0,0
20110506,4.96,5.18,4.88,5.08,0,0
20110510,5.1,5.28,5.1,5.28,0,0
20110511,5.03,5.2,5.03,5.2,0,0
20110512,5.18,5.6,5.18,5.23,0,0
20110513,5.35,5.35,5.23,5.3,0,0
20110516,5.3,5.35,5.1,5.35,0,0
20110517,5.35,5.35,5.35,5.35,0,0
20110518,5.35,5.35,5.1,5.1,0,0
20110519,5.3,5.3,5.3,5.3,0,0
20110523,5.28,5.33,5.28,5.33,0,0
20110525,5,5,5,5,0,0
20110527,4.91,5.23,4.91,5.23,0,0
20110530,5.23,5.23,5.2,5.2,0,0
20110531,5.1,5.15,5.1,5.15,0,0
