Date,Open,High,Low,Close,Volume,OpenInt
20120919,4.55,4.55,4.55,4.55,0,0
20120920,4.36,4.56,4.17,4.2,0,0
20120921,4.34,4.36,4.22,4.22,0,0
20120924,4.37,4.37,4.28,4.37,0,0
20120925,4.37,4.37,4.37,4.37,0,0
20120926,4.37,4.37,4.34,4.34,0,0
20120927,4.37,4.37,4.36,4.36,0,0
20120928,4.37,4.37,4.34,4.34,0,0
20121001,4.36,4.36,4.28,4.28,0,0
20121002,4.36,4.37,4.24,4.24,0,0
20121003,4.34,4.34,4.18,4.22,0,0
20121004,4.28,4.28,4.11,4.11,0,0
20121005,4.28,4.28,4.28,4.28,0,0
20121008,4.3,4.3,4.3,4.3,0,0
20121009,4.34,4.34,4.13,4.3,0,0
20121010,4.28,4.28,4.28,4.28,0,0
20121011,4.18,4.18,4.18,4.18,0,0
20121012,4.18,4.18,4.18,4.18,0,0
20121015,4.18,4.18,4.18,4.18,0,0
20121016,4.18,4.3,4.18,4.3,0,0
20121017,4.3,4.3,4.3,4.3,0,0
20121018,4.11,4.11,4.11,4.11,0,0
20121019,4.18,4.18,4.18,4.18,0,0
20121022,4.09,4.09,4.05,4.05,0,0
20121023,4.05,4.05,4.05,4.05,0,0
20121024,4.05,4.05,4.05,4.05,0,0
20121026,4.22,4.22,4.22,4.22,0,0
20121029,4.22,4.22,4.22,4.22,0,0
20121030,4.05,4.05,4.05,4.05,0,0
20121031,4.18,4.18,4.18,4.18,0,0
20121105,4.05,4.05,4.05,4.05,0,0
20121106,4.13,4.18,4.13,4.18,0,0
20121107,4.18,4.18,4.18,4.18,0,0
20121108,4.18,4.18,4.18,4.18,0,0
20121109,4.18,4.18,4.18,4.18,0,0
20121112,4.22,4.22,4.18,4.18,0,0
20121113,4.22,4.22,4.22,4.22,0,0
20121114,4.22,4.22,4.22,4.22,0,0
20121115,4.22,4.22,4.22,4.22,0,0
20121116,4.22,4.34,4.22,4.34,0,0
20121119,4.07,4.18,4.07,4.18,0,0
20121120,4.18,4.18,4.18,4.18,0,0
20121121,4.03,4.22,4.03,4.22,0,0
20121122,4.09,4.09,4.09,4.09,0,0
20121123,4.22,4.22,4.22,4.22,0,0
20121126,4.18,4.18,4.18,4.18,0,0
20121127,4.18,4.18,4.18,4.18,0,0
20121128,4.18,4.18,4.18,4.18,0,0
20121129,4.18,4.18,4.18,4.18,0,0
20121130,4.18,4.18,4.18,4.18,0,0
20121203,4.18,4.18,4.18,4.18,0,0
20121204,4.18,4.18,4.18,4.18,0,0
20121205,4.18,4.18,4.18,4.18,0,0
20121206,4.18,4.18,4.18,4.18,0,0
20121207,4.18,4.18,4.18,4.18,0,0
20121210,4.18,4.18,4.18,4.18,0,0
20121211,4.18,4.18,4.18,4.18,0,0
20121212,4.18,4.18,4.18,4.18,0,0
20121213,4.09,4.18,4.09,4.18,0,0
20121214,4.18,4.18,4.18,4.18,0,0
20121217,4.18,4.18,4.18,4.18,0,0
20121218,4.18,4.18,4.18,4.18,0,0
20121219,4.18,4.18,4.18,4.18,0,0
20121220,4.18,4.18,4.18,4.18,0,0
20121221,4.18,4.18,4.18,4.18,0,0
20121227,4.18,4.18,4.18,4.18,0,0
20121228,4.09,4.18,4.09,4.18,0,0
20130102,4.22,4.22,4.22,4.22,0,0
20130104,4.22,4.28,4.22,4.28,0,0
20130107,4.28,4.28,4.28,4.28,0,0
20130108,4.11,4.11,4.11,4.11,0,0
20130109,4.28,4.28,4.18,4.18,0,0
20130110,4.28,4.95,4.28,4.83,0,0
20130111,4.81,4.85,4.66,4.7,0,0
20130114,4.76,4.76,4.76,4.76,0,0
20130115,4.66,5.52,4.66,5.52,0,0
20130117,5.19,5.23,5.19,5.19,0,0
20130118,5.19,5.19,4.96,4.96,0,0
20130121,5.14,5.14,4.96,4.96,0,0
20130122,5.14,5.14,4.85,4.85,0,0
20130123,4.93,4.93,4.93,4.93,0,0
20130124,4.93,4.93,4.77,4.89,0,0
20130125,4.89,4.89,4.66,4.66,0,0
20130128,4.72,4.72,4.56,4.56,0,0
20130129,4.56,4.56,4.56,4.56,0,0
20130130,4.56,4.66,4.56,4.66,0,0
20130131,4.64,4.64,4.64,4.64,0,0
20130201,4.64,4.66,4.64,4.66,0,0
20130204,4.64,4.64,4.64,4.64,0,0
20130205,4.64,4.64,4.64,4.64,0,0
20130206,4.64,4.64,4.62,4.62,0,0
20130207,4.62,4.62,4.62,4.62,0,0
20130208,4.62,4.62,4.62,4.62,0,0
20130211,4.62,4.62,4.62,4.62,0,0
20130212,4.62,4.62,4.62,4.62,0,0
20130213,4.6,4.62,4.6,4.62,0,0
