Date,Open,High,Low,Close,Volume,OpenInt
20120705,25.93,25.93,25.93,25.93,0,0
20120706,25.91,25.93,25.91,25.93,0,0
20120709,25.93,25.93,25.93,25.93,0,0
20120711,24.16,25.33,23.63,25.33,0,0
20120712,23.7,23.7,23.7,23.7,0,0
20120713,23.58,26.52,23.58,26.52,0,0
20120716,24.87,25.34,23.69,25.34,0,0
20120718,25.28,25.34,25.28,25.34,0,0
20120720,26.52,26.52,26.52,26.52,0,0
20120723,26.52,26.52,24.75,25.34,0,0
20120725,25.91,25.91,25.91,25.91,0,0
20120726,25.81,25.81,25.81,25.81,0,0
20120727,25.81,25.81,24.16,24.16,0,0
20120730,23.69,23.69,23.69,23.69,0,0
20120731,23.69,26.28,23.69,24.75,0,0
20120801,23.69,23.69,23.69,23.69,0,0
20120802,23.69,23.69,23.69,23.69,0,0
20120803,23.69,23.69,23.69,23.69,0,0
20120806,25.22,25.22,25.22,25.22,0,0
20120807,24.75,24.75,24.75,24.75,0,0
20120808,23.57,23.57,23.57,23.57,0,0
20120810,22.98,23.57,22.98,23.57,0,0
20120813,24.63,24.63,24.51,24.51,0,0
20120814,23.57,23.57,23.57,23.57,0,0
20120816,23.45,23.45,22.63,22.63,0,0
20120817,24.16,24.16,22.63,22.63,0,0
20120820,23.57,23.57,23.57,23.57,0,0
20120822,22.51,22.51,22.51,22.51,0,0
20120823,22.51,22.51,21.23,21.23,0,0
20120827,22.81,25.1,22.81,25.1,0,0
20120914,22.39,22.39,22.39,22.39,0,0
20120917,23.69,23.69,23.69,23.69,0,0
20120918,23.75,23.75,23.75,23.75,0,0
20120919,23.76,23.77,23.76,23.77,0,0
20120920,23.77,23.78,23.77,23.78,0,0
20120921,23.8,23.8,23.8,23.8,0,0
20120924,23.81,23.81,23.81,23.81,0,0
20120925,23.82,23.82,23.81,23.81,0,0
20120926,23.82,23.83,23.82,23.83,0,0
20120927,23.81,23.93,23.81,23.81,0,0
20121004,24.16,24.16,24.16,24.16,0,0
20121008,24.75,24.75,24.75,24.75,0,0
20121009,24.63,24.63,24.63,24.63,0,0
