Date,Open,High,Low,Close,Volume,OpenInt
20110504,41.56,41.56,41.56,41.56,0,0
20110505,49.81,50.26,31.96,33.91,0,0
20110506,33.91,33.91,25.5,25.5,0,0
20110509,24,24.75,20.4,20.4,0,0
20110510,22.35,22.35,16.95,17.25,0,0
20110511,17.25,18,16.8,17.7,0,0
20110512,17.7,18,17.7,17.85,0,0
20110513,18,18,16.5,17.85,0,0
20110516,18,18,17.4,17.4,0,0
20110517,17.55,17.55,14.1,14.1,0,0
20110518,14.1,16.5,12,16.5,0,0
20110519,16.5,16.5,16.5,16.5,0,0
20110520,15,15,13.8,15,0,0
20110523,14.7,14.7,13.8,14.4,0,0
20110524,14.1,15,12,15,0,0
20110525,14.7,15,13.05,13.5,0,0
20110526,13.5,13.5,12.3,12.9,0,0
20110527,13.35,14.7,13.35,13.95,0,0
20110530,14.25,14.7,13.95,14.7,0,0
20110531,14.7,14.7,13.05,13.5,0,0
20110601,13.5,14.7,13.5,13.8,0,0
20110602,13.5,13.5,13.5,13.5,0,0
20110603,13.95,14.7,13.95,14.7,0,0
20110606,14.7,14.7,13.35,13.35,0,0
20110607,13.35,13.35,13.2,13.2,0,0
20110608,13.35,14.1,13.35,14.1,0,0
20110609,14.25,14.25,14.1,14.1,0,0
20110610,14.25,14.25,13.65,13.65,0,0
20110613,13.65,13.65,13.65,13.65,0,0
20110614,13.35,13.35,13.35,13.35,0,0
20110615,13.35,13.35,13.35,13.35,0,0
20110616,13.35,13.35,12.75,12.75,0,0
20110617,13.2,13.2,13.2,13.2,0,0
20110620,13.35,13.5,12,12,0,0
20110621,11.4,11.55,10.5,11.25,0,0
20110622,11.25,12.75,11.25,12.45,0,0
20110624,12.6,14.55,12.6,13.35,0,0
20110627,14.25,14.25,11.85,13.35,0,0
20110628,13.5,13.65,12.9,12.9,0,0
20110629,12.75,13.35,12.75,13.35,0,0
20110630,13.2,13.2,13.2,13.2,0,0
20110704,13.35,13.35,13.35,13.35,0,0
20110706,13.8,13.8,13.35,13.35,0,0
20110707,13.35,13.35,12.75,12.75,0,0
20110708,12.9,12.9,12.9,12.9,0,0
20110711,12.9,12.9,12.9,12.9,0,0
20110712,12.9,12.9,10.5,10.65,0,0
20110713,9.75,10.05,8.4,10.05,0,0
20110714,10.05,10.05,9.3,9.3,0,0
20110715,9.45,9.45,9.45,9.45,0,0
20110718,9.45,9.45,8.4,8.4,0,0
20110719,8.4,8.4,6.9,6.9,0,0
20110720,7.05,7.65,7.05,7.5,0,0
20110721,7.8,7.8,7.5,7.5,0,0
20110722,7.8,7.8,7.35,7.35,0,0
20110725,7.35,7.35,7.05,7.05,0,0
20110727,7.05,8.1,7.05,8.1,0,0
20110729,8.4,8.55,7.95,7.95,0,0
20110801,8.25,8.55,8.25,8.4,0,0
20110802,8.4,8.4,8.25,8.25,0,0
20110803,8.25,8.4,6.9,7.5,0,0
20110804,8.25,10.8,8.25,9,0,0
20110805,9,9,7.5,9,0,0
20110808,9,9,9,9,0,0
20110809,9,9,7.35,7.5,0,0
20110810,7.5,7.5,7.5,7.5,0,0
20110811,7.35,7.35,7.35,7.35,0,0
20110812,7.5,7.5,6,7.05,0,0
20110816,7.05,7.05,6.15,6.15,0,0
20110817,6.15,6.6,6.15,6.6,0,0
20110818,6.3,6.3,6.3,6.3,0,0
20110823,6.15,6.15,6.15,6.15,0,0
20110825,6.3,7.35,6.3,7.35,0,0
20110826,7.35,7.35,7.35,7.35,0,0
20110829,7.35,7.35,7.05,7.05,0,0
20110830,7.05,7.05,6.9,6.9,0,0
20110831,7.05,7.05,7.05,7.05,0,0
20110901,6.75,6.75,6.3,6.45,0,0
20110905,6.45,6.45,6.45,6.45,0,0
20110907,6.45,6.45,6.45,6.45,0,0
20110908,6,6,6,6,0,0
20110909,5.7,5.7,4.8,4.95,0,0
20110912,5.1,5.1,5.1,5.1,0,0
20110914,4.8,4.8,4.5,4.5,0,0
20110915,4.5,4.5,4.5,4.5,0,0
20110916,4.5,4.5,4.5,4.5,0,0
20110919,4.65,4.65,4.65,4.65,0,0
20110920,4.5,4.5,4.2,4.2,0,0
20110921,4.35,4.95,4.35,4.95,0,0
20110922,4.5,4.5,4.05,4.05,0,0
20110923,4.5,4.5,3.6,3.6,0,0
20110927,3.6,3.6,3.15,3.15,0,0
20110928,3,3.75,3,3.15,0,0
20110929,3.45,3.6,3.45,3.45,0,0
20110930,3.75,4.8,3.75,4.5,0,0
20111003,4.65,5.85,4.65,5.85,0,0
20111004,6.15,6.15,4.95,5.25,0,0
20111005,5.25,5.25,5.25,5.25,0,0
20111006,4.95,4.95,4.2,4.5,0,0
20111007,4.5,4.5,4.5,4.5,0,0
20111011,4.5,4.5,4.5,4.5,0,0
20111012,4.5,4.5,3.75,3.75,0,0
20111013,3.75,3.75,3.75,3.75,0,0
20111014,3.6,3.6,3.6,3.6,0,0
20111018,3.6,3.6,3.45,3.6,0,0
20111019,3.6,4.2,3.6,4.2,0,0
20111020,4.2,4.2,4.2,4.2,0,0
20111021,4.2,4.95,4.2,4.95,0,0
20111024,4.95,5.85,4.95,5.7,0,0
20111025,5.55,6,5.55,6,0,0
20111027,6,6.15,6,6.15,0,0
20111028,6.15,6.45,6.15,6.45,0,0
20111031,6.45,6.45,6.45,6.45,0,0
20111102,6.45,6.45,6,6,0,0
20111103,6,6,6,6,0,0
20111104,5.55,5.55,5.4,5.4,0,0
20111107,5.4,5.7,5.4,5.7,0,0
20111108,5.7,5.7,5.55,5.55,0,0
20111109,5.1,5.1,4.95,4.95,0,0
