Date,Open,High,Low,Close,Volume,OpenInt
20131209,1.56,1.56,1.56,1.56,0,0
20131210,1.54,1.57,1.54,1.56,0,0
20131211,1.56,1.56,1.55,1.55,0,0
20131213,1.54,1.61,1.54,1.61,0,0
20131218,1.62,1.62,1.62,1.62,0,0
20131219,1.62,1.62,1.62,1.62,0,0
20131220,1.61,1.61,1.61,1.61,0,0
20131223,1.61,1.61,1.61,1.61,0,0
20131227,1.61,1.61,1.61,1.61,0,0
20131230,1.61,1.61,1.61,1.61,0,0
20140102,1.61,1.61,1.6,1.6,0,0
20140103,1.61,1.61,1.61,1.61,0,0
20140107,1.6,1.6,1.6,1.6,0,0
20140108,1.59,1.59,1.59,1.59,0,0
20140109,1.59,1.59,1.5,1.57,0,0
20140115,1.56,1.56,1.56,1.56,0,0
20140120,1.56,1.56,1.56,1.56,0,0
20140123,1.58,1.58,1.56,1.56,0,0
20140131,1.54,1.54,1.54,1.54,0,0
20140203,1.54,1.55,1.54,1.55,0,0
20140205,1.59,1.59,1.59,1.59,0,0
20140206,1.59,1.59,1.59,1.59,0,0
20140207,1.59,1.59,1.59,1.59,0,0
20140210,1.59,1.59,1.59,1.59,0,0
20140211,1.6,1.6,1.6,1.6,0,0
20140212,1.6,1.6,1.58,1.59,0,0
20140213,1.59,1.66,1.59,1.66,0,0
20140214,1.66,1.66,1.66,1.66,0,0
20140217,1.66,1.66,1.66,1.66,0,0
20140218,1.65,1.66,1.65,1.66,0,0
20140219,1.65,1.65,1.58,1.58,0,0
20140220,1.59,1.6,1.59,1.6,0,0
20140221,1.58,1.58,1.58,1.58,0,0
20140224,1.57,1.57,1.57,1.57,0,0
20140225,1.57,1.57,1.57,1.57,0,0
20140226,1.57,1.57,1.57,1.57,0,0
20140227,1.57,1.57,1.57,1.57,0,0
20140228,1.57,1.57,1.57,1.57,0,0
20140303,1.57,1.57,1.57,1.57,0,0
20140304,1.57,1.6,1.57,1.6,0,0
20140305,1.59,1.59,1.59,1.59,0,0
20140311,1.59,1.59,1.59,1.59,0,0
20140317,1.43,1.43,1.43,1.43,0,0
20140319,1.43,1.43,1.43,1.43,0,0
20140320,1.43,1.44,1.43,1.44,0,0
20140321,1.43,1.43,1.43,1.43,0,0
20140324,1.43,1.43,1.41,1.41,0,0
20140325,1.42,1.42,1.39,1.39,0,0
20140326,1.42,1.42,1.42,1.42,0,0
20140327,1.4,1.4,1.39,1.39,0,0
20140328,1.4,1.4,1.39,1.39,0,0
20140331,1.4,1.4,1.4,1.4,0,0
20140401,1.4,1.4,1.39,1.39,0,0
20140402,1.4,1.41,1.4,1.41,0,0
20140403,1.41,1.41,1.41,1.41,0,0
20140404,1.41,1.41,1.41,1.41,0,0
20140407,1.41,1.41,1.41,1.41,0,0
20140408,1.41,1.41,1.41,1.41,0,0
20140409,1.41,1.41,1.41,1.41,0,0
20140410,1.41,1.41,1.41,1.41,0,0
20140411,1.41,1.41,1.41,1.41,0,0
20140414,1.41,1.41,1.41,1.41,0,0
20140415,1.41,1.41,1.41,1.41,0,0
20140416,1.41,1.41,1.41,1.41,0,0
20140417,1.41,1.41,1.41,1.41,0,0
20140422,1.41,1.41,1.41,1.41,0,0
20140423,1.41,1.41,1.41,1.41,0,0
20140424,1.41,1.41,1.41,1.41,0,0
20140425,1.41,1.41,1.41,1.41,0,0
20140428,1.41,1.41,1.41,1.41,0,0
20140429,1.41,1.41,1.41,1.41,0,0
20140430,1.41,1.41,1.41,1.41,0,0
20140502,1.41,1.41,1.41,1.41,0,0
20140505,1.41,1.41,1.41,1.41,0,0
20140506,1.41,1.41,1.41,1.41,0,0
20140507,1.41,1.41,1.4,1.4,0,0
20140508,1.41,1.41,1.41,1.41,0,0
20140509,1.41,1.41,1.3,1.3,0,0
20140512,1.3,1.3,1.3,1.3,0,0
20140513,1.31,1.31,1.3,1.3,0,0
20140514,1.31,1.31,1.3,1.3,0,0
