Date,Open,High,Low,Close,Volume,OpenInt
20111122,15.39,15.39,15.39,15.39,0,0
20111123,15.26,15.52,14.09,15.39,0,0
20111124,15.26,15.26,12.54,12.93,0,0
20111125,12.93,15.39,12.41,15.39,0,0
20111128,15.52,15.52,13.58,15.39,0,0
20111129,14.35,14.74,13.58,14.74,0,0
20111130,14.87,14.87,13.19,14.22,0,0
20111201,13.19,14.87,12.93,14.87,0,0
20111202,14.61,14.61,14.48,14.61,0,0
20111205,14.74,14.74,13.58,14.48,0,0
20111206,14.22,14.22,13.58,13.58,0,0
20111207,14.74,14.74,13.19,13.19,0,0
20111208,14.22,14.48,13.58,14.22,0,0
20111209,14.74,14.74,13.58,14.22,0,0
20111212,14.74,14.74,14.74,14.74,0,0
20111213,14.74,17.59,14.74,15.9,0,0
20111214,15.9,15.9,14.87,14.87,0,0
20111215,14.87,17.07,14.87,17.07,0,0
20111216,15.52,16.16,15.52,16.16,0,0
20111219,15.52,15.52,14.22,14.22,0,0
20111220,15.13,16.03,15.13,16.03,0,0
20111221,16.03,16.03,16.03,16.03,0,0
20111222,16.03,16.81,16.03,16.68,0,0
20111223,17.2,17.2,16.16,16.16,0,0
20111227,15.52,17.46,15.52,16.16,0,0
20111228,16.16,16.16,15,15,0,0
20111229,14.87,15.9,14.87,15.9,0,0
20111230,17.97,17.97,15.52,16.16,0,0
20120104,16.16,16.16,16.16,16.16,0,0
20120109,15.52,15.9,13.71,13.71,0,0
20120110,13.84,16.16,13.84,16.16,0,0
20120111,13.84,14.87,13.84,14.87,0,0
20120112,16.55,16.55,16.16,16.16,0,0
20120113,16.55,16.55,16.55,16.55,0,0
20120116,16.42,16.55,15,16.55,0,0
20120117,16.55,16.55,15.26,16.55,0,0
20120118,16.55,16.55,16.55,16.55,0,0
20120119,16.55,16.55,15.26,15.26,0,0
20120120,16.55,16.55,15.26,15.26,0,0
20120123,15,15,15,15,0,0
20120124,16.55,16.55,15.39,16.55,0,0
20120125,16.55,16.55,15.39,15.39,0,0
20120126,16.55,16.55,15.39,15.39,0,0
20120127,16.55,16.55,16.55,16.55,0,0
20120130,15.39,16.16,15.39,16.16,0,0
20120131,16.16,16.16,16.16,16.16,0,0
20120201,16.16,16.16,15.78,15.78,0,0
20120202,16.16,16.16,16.16,16.16,0,0
20120203,16.16,16.16,16.16,16.16,0,0
20120206,16.16,16.16,16.16,16.16,0,0
20120207,15.52,15.52,15.52,15.52,0,0
20120208,15.52,15.52,15.52,15.52,0,0
20120209,15.52,15.52,15.13,15.52,0,0
20120210,15.52,15.52,15.52,15.52,0,0
20120213,15.52,16.55,15.52,16.55,0,0
20120214,16.81,16.81,15.26,16.16,0,0
20120215,15.13,16.16,15.13,16.16,0,0
20120216,16.03,16.03,15.13,15.13,0,0
20120220,15.78,15.78,15.78,15.78,0,0
20120222,16.03,16.03,16.03,16.03,0,0
20120223,16.03,16.03,16.03,16.03,0,0
20120224,16.03,16.03,16.03,16.03,0,0
20120227,16.03,16.03,14.87,14.87,0,0
20120228,16.03,16.03,16.03,16.03,0,0
20120229,16.03,16.03,16.03,16.03,0,0
20120301,16.03,16.03,16.03,16.03,0,0
20120302,16.03,18.62,15.52,18.62,0,0
20120305,17.59,17.59,16.81,16.81,0,0
20120306,16.29,16.29,16.29,16.29,0,0
20120307,16.16,16.16,16.16,16.16,0,0
20120312,16.16,16.16,15.13,15.52,0,0
20120313,15.13,15.13,15.13,15.13,0,0
20120314,16.42,16.42,16.42,16.42,0,0
20120316,15.52,17.46,15.13,16.16,0,0
20120319,16.16,16.16,16.16,16.16,0,0
20120320,16.16,18.62,15.52,17.84,0,0
20120321,17.2,17.84,16.16,16.68,0,0
20120322,17.07,17.07,15.26,15.9,0,0
20120323,17.46,17.72,15.9,15.9,0,0
20120326,16.55,17.46,16.16,17.46,0,0
20120327,16.29,17.59,16.29,16.29,0,0
20120328,17.72,17.72,16.81,16.81,0,0
