Date,Open,High,Low,Close,Volume,OpenInt
20100622,26.35,26.35,26.35,26.35,0,0
20100623,26.35,26.81,23.38,25.9,0,0
20100624,26.13,26.13,25.9,25.9,0,0
20100625,26.35,26.58,25.21,26.35,0,0
20100628,25.21,25.21,23.38,25.21,0,0
20100629,20.17,24.98,20.17,23.15,0,0
20100630,22.92,22.92,22,22.92,0,0
20100701,24.29,24.29,23.83,23.83,0,0
20100702,23.6,24.52,23.6,23.83,0,0
20100705,24.06,24.06,20.85,23.6,0,0
20100706,24.06,24.06,23.6,23.6,0,0
20100707,22.23,24.06,22.23,24.06,0,0
20100708,23.83,24.06,23.83,24.06,0,0
20100709,24.75,24.98,23.38,24.75,0,0
20100712,24.52,24.52,22.92,24.52,0,0
20100713,23.38,23.83,23.38,23.83,0,0
20100714,25.67,25.67,25.67,25.67,0,0
20100716,25.44,25.44,25.44,25.44,0,0
20100720,25.44,25.67,25.44,25.67,0,0
20100721,25.67,25.67,20.4,20.63,0,0
20100722,20.63,21.77,20.63,21.77,0,0
20100723,20.63,21.08,20.63,20.85,0,0
20100726,20.85,20.85,20.63,20.63,0,0
20100727,20.4,20.4,17.65,19.48,0,0
20100728,18.33,19.02,17.65,17.65,0,0
20100729,18.33,19.48,17.19,18.33,0,0
20100730,18.79,18.79,17.19,18.33,0,0
20100802,16.96,18.1,16.5,17.65,0,0
20100803,18.1,18.1,16.5,17.65,0,0
20100804,18.1,18.33,17.19,17.42,0,0
20100805,18.1,18.1,17.88,17.88,0,0
20100806,16.5,20.63,16.5,20.63,0,0
20100809,20.4,20.4,18.56,19.94,0,0
20100810,18.56,18.79,18.56,18.79,0,0
20100811,18.33,18.56,18.33,18.56,0,0
20100812,18.33,18.33,18.33,18.33,0,0
20100813,18.1,18.33,18.1,18.33,0,0
20100816,16.96,18.79,16.96,18.33,0,0
20100817,18.79,18.79,7.02,7.02,0,0
20100818,7.1,7.1,6.41,6.41,0,0
20100819,7.02,7.02,6.93,6.93,0,0
