Date,Open,High,Low,Close,Volume,OpenInt
20120314,14.21,14.21,14.21,14.21,0,0
20120315,14.25,14.25,11.47,12.82,0,0
20120316,13.91,13.91,12.82,13.91,0,0
20120319,13.84,13.84,13.72,13.8,0,0
20120320,13.76,13.76,11.58,12.18,0,0
20120321,13.54,13.54,9.4,11.58,0,0
20120322,11.73,12.11,9.89,11.28,0,0
20120323,11.32,11.32,9.96,11.28,0,0
20120326,11.39,11.39,10.19,10.9,0,0
20120327,10.9,11.24,10.87,11.24,0,0
20120328,11.39,11.66,11.28,11.66,0,0
20120329,11.66,11.84,11.28,11.84,0,0
20120330,12.33,12.71,11.28,12.71,0,0
20120402,12.75,12.75,12.71,12.71,0,0
20120403,12.71,12.71,12.71,12.71,0,0
20120404,12.71,12.71,11.32,11.36,0,0
20120405,12.18,12.18,10.72,10.72,0,0
20120410,11.17,11.84,10.72,11.81,0,0
20120411,11.81,12.37,11.81,12.37,0,0
20120412,12.37,12.37,12.37,12.37,0,0
20120413,12.37,12.71,11.84,12.52,0,0
20120416,12.52,12.93,11.58,12.26,0,0
20120417,13.01,13.01,11.84,12.48,0,0
20120418,12.48,13.35,12.48,13.2,0,0
20120419,13.54,13.54,13.08,13.39,0,0
20120420,13.42,13.5,13.27,13.46,0,0
20120423,13.46,13.46,12.97,13.46,0,0
20120424,13.46,13.54,13.46,13.54,0,0
20120425,13.35,13.35,13.05,13.05,0,0
20120426,13.05,13.05,12.9,13.05,0,0
20120427,13.54,13.54,11.66,12.41,0,0
20120430,12.41,12.41,11.66,11.66,0,0
20120502,11.66,11.66,11.66,11.66,0,0
20120504,11.66,11.66,11.62,11.66,0,0
20120507,11.66,11.66,11.66,11.66,0,0
20120508,11.66,11.66,11.28,11.39,0,0
20120509,11.39,11.39,10.9,11.39,0,0
20120510,11.39,11.39,11.39,11.39,0,0
20120511,11.39,11.39,10,10.9,0,0
20120514,11.28,11.28,9.55,9.7,0,0
20120515,11.28,11.28,9.85,9.96,0,0
20120516,9.96,10.15,9.96,10.15,0,0
20120517,11.28,11.28,9.14,11.28,0,0
20120518,11.28,11.28,11.28,11.28,0,0
20120521,11.28,11.28,11.28,11.28,0,0
20120522,11.28,11.28,11.28,11.28,0,0
20120523,11.28,11.28,9.44,11.28,0,0
20120524,11.28,11.43,11.28,11.43,0,0
20120525,11.43,11.58,9.44,9.44,0,0
20120528,11.28,11.28,11.24,11.24,0,0
20120529,11.66,11.66,10.6,11.28,0,0
20120530,11.28,11.28,11.28,11.28,0,0
20120531,11.28,11.28,11.28,11.28,0,0
20120601,11.24,11.24,11.24,11.24,0,0
20120604,11.24,11.24,11.24,11.24,0,0
20120605,11.24,11.24,11.2,11.24,0,0
20120606,11.24,11.24,11.24,11.24,0,0
20120608,11.24,11.24,11.24,11.24,0,0
20120611,11.24,11.24,11.24,11.24,0,0
20120612,11.24,11.24,11.2,11.24,0,0
20120613,11.24,11.24,11.17,11.17,0,0
20120614,11.24,11.24,11.2,11.2,0,0
20120615,11.2,11.2,11.2,11.2,0,0
20120618,11.2,11.2,11.2,11.2,0,0
20120619,11.2,11.2,10.15,11.2,0,0
20120620,11.2,11.2,10.15,11.2,0,0
20120621,11.2,11.2,11.2,11.2,0,0
20120622,11.2,11.2,11.2,11.2,0,0
20120625,11.24,11.24,11.2,11.2,0,0
20120626,11.17,11.17,11.13,11.13,0,0
20120627,11.13,11.13,11.13,11.13,0,0
20120628,11.17,11.17,11.17,11.17,0,0
20120629,11.17,11.17,11.17,11.17,0,0
20120702,11.2,11.2,11.17,11.17,0,0
20120703,11.17,11.17,10.53,11.17,0,0
20120704,11.17,11.17,11.17,11.17,0,0
20120705,11.09,11.09,11.09,11.09,0,0
20120706,11.17,11.17,11.09,11.09,0,0
20120709,11.17,11.17,11.13,11.17,0,0
20120710,11.17,11.17,10.15,11.17,0,0
20120711,11.17,11.17,11.13,11.17,0,0
20120712,11.17,11.17,11.17,11.17,0,0
20120713,11.17,11.17,11.17,11.17,0,0
20120716,11.17,11.17,11.17,11.17,0,0
20120717,11.17,11.17,11.17,11.17,0,0
20120718,11.17,11.17,11.17,11.17,0,0
20120719,11.17,11.17,11.17,11.17,0,0
20120720,11.17,11.17,11.17,11.17,0,0
20120723,11.17,11.17,11.17,11.17,0,0
20120724,11.17,11.17,10.9,10.9,0,0
20120725,10.9,10.9,10.87,10.9,0,0
20120726,10.9,10.9,10.9,10.9,0,0
20120727,10.9,10.9,10.9,10.9,0,0
20120730,10.9,10.9,10.9,10.9,0,0
20120731,10.9,10.9,10.9,10.9,0,0
20120801,11.17,11.17,11.13,11.13,0,0
20120802,11.17,11.17,11.17,11.17,0,0
20120803,11.17,11.17,9.78,11.17,0,0
20120806,11.17,11.69,11.17,11.69,0,0
20120807,11.69,11.77,10.53,11.66,0,0
20120808,11.66,11.69,11.28,11.66,0,0
20120809,11.66,11.66,11.28,11.28,0,0
20120810,11.43,11.43,11.28,11.28,0,0
20120813,11.39,11.39,11.39,11.39,0,0
20120814,11.39,11.39,11.13,11.39,0,0
20120816,11.39,11.43,11.13,11.39,0,0
20120817,11.39,11.39,11.39,11.39,0,0
20120820,11.39,11.39,11.39,11.39,0,0
20120821,11.39,11.39,11.39,11.39,0,0
20120822,11.39,11.39,11.24,11.39,0,0
20120823,11.39,11.47,11.39,11.47,0,0
20120824,11.47,11.62,11.47,11.62,0,0
20120827,11.58,11.66,11.39,11.39,0,0
20120828,11.28,11.58,11.28,11.47,0,0
20120829,11.58,11.58,11.39,11.39,0,0
20120830,11.58,11.58,11.28,11.28,0,0
20120831,11.58,11.58,11.28,11.28,0,0
20120903,11.58,11.58,11.28,11.28,0,0
20120904,11.28,11.28,11.28,11.28,0,0
20120905,11.28,11.47,11.02,11.47,0,0
20120906,11.58,11.58,11.58,11.58,0,0
20120907,11.58,11.58,11.39,11.39,0,0
20120910,11.39,11.39,11.39,11.39,0,0
20120911,11.39,11.58,11.39,11.58,0,0
20120912,11.58,11.58,11.58,11.58,0,0
20120913,11.58,11.58,11.54,11.58,0,0
20120914,11.58,11.58,11.51,11.51,0,0
20120917,11.51,11.51,11.51,11.51,0,0
20120918,11.51,11.51,10.87,11.51,0,0
20120919,11.51,11.51,10.87,11.51,0,0
20120920,11.51,11.51,11.51,11.51,0,0
20120921,11.51,11.51,10.79,11.51,0,0
20120924,11.51,11.51,11.51,11.51,0,0
20120925,11.51,11.51,11.51,11.51,0,0
20120926,11.28,11.28,11.28,11.28,0,0
20120927,11.28,11.28,11.28,11.28,0,0
20120928,11.28,11.28,10.72,11.28,0,0
20121001,11.28,11.28,11.28,11.28,0,0
20121002,11.28,11.28,11.28,11.28,0,0
20121003,11.28,11.28,11.28,11.28,0,0
20121004,11.28,11.28,11.28,11.28,0,0
20121005,11.28,11.51,11.28,11.51,0,0
20121008,11.51,11.51,11.51,11.51,0,0
20121009,11.51,11.51,11.47,11.51,0,0
20121010,11.47,11.51,11.47,11.47,0,0
20121011,11.51,11.51,11.47,11.51,0,0
20121012,11.51,11.84,11.51,11.84,0,0
20121015,11.84,12.41,11.84,12.41,0,0
20121016,12.41,12.41,11.96,12.41,0,0
20121017,11.96,12.67,11.69,12.67,0,0
20121018,12.71,12.71,12.14,12.71,0,0
20121019,12.71,13.72,12.71,13.72,0,0
20121022,14.29,14.29,12.78,13.87,0,0
20121023,13.84,14.21,13.69,14.1,0,0
20121024,14.14,14.14,13.95,13.95,0,0
20121025,13.95,13.95,12.97,13.5,0,0
20121026,14.06,14.06,13.76,13.76,0,0
20121029,13.76,13.76,13.57,13.61,0,0
20121030,13.84,13.84,13.16,13.72,0,0
20121031,13.91,14.25,13.16,14.25,0,0
20121102,14.25,14.25,13.54,14.25,0,0
20121105,14.25,14.85,13.57,14.85,0,0
20121106,15,15,14.59,14.59,0,0
20121107,14.59,14.85,14.59,14.85,0,0
20121108,14.85,14.85,14.02,14.66,0,0
20121109,14.66,14.66,14.02,14.59,0,0
20121112,14.59,16.09,13.95,16.09,0,0
20121113,15.23,16.06,15.04,15.42,0,0
20121114,15.45,15.79,15.04,15.79,0,0
20121115,15.75,15.75,14.85,14.85,0,0
20121116,15.6,15.6,14.89,15.38,0,0
20121119,15.79,15.79,14.93,15.04,0,0
20121120,15.6,15.6,14.85,15.49,0,0
20121121,15.42,15.42,14.78,15.19,0,0
20121122,15.45,15.45,14.7,15.19,0,0
20121123,15.38,15.38,14.66,14.66,0,0
20121126,14.48,15.6,14.48,15.6,0,0
20121127,15.53,15.53,15.49,15.49,0,0
20121128,15.23,15.49,14.51,15.23,0,0
20121129,15.45,15.45,15.04,15.38,0,0
20121130,15.42,15.42,15.34,15.34,0,0
20121203,15.38,15.38,15.38,15.38,0,0
20121204,15.38,15.38,15.04,15.34,0,0
20121205,15.38,15.38,14.33,15.12,0,0
20121206,15.23,15.23,15.08,15.08,0,0
20121207,14.66,15.12,14.66,15.08,0,0
20121210,15.08,15.08,14.85,14.85,0,0
20121211,15,15.04,14.29,14.33,0,0
20121212,14.93,14.93,14.66,14.66,0,0
20121213,14.66,14.66,14.48,14.48,0,0
20121214,14.48,14.59,14.29,14.48,0,0
20121217,14.48,14.48,13.72,13.72,0,0
20121218,14.48,14.48,13.91,14.4,0,0
20121219,14.4,14.4,13.24,14.33,0,0
20121220,14.29,14.29,13.2,13.8,0,0
20121221,13.84,13.84,13.65,13.72,0,0
20121227,13.87,14.06,13.87,14.06,0,0
20121228,14.06,14.66,14.06,14.59,0,0
20130102,13.95,13.95,13.54,13.84,0,0
20130103,13.65,13.65,13.35,13.35,0,0
20130104,13.84,13.84,13.35,13.35,0,0
20130107,13.54,13.54,12.78,12.78,0,0
20130108,13.31,13.31,13.24,13.27,0,0
20130109,13.31,13.31,13.12,13.16,0,0
20130110,13.2,13.27,12.78,12.97,0,0
20130111,13.31,13.31,12.93,12.93,0,0
20130114,13.31,13.31,12.41,12.6,0,0
20130115,13.24,13.24,12.45,12.93,0,0
20130116,12.78,12.78,12.78,12.78,0,0
20130117,13.27,13.8,12.45,13.8,0,0
20130118,13.87,13.87,12.67,13.16,0,0
20130121,13.72,14.55,13.39,14.1,0,0
20130122,14.36,14.36,13.61,13.65,0,0
20130123,13.69,14.18,13.69,14.18,0,0
20130124,14.18,14.66,13.65,14.48,0,0
20130125,14.48,14.78,14.4,14.48,0,0
20130128,14.48,14.59,13.91,14.51,0,0
20130129,14.48,14.48,14.4,14.48,0,0
20130130,14.48,14.51,14.48,14.48,0,0
20130131,14.48,14.59,14.48,14.59,0,0
20130201,14.59,15,14.59,15,0,0
20130204,14.96,14.96,14.66,14.96,0,0
20130205,14.96,15,14.66,14.85,0,0
20130206,14.93,14.93,14.29,14.48,0,0
20130207,14.48,14.48,14.29,14.48,0,0
20130208,14.48,14.48,14.48,14.48,0,0
20130211,15.15,15.3,15.04,15.3,0,0
20130212,15.19,15.38,14.85,15.38,0,0
20130213,15.34,15.34,14.85,15.23,0,0
20130214,15.23,15.23,14.89,15.19,0,0
20130215,15.23,15.23,14.78,15.19,0,0
20130218,15.19,15.19,15.19,15.19,0,0
20130219,15.19,15.19,14.85,14.85,0,0
20130220,14.85,14.85,14.63,14.63,0,0
20130221,14.63,14.63,14.48,14.63,0,0
20130222,14.63,15.19,14.63,15.15,0,0
20130225,15.15,15.15,15.04,15.04,0,0
20130226,15.04,15.15,14.29,15.15,0,0
20130227,15.19,15.19,15.19,15.19,0,0
20130228,15.19,15.23,15.19,15.19,0,0
20130301,15.19,15.19,15.19,15.19,0,0
20130304,15.12,15.12,14.85,14.85,0,0
20130305,14.85,14.85,14.29,14.66,0,0
20130306,14.66,14.66,14.29,14.66,0,0
20130307,14.66,14.66,14.29,14.66,0,0
20130308,14.66,14.66,14.66,14.66,0,0
20130311,14.66,14.78,14.66,14.78,0,0
20130312,14.78,14.78,14.78,14.78,0,0
20130313,14.78,15.27,14.29,15,0,0
20130314,15.3,15.3,15.27,15.3,0,0
20130315,15.3,15.3,15,15,0,0
20130318,15.34,15.34,14.51,15.19,0,0
20130319,15.19,15.19,15,15.19,0,0
20130320,15.04,15.04,14.29,15.04,0,0
20130321,15.19,15.19,14.29,14.48,0,0
20130322,14.48,15.19,14.48,15.19,0,0
20130325,15.19,15.19,14.29,15.19,0,0
20130326,15.19,15.19,13.91,15.15,0,0
20130327,14.29,14.66,14.29,14.66,0,0
20130328,14.66,15.04,14.29,15,0,0
20130402,15,15,15,15,0,0
20130403,15,15,13.91,14.66,0,0
20130404,15.04,15.19,14.29,14.85,0,0
20130405,14.66,14.66,14.66,14.66,0,0
20130408,15,15,14.74,14.74,0,0
20130409,15,15,15,15,0,0
20130410,15,15.19,15,15.04,0,0
20130411,15.04,15.04,15.04,15.04,0,0
20130412,15.04,15.04,14.29,14.81,0,0
20130415,15.04,15.04,15.04,15.04,0,0
20130417,15.04,15.04,14.48,15.04,0,0
20130418,15.04,15.04,14.4,14.4,0,0
20130419,14.4,14.4,13.42,14.4,0,0
20130422,14.4,14.4,14.4,14.4,0,0
20130423,14.4,14.4,14.4,14.4,0,0
20130424,13.72,13.72,13.72,13.72,0,0
20130425,14.4,14.4,14.4,14.4,0,0
20130426,14.4,14.89,14.4,14.89,0,0
20130429,14.89,14.89,14.89,14.89,0,0
20130430,14.89,14.89,14.29,14.29,0,0
20130502,15,15,15,15,0,0
20130506,15,15,14.29,14.96,0,0
20130507,14.96,14.96,13.91,14.1,0,0
20130508,14.93,14.93,13.91,14.29,0,0
20130509,14.93,14.93,14.85,14.85,0,0
20130510,14.85,14.85,14.66,14.7,0,0
20130513,14.66,14.93,14.48,14.93,0,0
20130514,14.93,15.23,14.93,15.19,0,0
20130515,15.23,15.23,15.19,15.19,0,0
20130516,15.23,15.23,14.48,15,0,0
20130517,15,15,15,15,0,0
20130520,15,15.23,15,15.23,0,0
20130521,15.23,15.23,15.04,15.04,0,0
20130522,15.23,16.13,15.23,16.13,0,0
20130523,16.13,16.28,15.49,15.53,0,0
20130524,16.13,16.28,15.53,15.68,0,0
20130527,15.79,15.79,15.79,15.79,0,0
20130528,16.17,16.39,15.98,16.39,0,0
20130529,16.62,18.39,16.62,18.39,0,0
20130531,18.42,19.18,18.05,19.18,0,0
20130603,19.93,20.64,19.78,19.78,0,0
20130604,20.68,20.98,20.27,20.6,0,0
