Date,Open,High,Low,Close,Volume,OpenInt
20101118,2.79,2.79,2.79,2.79,0,0
20101119,2.85,2.85,2.28,2.44,0,0
20101122,2.45,2.45,2.14,2.23,0,0
20101123,2.11,2.99,2,2.99,0,0
20101124,3.22,3.22,2.74,2.78,0,0
20101125,2.79,2.79,2.59,2.73,0,0
20101126,2.74,2.74,2.35,2.43,0,0
20101129,2.6,2.76,2.49,2.76,0,0
20101130,2.78,3.12,2.63,2.98,0,0
20101201,2.79,2.91,2.68,2.89,0,0
20101202,2.91,2.91,2.45,2.67,0,0
20101203,2.79,3.06,2.67,3.01,0,0
20101206,3.05,3.26,2.95,3.16,0,0
20101207,3.16,3.16,2.91,2.93,0,0
20101208,2.91,2.91,2.51,2.69,0,0
20101209,2.78,2.78,2.53,2.78,0,0
20101210,2.67,2.88,2.56,2.85,0,0
20101213,2.85,2.97,2.67,2.89,0,0
20101214,2.59,3,2.59,3,0,0
20101215,3.03,3.03,3,3,0,0
20101216,2.78,3.03,2.78,2.98,0,0
20101217,2.78,3.23,2.78,3.16,0,0
20101220,3.15,3.19,3.06,3.08,0,0
20101221,3.06,3.12,2.84,3.09,0,0
20101222,2.78,3.08,2.78,3.08,0,0
20101223,3.09,3.09,2.84,3.09,0,0
20101227,2.78,3.08,2.67,3.08,0,0
20101228,2.71,3.08,2.71,3.08,0,0
20101229,2.69,3,2.69,3,0,0
20101231,2.73,2.87,2.64,2.87,0,0
20110103,2.84,2.84,2.8,2.8,0,0
20110104,2.8,2.97,2.61,2.77,0,0
20110105,2.77,2.77,2.57,2.57,0,0
20110107,2.69,2.69,2.69,2.69,0,0
20110110,2.58,2.66,2.5,2.66,0,0
20110111,2.64,2.66,2.64,2.66,0,0
20110112,2.51,2.51,2.36,2.5,0,0
20110113,2.35,2.47,2.28,2.47,0,0
20110114,2.47,2.55,2.47,2.55,0,0
20110117,2.44,2.44,2.28,2.44,0,0
20110118,2.29,2.38,2.29,2.38,0,0
20110119,2.43,2.58,2.43,2.58,0,0
20110120,2.53,2.53,2.45,2.45,0,0
20110121,2.55,2.55,2.55,2.55,0,0
20110124,2.45,2.69,2.45,2.56,0,0
20110125,2.53,2.57,2.33,2.35,0,0
20110126,2.36,2.41,2.24,2.28,0,0
20110127,2.26,2.35,2.17,2.35,0,0
20110128,2.14,2.14,2.14,2.14,0,0
20110131,2.11,2.38,2.06,2.36,0,0
20110201,2.26,2.26,2.09,2.11,0,0
