Date,Open,High,Low,Close,Volume,OpenInt
20130103,1.66,1.66,1.66,1.66,0,0
20130104,1.99,2.38,1.99,2.38,0,0
20130108,2.82,3.38,2.82,3.38,0,0
20130109,4.43,4.71,3.54,4.15,0,0
20130110,3.88,3.88,2.49,2.77,0,0
20130111,2.21,2.21,1.77,2.1,0,0
20130114,1.72,1.99,1.72,1.99,0,0
20130115,1.88,1.94,1.66,1.94,0,0
20130116,1.88,1.88,1.88,1.88,0,0
20130117,1.61,1.83,1.55,1.83,0,0
20130121,1.66,1.66,1.66,1.66,0,0
20130122,1.38,1.44,1.33,1.33,0,0
20130123,1.33,1.5,1.22,1.5,0,0
20130124,1.61,1.61,1.61,1.61,0,0
20130129,1.22,1.27,1.11,1.27,0,0
20130130,1.27,1.27,1,1.22,0,0
20130131,1.22,1.44,1.22,1.44,0,0
20130201,1.22,1.33,1.22,1.33,0,0
20130204,1.44,1.44,1.44,1.44,0,0
20130205,1.66,1.66,1.44,1.44,0,0
20130206,1.66,1.66,1.33,1.33,0,0
20130207,1.11,1.44,1.11,1.44,0,0
20130208,1.33,1.33,1.33,1.33,0,0
20130211,1.33,1.33,1.33,1.33,0,0
20130212,1.16,1.38,1.16,1.38,0,0
20130218,1.27,1.27,1.27,1.27,0,0
20130219,1.16,1.38,1,1.33,0,0
20130221,1.16,1.16,1.11,1.12,0,0
20130225,1.12,1.12,0.89,0.89,0,0
20130227,0.67,0.67,0.67,0.67,0,0
20130228,0.67,0.73,0.67,0.73,0,0
20130304,0.67,0.78,0.67,0.78,0,0
20130306,0.73,0.78,0.73,0.78,0,0
20130307,0.78,0.84,0.78,0.84,0,0
20130308,0.73,1.06,0.73,1.06,0,0
20130311,1.06,1.12,0.95,1.12,0,0
20130322,1.17,1.17,1.17,1.17,0,0
20130326,1.01,1.01,1.01,1.01,0,0
20130402,0.95,0.95,0.95,0.95,0,0
20130403,0.95,0.95,0.95,0.95,0,0
20130404,0.95,0.95,0.95,0.95,0,0
20130405,0.62,0.78,0.56,0.78,0,0
20130408,0.78,0.78,0.78,0.78,0,0
20130415,1.06,1.06,1.06,1.06,0,0
20130417,0.89,0.89,0.89,0.89,0,0
20130425,0.84,0.84,0.84,0.84,0,0
20130426,0.67,0.67,0.56,0.56,0,0
20130506,0.67,0.67,0.67,0.67,0,0
20130513,0.67,0.67,0.67,0.67,0,0
20130514,0.56,0.56,0.56,0.56,0,0
20130531,0.39,0.39,0.39,0.39,0,0
20130603,0.34,0.34,0.28,0.34,0,0
20130605,0.28,0.28,0.28,0.28,0,0
20130610,0.17,0.17,0.11,0.11,0,0
20130820,0.23,0.23,0.23,0.23,0,0
20130821,0.17,0.17,0.17,0.17,0,0
20130822,0.23,0.23,0.23,0.23,0,0
20130823,0.23,0.23,0.23,0.23,0,0
20130826,0.11,0.23,0.11,0.23,0,0
20130828,0.23,0.29,0.23,0.29,0,0
20130829,0.29,0.34,0.29,0.34,0,0
20130830,0.4,0.4,0.34,0.4,0,0
20130902,0.34,0.4,0.34,0.4,0,0
20130903,0.4,0.4,0.4,0.4,0,0
20130904,0.4,0.4,0.4,0.4,0,0
20130905,0.34,0.4,0.34,0.4,0,0
20130910,0.4,0.4,0.34,0.4,0,0
20130916,0.4,0.4,0.4,0.4,0,0
20130918,0.34,0.34,0.29,0.34,0,0
20130920,0.29,0.29,0.23,0.29,0,0
20130923,0.23,0.29,0.23,0.29,0,0
20130924,0.29,0.29,0.23,0.29,0,0
20130925,0.29,0.29,0.29,0.29,0,0
20130926,0.29,0.29,0.23,0.29,0,0
20130930,0.29,0.29,0.29,0.29,0,0
20131008,0.23,0.23,0.23,0.23,0,0
20131010,0.17,0.17,0.17,0.17,0,0
20131011,0.23,0.23,0.23,0.23,0,0
20131023,0.17,0.17,0.17,0.17,0,0
20131024,0.11,0.11,0.11,0.11,0,0
20131028,0.11,0.11,0.11,0.11,0,0
20131030,0.17,0.17,0.17,0.17,0,0
20131106,0.11,0.11,0.11,0.11,0,0
20131107,0.11,0.17,0.11,0.17,0,0
20131113,0.11,0.11,0.11,0.11,0,0
20131114,0.17,0.17,0.17,0.17,0,0
