Date,Open,High,Low,Close,Volume,OpenInt
20110429,19.67,19.67,19.67,19.67,0,0
20110502,19.824,20.462,17.291,17.445,0,0
20110504,18.084,18.084,14.467,15.308,0,0
20110505,14.273,15.482,14.196,15.144,0,0
20110506,15.066,15.163,14.196,14.273,0,0
20110509,15.066,15.066,14.37,14.515,0,0
20110510,14.496,14.67,14.148,14.593,0,0
20110511,14.148,14.428,14.128,14.148,0,0
20110512,13.974,14.273,13.954,14.273,0,0
20110513,13.877,14.912,13.877,14.912,0,0
20110516,14.912,14.912,14.273,14.302,0,0
20110517,14.641,14.641,14.273,14.273,0,0
20110518,14.573,14.573,14.573,14.573,0,0
20110519,14.273,14.273,13.577,13.577,0,0
20110520,13.577,13.877,13.577,13.877,0,0
20110523,13.655,14.099,13.655,14.099,0,0
20110524,14.099,14.099,14.099,14.099,0,0
20110525,14.254,14.254,14.254,14.254,0,0
20110526,14.254,14.254,14.254,14.254,0,0
20110527,14.254,14.254,14.254,14.254,0,0
20110530,14.254,14.254,13.5,13.5,0,0
20110531,13.51,13.51,13.5,13.5,0,0
20110601,13.558,13.558,13.529,13.529,0,0
20110602,13.577,13.577,13.577,13.577,0,0
20110603,13.529,13.529,13.529,13.529,0,0
20110606,13.529,13.529,13.529,13.529,0,0
20110607,13.239,13.239,13.239,13.239,0,0
20110608,13.239,13.239,13.21,13.21,0,0
20110609,13.21,13.48,13.21,13.48,0,0
20110610,13.5,13.5,13.21,13.21,0,0
20110613,13.21,13.21,12.707,13.007,0,0
20110614,13.326,13.48,13.326,13.48,0,0
20110615,13.48,13.48,12.61,12.842,0,0
20110616,12.668,12.668,12.62,12.62,0,0
20110617,12.465,13.161,12.465,13.007,0,0
20110621,13.084,13.161,13.084,13.161,0,0
20110622,13.084,13.084,13.084,13.084,0,0
20110624,13.084,13.084,12.465,12.465,0,0
20110627,12.223,12.223,12.223,12.223,0,0
20110628,12.688,12.707,12.688,12.707,0,0
20110629,12.688,13.287,12.688,13.287,0,0
20110630,13.48,13.48,12.707,12.707,0,0
20110701,12.707,12.707,12.707,12.707,0,0
20110704,12.736,12.736,12.736,12.736,0,0
20110705,13.161,13.48,13.161,13.48,0,0
20110706,13.722,14.428,13.722,14.428,0,0
20110707,14.428,16.411,14.428,15.066,0,0
20110708,15.221,16.014,15.144,15.705,0,0
20110711,16.082,16.082,14.593,15.144,0,0
20110712,14.747,14.912,14.273,14.912,0,0
20110713,14.273,14.273,14.032,14.032,0,0
20110714,13.896,13.896,13.896,13.896,0,0
20110715,13.954,13.954,13.809,13.809,0,0
20110718,13.5,13.5,13.5,13.5,0,0
20110719,13.558,13.558,12.813,12.813,0,0
20110720,12.842,12.842,12.842,12.842,0,0
20110721,12.842,12.842,12.842,12.842,0,0
20110722,13.016,13.558,13.016,13.558,0,0
20110725,13.8,13.8,13.8,13.8,0,0
20110726,14.273,14.273,14.273,14.273,0,0
20110727,14.273,14.273,14.273,14.273,0,0
20110728,14.428,14.428,14.428,14.428,0,0
20110729,14.747,14.747,14.747,14.747,0,0
20110801,14.747,14.747,14.747,14.747,0,0
20110802,14.912,14.912,14.912,14.912,0,0
20110803,14.747,14.747,14.747,14.747,0,0
20110804,14.747,14.747,13.896,13.896,0,0
20110805,13.8,13.8,12.707,12.707,0,0
20110809,12.688,12.688,12.688,12.688,0,0
20110812,13.161,13.722,13.161,13.722,0,0
20110816,13.945,13.945,13.945,13.945,0,0
20110817,13.945,13.945,13.945,13.945,0,0
20110818,13.945,13.945,13.945,13.945,0,0
20110822,14.254,14.254,13.161,13.161,0,0
20110912,11.74,11.74,11.74,11.74,0,0
20110913,11.653,11.653,11.653,11.653,0,0
20110914,11.653,11.653,11.595,11.595,0,0
20110915,11.517,13.326,11.517,13.326,0,0
20110919,13.161,13.161,12.688,12.688,0,0
20110920,13.239,13.558,13.239,13.558,0,0
20110922,13.403,13.403,13.403,13.403,0,0
20110926,13.403,13.403,13.403,13.403,0,0
20110927,13.239,13.239,13.239,13.239,0,0
20110929,13.007,13.007,12.707,12.707,0,0
20110930,13.007,13.161,13.007,13.161,0,0
20111003,12.765,12.765,12.688,12.688,0,0
20111004,12.542,12.542,12.542,12.542,0,0
20111005,12.542,13.007,12.542,13.007,0,0
20111007,13.326,13.326,13.326,13.326,0,0
20111010,13.48,13.48,13.48,13.48,0,0
20111011,14.032,14.032,13.8,13.954,0,0
20111012,13.954,13.954,13.48,13.48,0,0
20111013,13.48,13.48,13.161,13.161,0,0
20111014,13.161,13.161,12.688,12.688,0,0
20111017,13.007,15.144,13.007,14.593,0,0
20111018,14.593,14.593,13.635,13.635,0,0
20111019,13.48,13.48,13.161,13.161,0,0
20111020,13.007,13.007,13.007,13.007,0,0
20111021,13.007,13.635,13.007,13.635,0,0
20111024,13.161,13.161,13.161,13.161,0,0
20111025,13.161,13.326,13.161,13.326,0,0
20111026,13.161,13.239,13.161,13.161,0,0
20111027,13.161,13.161,13.007,13.007,0,0
20111028,13.007,13.007,13.007,13.007,0,0
20111031,13.007,13.007,13.007,13.007,0,0
20111102,13.055,13.558,12.929,13.084,0,0
20111103,13.161,13.8,13.161,13.8,0,0
20111107,13.239,13.239,13.239,13.239,0,0
20111108,13.007,13.007,13.007,13.007,0,0
20111109,12.929,12.929,12.929,12.929,0,0
