Date,Open,High,Low,Close,Volume,OpenInt
20130419,60.46,60.46,60.46,60.46,0,0
20130603,52.67,52.67,52.67,52.67,0,0
20130607,49,49,49,49,0,0
20130820,49,49,49,49,0,0
20130913,45.59,45.59,45.59,45.59,0,0
20131016,42.42,42.42,42.42,42.42,0,0
20131120,42.39,42.39,39.44,39.44,0,0
20131126,36.7,36.7,29.36,29.36,0,0
20131127,23.49,23.49,18.79,18.79,0,0
20131202,16.83,16.83,16.83,16.83,0,0
20131204,15.55,18.65,15.55,18.65,0,0
20131205,16.83,16.83,16.83,16.83,0,0
20131206,15.53,15.53,12.43,12.94,0,0
20131209,12.94,12.94,12.94,12.94,0,0
20131211,12.94,12.94,12.94,12.94,0,0
20131212,12.94,15.52,12.94,15.52,0,0
20131213,14.24,16.81,14.24,16.81,0,0
20131216,14.24,15.53,14.24,15.53,0,0
20131218,14.24,14.24,14.24,14.24,0,0
20140102,12.94,12.94,12.94,12.94,0,0
20140114,11.65,11.65,11.65,11.65,0,0
20140115,10.35,10.35,9.06,9.06,0,0
20140212,9.06,9.06,7.12,7.12,0,0
20140217,7.35,7.49,7.35,7.49,0,0
20140218,6.21,6.21,6.21,6.21,0,0
20140219,5.18,5.44,5.18,5.44,0,0
20140220,5.18,5.18,5.18,5.18,0,0
20140324,5.18,5.18,5.18,5.18,0,0
20140325,5.18,5.18,5.18,5.18,0,0
20140326,5.05,5.05,5.05,5.05,0,0
20140401,5.05,5.7,5.05,5.7,0,0
20140402,6.47,6.47,6.47,6.47,0,0
20140407,5.37,5.37,5.23,5.23,0,0
20140423,5.18,6.15,5.18,6.15,0,0
20140424,5.18,5.44,5.18,5.44,0,0
20140425,4.66,4.66,4.4,4.4,0,0
20140506,5.18,5.57,5.18,5.57,0,0
20140509,5.57,6.68,5.57,6.67,0,0
20140512,7.12,7.12,7.08,7.08,0,0
20140513,7.04,7.46,7.04,7.46,0,0
20140514,7.44,8.93,6.47,6.47,0,0
20140516,6.47,6.47,6.47,6.47,0,0
20140520,6.47,6.47,5.18,5.18,0,0
20140521,5.18,5.18,4.53,4.53,0,0
20140522,4.4,4.4,4.27,4.27,0,0
20140526,4.28,4.28,4.28,4.28,0,0
20140617,4.32,4.66,4.32,4.66,0,0
20140625,4.91,4.91,4.3,4.3,0,0
20140626,4.3,4.3,4.28,4.28,0,0
20140702,3.88,3.88,3.88,3.88,0,0
20140716,4.53,4.53,4.53,4.53,0,0
20140722,4.92,5.18,4.92,5.18,0,0
20140806,5.18,5.7,5.18,5.7,0,0
20140807,5.82,6.47,5.82,6.47,0,0
20140808,5.82,6.47,5.82,6.47,0,0
20140819,6.47,7.12,6.47,7.12,0,0
20140820,5.82,5.82,5.18,5.18,0,0
20140821,5.18,5.82,5.18,5.82,0,0
20140825,5.82,6.47,5.82,6.47,0,0
20140827,6.21,6.21,6.21,6.21,0,0
20140902,6.21,8.41,6.21,8.41,0,0
20140903,8.41,8.93,8.41,8.93,0,0
20140905,7.64,8.92,6.48,8.91,0,0
20140908,7.75,7.77,6.47,7.77,0,0
20140911,7.9,7.9,7.9,7.9,0,0
20140912,8.41,8.41,8.41,8.41,0,0
20140915,7.12,7.12,6.47,6.47,0,0
20140919,6.47,7.12,6.47,7.12,0,0
20140922,5.89,5.89,5.18,5.18,0,0
20140926,5.18,5.18,5.18,5.18,0,0
20141015,6.21,6.21,6.21,6.21,0,0
20141021,5.82,5.82,5.82,5.82,0,0
20141119,6.21,6.47,6.21,6.47,0,0
20141124,5.57,5.57,5.18,5.18,0,0
20141212,5.7,5.7,5.7,5.7,0,0
20141216,5.18,5.18,5.18,5.18,0,0
20141218,5.44,5.44,4.94,4.94,0,0
20141222,4.66,4.66,4.66,4.66,0,0
20141223,3.96,3.96,3.96,3.96,0,0
