Date,Open,High,Low,Close,Volume,OpenInt
20140324,598.2,598.2,598.2,598.2,0,0
20140325,675.7,810.8,594.6,598.2,0,0
20140326,621.6,729.7,513.5,598.2,0,0
20140327,645.9,645.9,518.9,522.1,0,0
20140328,594.6,645.9,594.6,598.2,0,0
20140331,700,700,562.2,644.5,0,0
20140401,543.2,543.2,529.7,533,0,0
20140402,518.9,518.9,464.9,467.7,0,0
20140403,464.9,565.6,464.9,565.6,0,0
20140404,559.5,685.3,559.5,685.3,0,0
20140407,810.8,815.8,810.8,815.8,0,0
20140408,648.6,648.6,521.6,524.8,0,0
20140409,521.6,628.2,518.9,628.2,0,0
20140410,527,598.2,527,598.2,0,0
20140411,624.3,628.2,624.3,628.2,0,0
20140414,624.3,630.9,624.3,630.9,0,0
20140415,627,630.9,627,630.9,0,0
20140416,627,810.4,627,810.4,0,0
20140417,810.8,815.8,675.7,815.8,0,0
20140502,621.6,625.4,621.6,625.4,0,0
20140506,545.9,545.9,540.5,543.9,0,0
20140508,621.6,707,621.6,707,0,0
20140512,702.7,702.7,702.7,702.7,0,0
20140520,621.6,625.4,621.6,625.4,0,0
20140522,621.6,625.4,621.6,625.4,0,0
20140526,621.6,625.4,621.6,625.4,0,0
20140528,702.7,747.8,702.7,747.8,0,0
20140611,675.7,815.8,675.7,815.8,0,0
20140612,864.9,870.2,864.9,870.2,0,0
20140620,810.8,815.1,810.8,815.1,0,0
20140623,756.8,760.8,756.8,760.8,0,0
20140627,810.8,810.8,97.2,97.2,0,0
20140711,100.7,100.7,100.6,100.6,0,0
20140714,106,106,105.9,105.9,0,0
20140716,104.2,104.2,102.4,102.4,0,0
20140717,98.2,98.2,98.1,98.1,0,0
20140904,42.1,53.2,42.1,53.2,0,0
20141007,52.4,61.1,52.4,61,0,0
20141009,67.9,68,67.9,68,0,0
20141114,56.1,56.1,56.1,56.1,0,0
20141118,60.8,65.5,60.8,65.5,0,0
20141119,66.2,66.2,66.2,66.2,0,0
20141121,61,69.7,61,69.7,0,0
20141124,81.9,81.9,69.7,69.7,0,0
20141125,81.9,95.9,81.9,95.9,0,0
20141126,95.8,95.9,95.8,95.9,0,0
20141127,95.8,95.8,71.3,71.3,0,0
20141203,57.1,57.1,57,57,0,0
20141205,51.8,53.1,47.9,48,0,0
20141212,41.5,48,41.5,48,0,0
20141215,51.5,55.1,51.5,55.1,0,0
20141216,51.8,55.1,51.8,54.3,0,0
20141217,49.2,49.3,49.2,49.3,0,0
20141218,49.3,49.3,49.3,49.3,0,0
20141222,41,41,38,38,0,0
20141223,38,38,38,38,0,0
20141230,41,41,41,41,0,0
