Date,Open,High,Low,Close,Volume,OpenInt
20130221,37.519,37.519,37.519,37.519,0,0
20130222,34.894,34.894,24.213,24.213,0,0
20130225,22.905,22.905,18.322,18.538,0,0
20130226,15.922,21.154,11.998,21.154,0,0
20130227,25.079,25.737,20.063,24.213,0,0
20130228,20.063,23.554,15.922,16.581,0,0
20130301,16.581,16.581,15.706,15.706,0,0
20130304,16.798,18.755,16.798,18.755,0,0
20130305,20.722,21.813,20.722,21.813,0,0
20130306,21.154,21.813,21.154,21.813,0,0
20130307,21.597,21.813,21.597,21.813,0,0
20130308,19.63,19.63,17.447,17.447,0,0
20130311,17.014,19.63,16.581,16.581,0,0
20130312,14.182,19.63,14.182,19.63,0,0
20130313,19.197,19.197,19.197,19.197,0,0
20130318,19.414,19.414,19.414,19.414,0,0
20130319,19.414,19.414,19.414,19.414,0,0
20130320,19.414,19.414,19.414,19.414,0,0
20130321,18.971,18.971,18.971,18.971,0,0
20130322,18.971,18.971,18.971,18.971,0,0
20130325,19.197,19.197,19.197,19.197,0,0
20130327,19.414,19.414,19.414,19.414,0,0
20130328,19.414,19.414,19.414,19.414,0,0
20130402,20.063,20.063,20.063,20.063,0,0
20130403,19.63,19.63,19.63,19.63,0,0
20130404,19.63,19.63,16.355,19.63,0,0
20130405,19.63,19.63,19.63,19.63,0,0
20130408,19.63,19.63,19.63,19.63,0,0
20130409,18.538,18.538,18.538,18.538,0,0
20130410,18.971,19.197,18.971,19.197,0,0
20130412,17.447,18.755,17.447,18.755,0,0
20130415,22.462,22.462,22.462,22.462,0,0
20130417,21.597,21.597,20.938,20.938,0,0
20130418,20.938,21.371,20.938,21.154,0,0
20130422,20.938,20.938,20.938,20.938,0,0
20130425,20.722,20.938,19.63,20.938,0,0
20130426,20.938,20.938,20.938,20.938,0,0
20130430,18.106,21.597,18.106,21.597,0,0
20130502,21.597,21.597,21.597,21.597,0,0
20130506,21.597,21.597,21.597,21.597,0,0
20130508,21.597,21.597,21.597,21.597,0,0
20130509,21.597,21.597,21.597,21.597,0,0
20130510,21.597,21.597,18.538,21.597,0,0
20130516,18.106,19.414,17.663,19.414,0,0
20130517,17.663,19.414,17.663,19.414,0,0
20130523,19.414,19.414,19.414,19.414,0,0
20130527,20.505,20.722,20.505,20.722,0,0
20130528,17.663,20.505,17.663,20.505,0,0
20130531,20.51,20.51,20.51,20.51,0,0
20130606,20.505,20.505,20.505,20.505,0,0
20130610,20.505,20.505,20.505,20.505,0,0
20130620,17.663,19.63,17.447,19.63,0,0
20130621,19.414,19.414,17.447,17.447,0,0
20130625,17.23,17.23,17.23,17.23,0,0
20130626,17.23,17.23,17.23,17.23,0,0
20130703,19.197,19.197,19.197,19.197,0,0
20130725,19.197,19.197,19.197,19.197,0,0
20130729,19.197,19.197,19.197,19.197,0,0
20130730,19.197,19.197,19.197,19.197,0,0
20130801,19.197,19.197,19.197,19.197,0,0
20130821,18.322,19.414,18.322,19.414,0,0
20130829,19.414,19.414,19.414,19.414,0,0
20130904,19.2,19.2,19.2,19.2,0,0
20130905,19.41,20.06,19.41,20.06,0,0
20130906,15.49,15.49,15.49,15.49,0,0
20130910,15.49,15.49,15.49,15.49,0,0
20130913,17.45,17.45,17.45,17.45,0,0
20130916,20.505,23.997,20.505,23.997,0,0
20130917,22.91,22.91,22.91,22.91,0,0
20130918,21.81,21.81,21.81,21.81,0,0
20130919,25.08,26.4,25.08,26.4,0,0
20130923,26.4,26.4,26.4,26.4,0,0
20130924,26.4,26.4,26.4,26.4,0,0
20130925,26.61,26.61,26.61,26.61,0,0
20131009,26.84,26.84,26.84,26.84,0,0
20131010,27.06,27.06,27.06,27.06,0,0
20131016,22.18,22.18,22.18,22.18,0,0
20131021,25.5,27.72,25.5,27.72,0,0
20131031,26.61,26.61,26.61,26.61,0,0
20131104,26.61,26.61,26.61,26.61,0,0
20131106,27.72,28.83,27.72,28.83,0,0
20131107,28.83,28.83,28.83,28.83,0,0
20131108,28.83,28.83,28.83,28.83,0,0
20131112,29.05,29.05,29.05,29.05,0,0
20131113,28.83,29.94,23.29,29.94,0,0
20131114,29.94,30.16,29.94,30.16,0,0
20131115,30.16,30.16,30.16,30.16,0,0
20131120,29.94,29.94,29.94,29.94,0,0
20131121,29.94,29.94,29.94,29.94,0,0
20131125,28.83,28.83,28.83,28.83,0,0
20131126,26.61,26.61,26.61,26.61,0,0
20131127,26.61,26.61,26.61,26.61,0,0
20131129,24.4,24.4,22.4,22.4,0,0
20131202,22.4,22.4,22.4,22.4,0,0
20131204,22.4,22.4,22.4,22.4,0,0
20131209,22.62,22.62,22.62,22.62,0,0
20131210,22.62,22.62,22.62,22.62,0,0
20131212,22.62,22.62,22.62,22.62,0,0
20131213,22.4,22.4,22.4,22.4,0,0
20131216,22.4,22.4,22.4,22.4,0,0
20131219,23.29,26.61,23.29,26.61,0,0
20131223,26.61,26.61,26.61,26.61,0,0
20140122,27.72,27.72,22.18,27.28,0,0
20140123,27.28,27.28,27.28,27.28,0,0
20140127,24.17,24.17,24.17,24.17,0,0
20140228,22.18,22.18,22.18,22.18,0,0
20140304,22.18,26.61,22.18,26.61,0,0
20140424,26.17,27.5,26.17,27.5,0,0
20140425,22.62,22.62,22.4,22.4,0,0
20140519,23.51,23.51,22.18,22.18,0,0
20140523,21.07,21.07,19.96,19.96,0,0
20140603,22.18,23.29,22.18,23.29,0,0
20140604,23.29,23.29,23.29,23.29,0,0
20140605,21.51,21.51,20.18,20.18,0,0
20140612,20.18,20.18,19.52,19.52,0,0
20140613,19.07,22.84,19.07,22.18,0,0
20140620,22.18,22.18,22.18,22.18,0,0
20140624,21.73,21.73,21.07,21.07,0,0
20140707,21.07,21.07,18.85,18.85,0,0
20140709,18.85,21.96,18.85,21.96,0,0
20140711,21.07,21.07,21.07,21.07,0,0
20140714,20.85,20.85,20.85,20.85,0,0
20140715,19.07,19.07,19.07,19.07,0,0
20140723,19.07,19.07,19.07,19.07,0,0
20140724,19.07,19.07,19.07,19.07,0,0
20140904,17.3,17.3,15.08,15.08,0,0
20140909,15.08,15.08,15.08,15.08,0,0
20140911,16.63,19.96,16.63,19.96,0,0
20140919,18.85,18.85,17.3,17.3,0,0
20140922,17.3,17.3,17.3,17.3,0,0
20140923,17.3,17.3,17.3,17.3,0,0
20141013,15.52,15.52,15.52,15.52,0,0
20141017,15.08,16.63,15.08,16.63,0,0
20141020,16.63,19.96,16.63,19.96,0,0
20141021,19.74,19.74,19.74,19.74,0,0
20141022,19.74,19.74,19.74,19.74,0,0
20141023,19.74,19.74,19.74,19.74,0,0
20141024,19.74,19.96,19.74,19.96,0,0
20141029,18.85,18.85,18.85,18.85,0,0
20141105,18.85,18.85,18.85,18.85,0,0
