Date,Open,High,Low,Close,Volume,OpenInt
20110426,9.9,9.9,9.9,9.9,0,0
20110427,9.6,10.1,9.6,10.1,0,0
20110428,10,10.4,9.9,9.9,0,0
20110429,9.9,10.3,9.7,10.3,0,0
20110502,10.2,10.2,9.9,9.9,0,0
20110504,9.6,9.9,9.6,9.9,0,0
20110505,10,10,9.6,9.6,0,0
20110506,10,10,10,10,0,0
20110509,10,10,8.9,9.6,0,0
20110510,9.7,9.8,9.3,9.3,0,0
20110511,9.4,9.7,9.4,9.7,0,0
20110512,9.4,9.4,9,9,0,0
20110513,9,10,8.9,10,0,0
20110516,9.9,9.9,9.9,9.9,0,0
20110517,9.9,9.9,9.8,9.9,0,0
20110518,10,10,9.6,9.9,0,0
20110519,9.9,10.1,9.9,10.1,0,0
20110520,10.1,10.1,10.1,10.1,0,0
20120215,16.4,16.4,16.4,16.4,0,0
20120217,16.2,16.5,16.2,16.5,0,0
20120221,16.4,16.8,16.4,16.8,0,0
20120223,15.9,16.8,15.8,16.8,0,0
20120227,16.7,16.9,16.7,16.9,0,0
20120228,16.9,16.9,16.9,16.9,0,0
20120229,16,16,15.7,15.8,0,0
20120301,16.7,16.8,16.7,16.8,0,0
20120306,15.9,15.9,15.8,15.8,0,0
20120309,16.3,16.3,16.3,16.3,0,0
20120312,16.3,16.6,16.3,16.5,0,0
20120313,15.6,15.6,15.6,15.6,0,0
20120314,16.2,17.5,16.2,17.4,0,0
20120319,17.1,17.6,17.1,17.6,0,0
20120326,17.5,17.5,17.4,17.4,0,0
20120330,17.4,17.4,17.4,17.4,0,0
20120402,17.4,17.4,17.4,17.4,0,0
20120404,17.4,17.4,17.4,17.4,0,0
20120405,17.4,17.4,17.4,17.4,0,0
20120410,17.4,17.4,17.4,17.4,0,0
20120411,17.4,17.4,17.4,17.4,0,0
20120412,17.3,18,17.3,18,0,0
20120413,18,18,18,18,0,0
20120416,18.1,19.2,18.1,19,0,0
20120417,18.7,18.7,18.7,18.7,0,0
20120418,18.7,18.7,18.7,18.7,0,0
20120420,19,19,19,19,0,0
20120424,17.7,17.7,16.8,16.8,0,0
20120427,16.8,17.7,16.7,17.7,0,0
20120430,17.9,18.2,17.9,18.2,0,0
20120502,18.2,20.3,18.2,20.3,0,0
20120504,19.3,19.3,19.2,19.2,0,0
20120508,18.4,18.5,18.4,18.5,0,0
20120509,19.2,19.2,19.1,19.1,0,0
20120529,17.1,17.1,17.1,17.1,0,0
20120530,17.1,17.1,17.1,17.1,0,0
20120606,16,16,15.7,15.7,0,0
20120615,15.8,15.8,15.8,15.8,0,0
20120625,19.9,19.9,19.9,19.9,0,0
20120626,19.9,19.9,19.9,19.9,0,0
20120628,19.9,19.9,19.9,19.9,0,0
20120629,19.9,19.9,19.9,19.9,0,0
20120702,19.9,19.9,19.9,19.9,0,0
20120703,19.9,19.9,19.9,19.9,0,0
20120705,19.9,19.9,19.9,19.9,0,0
20120717,19.8,19.8,19.8,19.8,0,0
20120719,19.8,19.8,19.8,19.8,0,0
20120720,19.5,21.1,19.5,21.1,0,0
20120801,19.9,19.9,19.1,19.3,0,0
20120810,19.3,20.2,19.3,20.2,0,0
20120813,20.2,20.8,20.2,20.8,0,0
20120817,20.8,21.1,20.8,21.1,0,0
20120919,9.7,9.7,9.7,9.7,0,0
20120920,9.7,9.7,9.7,9.7,0,0
20120924,9.6,9.7,9.6,9.7,0,0
20120925,9.6,9.6,9.6,9.6,0,0
20120926,9.7,9.7,9.7,9.7,0,0
20120927,9.8,9.9,9.8,9.9,0,0
20120928,9.6,9.6,9.1,9.1,0,0
20121001,9.7,9.7,9.6,9.6,0,0
20121115,7.9,7.9,7.9,7.9,0,0
20121120,8,8,7,7,0,0
20121121,6.4,8.9,6.4,8.4,0,0
20121122,8.6,8.6,8.6,8.6,0,0
20121123,8.8,9.7,8.8,9.7,0,0
20121126,9.6,9.8,9.6,9.8,0,0
20121127,9.8,9.8,9.8,9.8,0,0
20121128,9.8,9.8,9.8,9.8,0,0
