Date,Open,High,Low,Close,Volume,OpenInt
20140618,31.9,31.9,31.8,31.8,0,0
20140623,31.9,31.9,31.8,31.8,0,0
20140624,31.9,31.9,30.4,31.8,0,0
20140625,31.9,31.9,31.8,31.8,0,0
20140626,31.9,31.9,29,31.8,0,0
20140627,30.4,31.9,30.4,31.8,0,0
20140701,30.4,33.3,30.4,33.2,0,0
20140702,33.3,33.3,33.2,33.2,0,0
20140703,33.3,46.4,33.3,46.2,0,0
20140704,43.5,43.5,40.6,41.9,0,0
20140707,42,42,41.9,41.9,0,0
20140708,42,42,40.5,40.5,0,0
20140709,39.1,39.1,34.8,37.6,0,0
20140711,34.8,37.7,33.2,33.2,0,0
20140714,37.7,39.1,37.6,37.6,0,0
20140718,37.7,40.6,37.7,40.5,0,0
20140723,37.7,37.7,37.6,37.6,0,0
20140725,39.1,39.1,39,39,0,0
20140730,39.1,39.1,39,39,0,0
20140804,40.6,40.6,40.5,40.5,0,0
20140805,42,42,41.9,41.9,0,0
20140806,42,42,34.8,37.6,0,0
20140808,34.8,37.7,33.3,37.6,0,0
20140814,34.8,34.8,34.7,34.7,0,0
20140818,34.8,34.8,34.7,34.7,0,0
20140819,34.8,39.1,34.8,37.6,0,0
20140820,34.8,34.8,31.9,34.7,0,0
20140821,34.8,34.8,34.7,34.7,0,0
20140825,33.3,33.3,33.2,33.2,0,0
20140826,34.8,34.8,34.7,34.7,0,0
20140827,34.8,34.8,33.3,34.7,0,0
20140911,33.9,33.9,28.9,28.9,0,0
20140912,28.9,201.7,28.9,201.7,0,0
20140915,201.9,201.9,197.1,200.8,0,0
20140916,201.9,201.9,200.8,200.8,0,0
20140917,202.9,202.9,202.7,202.7,0,0
20140918,202.9,202.9,202.7,202.7,0,0
20140919,204.8,204.8,204.6,204.6,0,0
20140923,202.9,202.9,202.7,202.7,0,0
20140925,203.8,203.8,203.6,203.6,0,0
20140926,203.8,204.8,203.8,204.6,0,0
20140929,203.8,212.5,203.8,212.3,0,0
20140930,203.8,215.4,203.8,215.2,0,0
20141001,208.7,208.7,208.4,208.4,0,0
20141006,208.7,239.4,208.7,221.9,0,0
20141007,221.2,231.7,221.2,230.5,0,0
20141008,229.8,239.4,229.8,238.2,0,0
20141009,238.5,264.4,238.5,264.1,0,0
20141010,254.8,266.3,254.8,259.3,0,0
20141013,256.7,266.3,248.1,254.5,0,0
20141014,256.7,257.7,244.9,244.9,0,0
20141015,250,253.8,249.7,249.7,0,0
20141016,247.1,247.1,203.8,230.5,0,0
20141017,240.4,244.2,215.4,244,0,0
20141020,231.7,231.7,231.5,231.5,0,0
20141021,226,232.7,226,231.5,0,0
20141023,227.9,227.9,227.9,227.9,0,0
20141027,226,242.3,221.2,242.1,0,0
20141028,227.9,240.4,227.9,230.5,0,0
20141029,232.7,232.7,226,226,0,0
20141030,223.1,223.1,222.8,222.8,0,0
20141031,226,226,225.7,225.7,0,0
20141104,224,224,223.8,223.8,0,0
20141105,226,226,225.7,225.7,0,0
20141106,226,227.9,226,226.7,0,0
20141107,227.9,227.9,227.6,227.6,0,0
20141110,226,228.8,226,228.6,0,0
20141112,227.9,227.9,227.6,227.6,0,0
20141113,225,225,222.8,222.8,0,0
20141114,227.9,227.9,227.6,227.6,0,0
20141117,217.3,217.3,200.8,200.8,0,0
20141118,201,206.7,201,206.5,0,0
20141119,212.5,213.5,212.5,213.2,0,0
20141120,206.7,206.7,206.5,206.5,0,0
20141121,205.8,213.5,205.8,213.2,0,0
20141124,213.5,222.1,213.5,220.9,0,0
20141125,222.1,223.1,213.5,214.2,0,0
20141126,221.2,240.4,216.3,240.1,0,0
20141127,239.4,239.4,238.2,238.2,0,0
20141128,233.7,233.7,226.9,231.5,0,0
20141201,222.1,228.8,220.9,220.9,0,0
20141202,219.2,226,208.7,225.7,0,0
20141204,213.5,213.5,201.7,201.7,0,0
20141205,201,207.7,192.3,207.5,0,0
20141208,207.7,219.2,207.7,219,0,0
20141209,202.9,216.3,115.4,115.4,0,0
20141210,107.7,115.4,107.7,111.8,0,0
20141211,111.8,111.8,111.8,111.8,0,0
20141212,108.2,108.2,108.2,108.2,0,0
20141216,109.7,110.3,109.7,110.2,0,0
20141217,107.7,107.7,107.7,107.7,0,0
20141219,106.7,106.7,106.7,106.7,0,0
20141222,106.7,108.7,106.7,108.2,0,0
20141223,108.2,108.2,105.6,108.2,0,0
20141229,105.1,108.7,105.1,107.7,0,0
20141230,108.7,108.7,108.7,108.7,0,0
