Date,Open,High,Low,Close,Volume,OpenInt
20131218,43.6,43.6,43.6,43.6,0,0
20131219,43.7,43.7,43.6,43.6,0,0
20131220,40.6,43.6,40.6,43.6,0,0
20131227,43.3,47.7,43.3,47.7,0,0
20131230,43,50.4,43,50.3,0,0
20140102,50.3,51,46.3,46.3,0,0
20140103,46.3,46.3,46.3,46.3,0,0
20140110,47.7,47.7,47.7,47.7,0,0
20140117,44.4,44.4,44.4,44.4,0,0
20140121,41.3,41.8,41.3,41.8,0,0
20140130,42.3,42.3,42.3,42.3,0,0
20140131,44.7,52.7,44.7,52.7,0,0
20140205,47.5,47.5,47.5,47.5,0,0
20140206,44.2,52.7,44.2,52.7,0,0
20140210,44.2,44.2,44.2,44.2,0,0
20140211,44.2,44.2,44.2,44.2,0,0
20140213,42.5,42.5,32.2,32.2,0,0
20140214,30,30,30,30,0,0
20140812,41.7,41.7,41.7,41.7,0,0
20140814,39,39,39,39,0,0
20140818,39.1,39.1,39,39,0,0
20140819,38.3,39,38.3,39,0,0
20140820,35.6,38.3,35.6,38.3,0,0
20140821,36.5,38.3,36.5,38.3,0,0
20140822,38.3,39.2,38.3,39.2,0,0
20140825,35.7,39.2,35.7,39.2,0,0
20140827,37.4,37.4,37.4,37.4,0,0
20140902,37.4,37.4,37.4,37.4,0,0
20140904,34.9,37.4,34.9,37.4,0,0
20140905,37.4,44.7,37.4,43.7,0,0
20140909,43.5,43.5,43.5,43.5,0,0
20140910,43.5,43.5,41.2,41.2,0,0
20140911,41,41,39.2,39.2,0,0
20140912,40.6,41,40.6,41,0,0
20140915,43.7,43.7,43.7,43.7,0,0
20140916,41.2,41.2,41,41.2,0,0
20140917,44.9,47.2,44.9,47.2,0,0
20140918,47.2,47.2,47.1,47.1,0,0
20140919,47.2,53.5,47.2,48.1,0,0
20140922,48.1,59.4,48.1,51.7,0,0
20140923,52.2,52.2,49.9,49.9,0,0
20140925,51.5,51.5,49.9,49.9,0,0
20140926,49.9,49.9,49.9,49.9,0,0
20140929,49.9,50.8,49.9,50.8,0,0
20140930,52,52.1,52,52.1,0,0
20141002,52.1,52.1,52.1,52.1,0,0
20141006,52.1,52.7,52.1,52.6,0,0
20141007,52.6,54.5,52.6,54.5,0,0
20141008,52.6,52.6,49,49,0,0
20141009,52.6,52.6,47.4,47.4,0,0
20141010,47.4,47.4,39.2,39.2,0,0
20141013,39.2,39.2,39.2,39.2,0,0
20141014,41,41,41,41,0,0
20141015,41,41,40.1,40.1,0,0
20141016,40.3,42.2,40.1,40.1,0,0
20141017,39.4,41,38.1,41,0,0
20141020,37.4,42.8,37.4,40.1,0,0
20141021,40.1,42.2,40.1,42.2,0,0
20141022,42,42.1,42,42.1,0,0
20141024,42.1,45.1,42.1,45.1,0,0
20141028,42.4,42.8,40.1,42.8,0,0
20141031,42.8,42.8,42.8,42.8,0,0
20141107,42.8,42.8,42.8,42.8,0,0
20141112,42.8,58.8,42.8,58.8,0,0
20141113,56.1,56.1,55.6,55.6,0,0
20141117,55.6,55.6,52.8,52.8,0,0
20141118,52.8,52.8,48.1,51.5,0,0
20141120,51.5,54.4,51.5,54.4,0,0
20141121,54,54,54,54,0,0
20141124,50.4,50.4,46.3,46.3,0,0
20141125,46.1,49.9,46.1,49.9,0,0
20141126,49.7,51.5,49.7,49.9,0,0
20141127,50.4,50.4,44.7,44.7,0,0
20141128,45.4,53.4,43.2,44.6,0,0
20141202,42.4,42.8,39.9,42.8,0,0
20141203,42.8,44.6,42.8,44.6,0,0
20141204,41.9,41.9,41.9,41.9,0,0
20141205,41.9,41.9,41.9,41.9,0,0
20141208,41.9,41.9,41.9,41.9,0,0
20141210,41,46.3,10,10,0,0
20141211,10.7,11.8,10.7,11.8,0,0
20141212,11.8,11.8,11.8,11.8,0,0
20141215,11.8,11.8,11.8,11.8,0,0
20141217,12,12.7,12,12.6,0,0
20141218,11.8,12,11.8,12,0,0
20141219,11.6,11.7,11.6,11.7,0,0
20141222,12.5,12.5,12.4,12.4,0,0
20141223,12.4,13.1,12.4,13.1,0,0
20141229,13.1,13.1,13.1,13.1,0,0
