Date,Open,High,Low,Close,Volume,OpenInt
20080821,6.19,6.19,6.19,6.19,0,0
20080822,5.23,5.23,5.23,5.23,0,0
20080825,6.19,6.19,6.19,6.19,0,0
20080827,6.19,6.19,6.19,6.19,0,0
20080828,7.36,7.36,7.36,7.36,0,0
20080829,6.23,6.23,6.23,6.23,0,0
20080901,6.97,6.97,6.97,6.97,0,0
20080902,8.23,8.23,7.36,7.36,0,0
20080903,6.08,6.08,6.08,6.08,0,0
20080904,5.34,5.62,5.23,5.62,0,0
20080905,5.62,5.62,5.62,5.62,0,0
20080908,5.66,6.23,5.66,6.23,0,0
20080912,5.58,6.12,5.23,6.12,0,0
20080915,5.66,5.66,5.65,5.65,0,0
20080916,5.65,5.65,5.65,5.65,0,0
20080917,5.61,5.62,5.61,5.62,0,0
20080918,5.62,5.62,5.62,5.62,0,0
20080919,5.62,5.62,5.62,5.62,0,0
20080922,5.62,5.62,5.62,5.62,0,0
20080923,5.11,5.11,5.11,5.11,0,0
20080925,5.42,5.42,5.42,5.42,0,0
20080926,5.42,5.42,5.42,5.42,0,0
20080929,5.42,5.42,5.42,5.42,0,0
20080930,5.34,5.34,5.34,5.34,0,0
20081001,4.84,6,4.84,6,0,0
20081003,5.23,5.23,5.23,5.23,0,0
20081006,4.68,4.68,4.68,4.68,0,0
20081007,4.45,4.46,4.45,4.46,0,0
20081008,4.26,4.26,4.26,4.26,0,0
20081009,4.26,4.26,4.26,4.26,0,0
20081010,3.87,3.87,3.87,3.87,0,0
20081013,4.57,4.57,4.57,4.57,0,0
20081014,4.81,4.81,4.8,4.8,0,0
20081015,4.84,4.96,4.84,4.96,0,0
20081021,5.07,5.39,5.07,5.38,0,0
20081023,5.42,5.42,5.42,5.42,0,0
20081028,5.42,5.42,5.42,5.42,0,0
20081030,4.34,5.42,4.34,5.42,0,0
20081104,5.34,5.34,5.34,5.34,0,0
20081105,4.95,5.42,4.95,5.42,0,0
20081110,5.42,5.42,5.42,5.42,0,0
20081114,5.42,5.42,5.42,5.42,0,0
20081117,5.42,5.42,5.42,5.42,0,0
20081118,5.42,5.42,5.42,5.42,0,0
20081121,5.42,5.42,5.42,5.42,0,0
20081124,5.42,5.42,5.42,5.42,0,0
20081125,5.42,5.42,5.42,5.42,0,0
20081127,5.42,5.42,5.42,5.42,0,0
20081202,5.42,5.42,5.42,5.42,0,0
20081203,5.11,5.11,5.11,5.11,0,0
20081204,5.11,5.11,4.96,5.11,0,0
20081208,4.3,4.69,4.3,4.68,0,0
20081209,4.68,4.68,3.68,4.46,0,0
20081211,4.5,4.5,4.49,4.49,0,0
20081216,4.38,4.38,4.38,4.38,0,0
20081217,4.38,4.38,4.38,4.38,0,0
20081218,4.38,4.38,4.38,4.38,0,0
20081219,4.38,4.38,4.38,4.38,0,0
20081222,4.38,4.38,4.38,4.38,0,0
20081223,4.38,4.38,4.38,4.38,0,0
20081229,4.38,4.38,4.38,4.38,0,0
20081230,4.38,4.38,4.38,4.38,0,0
20081231,4.38,4.38,4.38,4.38,0,0
20090105,4.42,4.42,4.42,4.42,0,0
20090107,4.65,4.65,4.64,4.64,0,0
20090108,4.84,4.84,4.84,4.84,0,0
20090109,4.84,4.84,4.84,4.84,0,0
20090112,4.84,5.42,4.84,5.42,0,0
20090116,5.38,5.38,5.38,5.38,0,0
20090119,5.38,5.38,5.38,5.38,0,0
20090120,5.38,5.38,5.38,5.38,0,0
20090127,4.46,4.46,4.46,4.46,0,0
20090129,5.35,5.35,5.34,5.34,0,0
20090130,5.38,5.38,5.38,5.38,0,0
20090202,5.38,5.38,5.38,5.38,0,0
20090203,5.38,5.38,5.38,5.38,0,0
20090204,5.38,5.38,5.38,5.38,0,0
20090205,3.87,3.87,3.87,3.87,0,0
20090206,3.91,3.91,3.91,3.91,0,0
20090210,4.68,4.68,4.68,4.68,0,0
20090212,4.99,4.99,4.99,4.99,0,0
20090213,4.99,4.99,4.99,4.99,0,0
20090219,4.99,4.99,4.99,4.99,0,0
20090220,4.99,4.99,4.99,4.99,0,0
20090224,4.99,4.99,4.99,4.99,0,0
20090226,4.99,5.34,4.99,5.34,0,0
20090303,5.34,5.38,5.34,5.38,0,0
20090309,1.87,1.87,1.87,1.87,0,0
20090312,2.18,2.23,1.88,1.88,0,0
20090313,2.12,2.12,2.12,2.12,0,0
20090316,2.34,2.54,2.34,2.54,0,0
20090317,2.82,2.89,2.82,2.89,0,0
20090318,2.89,2.98,2.51,2.98,0,0
20090319,2.93,3.04,2.68,2.68,0,0
20090320,2.98,2.98,2.98,2.98,0,0
20090323,3.01,3.76,3.01,3.76,0,0
20090324,2.9,2.9,2.9,2.9,0,0
20090325,3.48,3.48,3.48,3.48,0,0
20090402,3.43,3.43,3.43,3.43,0,0
20090403,3.14,3.14,3.14,3.14,0,0
20090406,3.14,3.14,3.14,3.14,0,0
20090408,2.74,2.9,2.74,2.9,0,0
20090414,3.14,3.14,2.74,2.74,0,0
20090415,2.67,2.67,2.67,2.67,0,0
20090416,2.6,2.6,2.6,2.6,0,0
20090417,2.67,2.82,2.51,2.82,0,0
20090421,2.35,2.51,2.35,2.51,0,0
20090422,2.35,2.35,2.35,2.35,0,0
20090423,2.51,2.51,2.51,2.51,0,0
20090424,2.2,2.2,2.2,2.2,0,0
20090427,2.07,2.35,2.07,2.35,0,0
20090428,2.04,2.04,2.04,2.04,0,0
20090522,2.12,2.12,2.12,2.12,0,0
20090527,2.77,2.77,2.77,2.77,0,0
20090603,2.74,2.74,2.74,2.74,0,0
20090604,2.65,2.65,2.65,2.65,0,0
20090605,2.63,2.67,2.63,2.67,0,0
20090625,2.67,2.9,2.67,2.67,0,0
20090626,2.96,2.98,2.96,2.98,0,0
20090629,3.09,3.09,3.09,3.09,0,0
20090715,3.06,3.06,3.06,3.06,0,0
20090724,3.06,3.06,3.06,3.06,0,0
20090728,3.09,3.09,3.09,3.09,0,0
20090729,3.09,3.21,3.09,3.21,0,0
20090730,3.12,3.29,3.12,3.26,0,0
20090731,3.07,3.29,2.9,3.29,0,0
20090803,3.21,3.21,3.21,3.21,0,0
20090806,3.29,3.29,3.29,3.29,0,0
20090807,3.21,3.21,3.21,3.21,0,0
20090810,3.28,3.28,3.28,3.28,0,0
20090811,3.14,3.14,3.14,3.14,0,0
20090813,2.85,2.85,2.85,2.85,0,0
20090817,2.98,2.98,2.98,2.98,0,0
20090818,2.98,2.98,2.98,2.98,0,0
20090820,2.72,2.72,2.58,2.59,0,0
20090821,2.68,2.79,2.66,2.79,0,0
20090824,2.85,2.98,2.85,2.86,0,0
20090825,2.86,3.14,2.86,3.14,0,0
20090826,3.08,3.21,2.94,3.21,0,0
20090827,3.09,3.18,3.08,3.18,0,0
20090828,3.21,3.21,3.08,3.08,0,0
20090901,3.06,3.19,3.06,3.16,0,0
20090902,3.19,3.19,3.19,3.19,0,0
20090903,2.94,2.94,2.94,2.94,0,0
20090904,2.94,3.19,2.94,3.19,0,0
20090911,3.08,3.08,2.65,3.08,0,0
20090914,2.65,2.86,2.65,2.86,0,0
20090915,2.65,2.86,2.65,2.86,0,0
20090921,2.65,3.15,2.65,3.15,0,0
20090924,3.15,3.15,3.15,3.15,0,0
20090925,3.15,3.15,3.15,3.15,0,0
20090928,3.15,3.15,3.15,3.15,0,0
20090929,3.15,3.15,2.88,2.88,0,0
20091001,3.11,3.11,3.11,3.11,0,0
20091002,2.88,2.88,2.86,2.86,0,0
20091005,2.86,2.86,2.86,2.86,0,0
20091006,2.86,3.12,2.86,3.12,0,0
20091008,3.08,3.08,3.08,3.08,0,0
20091009,3.08,3.08,2.66,2.66,0,0
20091012,2.66,2.66,2.58,2.58,0,0
20091015,2.79,2.79,2.79,2.79,0,0
20091016,2.79,2.79,2.79,2.79,0,0
20091020,2.99,2.99,2.99,2.99,0,0
20091022,2.99,2.99,2.99,2.99,0,0
20091023,2.86,2.86,2.75,2.75,0,0
20091027,2.79,2.79,2.79,2.79,0,0
20091028,2.79,2.79,2.79,2.79,0,0
20091030,2.95,2.95,2.95,2.95,0,0
20091102,2.96,2.96,2.96,2.96,0,0
20091103,2.86,2.86,2.86,2.86,0,0
20091104,2.95,2.96,2.91,2.91,0,0
20091106,2.95,2.95,2.92,2.92,0,0
20091109,2.92,2.92,2.92,2.92,0,0
20091110,2.86,2.86,2.86,2.86,0,0
20091112,2.86,2.86,2.86,2.86,0,0
20091119,2.81,2.81,2.81,2.81,0,0
20091120,3.02,3.02,3.02,3.02,0,0
20091123,3.03,3.03,3.03,3.03,0,0
20091124,3.02,3.02,3.02,3.02,0,0
20091125,3.02,3.02,3.02,3.02,0,0
20091126,3.02,3.02,3.02,3.02,0,0
20091127,3.02,3.02,3.02,3.02,0,0
20091130,3.02,3.02,3.02,3.02,0,0
20091201,3.02,3.02,3.02,3.02,0,0
20091202,3.02,3.02,3.02,3.02,0,0
20091203,3.02,3.02,3.02,3.02,0,0
20091204,3.02,3.02,3.02,3.02,0,0
20091207,3.02,3.02,3.02,3.02,0,0
20091208,3.02,3.02,3.02,3.02,0,0
20091209,3.02,3.02,3.02,3.02,0,0
20091210,2.99,2.99,2.99,2.99,0,0
20091211,2.99,2.99,2.99,2.99,0,0
20091214,2.99,2.99,2.99,2.99,0,0
20091215,2.97,2.97,2.97,2.97,0,0
20091216,2.97,2.97,2.97,2.97,0,0
20091217,2.97,2.97,2.97,2.97,0,0
20091218,2.97,2.97,2.97,2.97,0,0
20091221,2.97,2.97,2.97,2.97,0,0
20091222,2.72,2.72,2.7,2.7,0,0
20091223,2.93,2.93,2.93,2.93,0,0
20091228,2.69,2.84,2.69,2.84,0,0
20091229,2.91,2.91,2.91,2.91,0,0
20091230,2.91,2.91,2.91,2.91,0,0
20100104,2.91,2.91,2.91,2.91,0,0
20100105,2.91,2.91,2.84,2.84,0,0
20100106,2.84,2.84,2.84,2.84,0,0
20100107,2.84,2.84,2.84,2.84,0,0
20100108,2.89,2.89,2.89,2.89,0,0
20100111,2.89,2.89,2.89,2.89,0,0
20100112,2.89,2.89,2.89,2.89,0,0
20100113,2.9,2.9,2.84,2.84,0,0
20100115,2.84,2.84,2.84,2.84,0,0
20100118,2.96,3.41,2.96,3.41,0,0
20100119,3.44,3.66,3.44,3.44,0,0
20100120,3.44,3.44,3.44,3.44,0,0
20100121,3.44,3.44,3.44,3.44,0,0
20100122,3.44,3.44,3.44,3.44,0,0
20100125,3.44,3.44,3.44,3.44,0,0
20100126,3.44,3.44,3.44,3.44,0,0
20100127,3.27,3.27,3.27,3.27,0,0
20100128,3.27,3.27,3.27,3.27,0,0
20100129,3.27,3.27,3.27,3.27,0,0
20100201,3.27,3.27,3.27,3.27,0,0
20100202,3.27,3.27,3.27,3.27,0,0
20100203,3.27,3.27,2.83,2.83,0,0
20100204,2.89,3.27,2.89,3.14,0,0
20100205,2.83,3.26,2.83,3.23,0,0
20100208,3.23,3.23,3.23,3.23,0,0
20100209,3.17,3.17,2.96,2.96,0,0
20100210,3.01,3.01,3.01,3.01,0,0
20100211,3.01,3.06,3.01,3.06,0,0
20100212,3.22,3.22,3.14,3.14,0,0
20100215,2.69,2.78,2.69,2.74,0,0
20100216,2.69,2.69,2.54,2.69,0,0
20100217,2.69,2.69,2.25,2.25,0,0
20100218,2.38,2.38,2.25,2.37,0,0
20100219,2.36,2.4,2.36,2.4,0,0
20100222,2.46,2.46,2.38,2.38,0,0
20100223,2.46,2.64,2.46,2.64,0,0
20100224,2.63,2.63,2.62,2.62,0,0
20100225,2.62,2.62,2.62,2.62,0,0
20100226,2.62,2.62,2.62,2.62,0,0
20100301,2.64,3.11,2.64,2.83,0,0
20100302,3.02,3.02,2.91,2.91,0,0
20100303,2.91,2.91,2.91,2.91,0,0
20100304,2.91,2.95,2.91,2.91,0,0
20100305,2.91,2.91,2.91,2.91,0,0
20100308,2.89,2.89,2.89,2.89,0,0
20100309,2.76,2.76,2.76,2.76,0,0
20100310,2.76,2.76,2.76,2.76,0,0
20100311,2.76,2.76,2.76,2.76,0,0
20100312,2.88,3.04,2.88,3.04,0,0
20100315,3.04,3.52,3.04,3.52,0,0
20100316,3.08,3.5,3.08,3.5,0,0
20100317,3.52,3.91,3.2,3.2,0,0
20100318,3.2,3.4,3.07,3.4,0,0
20100322,2.76,3.14,2.73,3.14,0,0
20100329,3.13,3.13,3.13,3.13,0,0
20100330,3.05,3.05,3.05,3.05,0,0
20100406,2.7,3.05,2.7,3.05,0,0
20100407,3.05,3.05,3.05,3.05,0,0
20100421,3.05,3.05,3.05,3.05,0,0
20100427,2.7,2.76,2.62,2.76,0,0
20100512,2.4,2.76,2.4,2.76,0,0
20100520,2.55,2.84,2.55,2.84,0,0
20100525,2.55,2.71,2.55,2.71,0,0
20100526,2.85,2.85,2.85,2.85,0,0
20100601,2.85,2.85,2.85,2.85,0,0
20100602,2.55,2.63,2.45,2.63,0,0
20100609,2.55,2.55,2.55,2.55,0,0
20100611,2.55,2.55,2.55,2.55,0,0
20100614,2.55,2.84,2.55,2.84,0,0
20100621,2.77,2.77,2.4,2.4,0,0
20100622,2.54,2.54,2.4,2.54,0,0
20100623,2.77,2.77,2.77,2.77,0,0
20100625,2.54,2.75,2.54,2.75,0,0
20100630,2.4,2.69,2.4,2.69,0,0
20100701,2.73,2.73,2.67,2.67,0,0
20100705,2.4,2.77,2.33,2.77,0,0
20100706,2.38,2.6,2.25,2.55,0,0
20100707,2.27,2.27,2.25,2.25,0,0
20100708,2.6,2.6,2.27,2.27,0,0
20100712,2.32,2.32,2.32,2.32,0,0
20100714,2.25,2.25,2.25,2.25,0,0
20100721,2.4,2.71,2.4,2.71,0,0
20100722,2.78,2.85,2.55,2.85,0,0
20100723,2.87,3.16,2.87,3.16,0,0
20100727,2.63,3.08,2.63,3.08,0,0
20100802,2.85,3.08,2.85,3.08,0,0
20100803,2.85,3.08,2.85,3.08,0,0
20100804,2.85,2.85,2.85,2.85,0,0
20100806,2.65,2.65,2.48,2.48,0,0
20100809,2.83,2.83,2.83,2.83,0,0
20100816,2.78,2.78,2.73,2.73,0,0
20100817,2.77,2.77,2.61,2.61,0,0
20100818,2.65,2.72,2.65,2.72,0,0
20100819,2.72,2.72,2.65,2.65,0,0
20100820,2.65,2.65,2.65,2.65,0,0
20100827,2.65,2.65,2.65,2.65,0,0
20100830,2.65,2.79,2.65,2.79,0,0
20100910,2.43,2.58,2.43,2.58,0,0
20100913,2.78,2.78,2.78,2.78,0,0
20100914,2.45,2.72,2.45,2.72,0,0
20100916,2.38,2.38,2.38,2.38,0,0
20100917,2.66,2.66,2.66,2.66,0,0
20100921,2.39,2.39,2.39,2.39,0,0
20100922,2.51,2.51,2.43,2.43,0,0
20100923,2.43,2.43,2.43,2.43,0,0
20100924,2.43,2.45,2.43,2.45,0,0
20100927,2.45,2.45,2.45,2.45,0,0
20100928,2.46,2.46,2.46,2.46,0,0
20100929,2.46,2.46,2.46,2.46,0,0
20101005,2.4,2.4,2.4,2.4,0,0
20101006,2.46,2.46,2.46,2.46,0,0
20101020,2.38,2.38,2.38,2.38,0,0
20101025,2.59,2.59,2.59,2.59,0,0
20101108,2.38,2.38,2.36,2.36,0,0
20101206,2.33,2.33,2.33,2.33,0,0
20101228,2.43,2.43,2.43,2.43,0,0
20110104,2.29,2.29,2.26,2.29,0,0
20110105,2.29,2.45,2.27,2.27,0,0
20110114,2.47,2.47,2.47,2.47,0,0
20110202,2.23,2.23,2.14,2.14,0,0
20110207,2.16,2.16,2.16,2.16,0,0
20110209,2.14,2.14,2.14,2.14,0,0
20110223,2.08,2.12,2.08,2.12,0,0
20110224,2.12,2.12,2.12,2.12,0,0
20110225,2.12,2.21,2.12,2.21,0,0
20110315,2.08,2.22,2.08,2.22,0,0
20110324,2.22,2.22,2.22,2.22,0,0
20110325,2.22,2.22,2.22,2.22,0,0
20110404,2.22,2.22,2.22,2.22,0,0
20110413,2.22,2.42,2.22,2.42,0,0
20110419,2.3,2.3,2.3,2.3,0,0
20110505,2.45,2.45,2.45,2.45,0,0
20110510,2.55,2.55,2.55,2.55,0,0
20110525,2.3,2.34,2.3,2.34,0,0
20110530,2.38,2.48,2.34,2.34,0,0
20110531,2.48,2.76,2.41,2.54,0,0
20110601,2.41,2.41,2.41,2.41,0,0
20110602,2.38,2.38,2.38,2.38,0,0
20110607,2.34,2.34,2.34,2.34,0,0
20110616,2.4,2.4,2.4,2.4,0,0
20110630,2.48,2.48,2.4,2.4,0,0
20110705,2.47,2.47,2.47,2.47,0,0
20110706,2.33,2.33,2.33,2.33,0,0
20110708,2.33,2.33,2.33,2.33,0,0
20110714,2.35,2.4,2.35,2.4,0,0
20110715,2.47,2.55,2.47,2.55,0,0
20110722,2.41,2.41,2.41,2.41,0,0
20110808,2.41,2.41,2.41,2.41,0,0
20110809,2.41,2.41,2.41,2.41,0,0
20110810,2.27,2.27,2.27,2.27,0,0
20110822,2.28,2.28,2.28,2.28,0,0
20110823,2.31,2.32,2.31,2.32,0,0
20110831,2.3,2.3,2.24,2.24,0,0
20110912,2.22,2.22,2.19,2.22,0,0
20110915,2.21,2.21,2.21,2.21,0,0
20110920,2.21,2.21,2.21,2.21,0,0
20110927,2.18,2.18,2.18,2.18,0,0
20111003,2.11,2.11,2.11,2.11,0,0
20111011,1.99,1.99,1.99,1.99,0,0
20111012,1.93,1.93,1.93,1.93,0,0
20111013,1.87,1.87,1.87,1.87,0,0
20111014,1.74,1.74,1.74,1.74,0,0
20111019,1.83,1.83,1.83,1.83,0,0
20111025,1.82,1.82,1.82,1.82,0,0
20111028,1.74,1.74,1.74,1.74,0,0
20111104,1.74,1.74,1.74,1.74,0,0
20111110,1.64,1.64,1.6,1.6,0,0
20111114,1.45,1.45,1.42,1.42,0,0
20111118,1.38,1.38,1.38,1.38,0,0
20111123,2.08,2.08,2.08,2.08,0,0
