Date,Open,High,Low,Close,Volume,OpenInt
20100908,4.44,4.44,4.44,4.44,0,0
20100909,4.42,4.54,4.42,4.54,0,0
20100910,4.32,5.28,4.32,5.28,0,0
20100913,4.26,4.56,4.26,4.43,0,0
20100914,4.5,4.5,4.49,4.49,0,0
20100915,4.32,4.48,4.32,4.48,0,0
20100916,4.44,4.44,4.44,4.44,0,0
20100917,4.24,4.31,3.72,3.72,0,0
20100920,3.74,3.74,3.14,3.24,0,0
20100921,3.24,3.24,3.24,3.24,0,0
20100922,3.24,3.42,3.24,3.42,0,0
20100923,3.42,3.66,3.42,3.66,0,0
20100924,3.59,3.66,3.59,3.66,0,0
20100927,3.44,3.66,3.44,3.66,0,0
20100928,3.49,3.53,3.49,3.53,0,0
20100929,3.44,3.54,3.44,3.54,0,0
20100930,3.44,3.46,3.44,3.46,0,0
20101001,3.58,3.66,3.48,3.58,0,0
20101004,3.65,3.65,3.54,3.6,0,0
20101005,3.6,3.6,3.36,3.55,0,0
20101006,3.55,3.55,3.24,3.36,0,0
20101007,3.19,3.25,3.19,3.25,0,0
20101008,3.53,3.53,3.14,3.53,0,0
20101011,3.52,3.52,3.04,3.47,0,0
20101012,3.43,3.43,3.13,3.31,0,0
20101013,3.31,3.43,3.31,3.43,0,0
20101014,3.6,4.81,3.6,4.81,0,0
20101015,5.4,5.4,4.8,4.91,0,0
20101018,5.16,5.16,4.45,4.69,0,0
20101019,4.79,4.79,4.44,4.56,0,0
20101020,4.56,4.92,4.52,4.91,0,0
20101021,4.92,5.16,4.56,5.16,0,0
20101022,5.04,5.04,4.26,4.32,0,0
20101025,4.61,4.61,4.02,4.61,0,0
20101026,4.02,4.58,4.02,4.55,0,0
20101027,4.06,4.2,3.84,3.84,0,0
20101028,3.97,4.37,3.9,4.02,0,0
20101029,4.02,4.31,3.82,4.26,0,0
20101102,3.9,4.3,3.79,4.28,0,0
20101103,4.02,4.2,4.02,4.2,0,0
20101104,4.14,4.42,4.14,4.42,0,0
20101105,4.14,4.26,4.14,4.26,0,0
20101108,4.26,4.26,4.25,4.25,0,0
20101109,4.34,4.34,4.1,4.26,0,0
20101110,4.26,4.66,4.08,4.52,0,0
20101112,4.26,4.58,4.26,4.42,0,0
20101115,4.54,4.54,4.28,4.28,0,0
20101116,4.6,4.6,4.03,4.43,0,0
20101117,4.6,4.6,4.32,4.49,0,0
20101118,4.13,4.4,4.13,4.39,0,0
20101119,4.39,4.49,4.2,4.49,0,0
20101122,4.68,4.68,4.04,4.56,0,0
20101123,4.32,5.03,4.32,4.52,0,0
20101124,4.84,4.84,4.68,4.84,0,0
20101125,4.84,4.92,4.75,4.92,0,0
20101126,5,5,4.86,4.98,0,0
