Date,Open,High,Low,Close,Volume,OpenInt
20080402,16.28,16.28,16.28,16.28,0,0
20080403,16,16,5.13,5.13,0,0
20080404,5.24,5.65,5.24,5.64,0,0
20080407,5.93,5.93,5.45,5.57,0,0
20080408,5.5,5.51,5.39,5.39,0,0
20080409,5.61,5.61,5.38,5.4,0,0
20080410,5.39,5.39,5.37,5.38,0,0
20080411,5.52,5.53,5.52,5.53,0,0
20080414,5.51,5.51,5.07,5.38,0,0
20080415,5.54,5.54,5.2,5.49,0,0
20080416,5.49,5.64,5.21,5.64,0,0
20080417,5.32,5.6,5.32,5.6,0,0
20080418,5.35,5.59,5.21,5.37,0,0
20080421,5.31,5.37,5.22,5.22,0,0
20080422,5.34,5.34,5.2,5.2,0,0
20080423,4.96,4.99,4.94,4.94,0,0
20080424,4.94,4.96,4.83,4.83,0,0
20080425,5.19,5.19,4.85,5.18,0,0
20080428,5.21,6.21,5.21,6.17,0,0
20080429,5.89,6.01,5.79,6.01,0,0
20080430,6.02,6.2,5.67,5.94,0,0
20080505,6.17,6.17,5.94,5.94,0,0
20080506,5.94,6.04,5.93,6.02,0,0
20080507,6.13,6.13,5.94,5.94,0,0
20080508,6.07,6.09,5.94,6.09,0,0
20080509,6.2,6.24,6.2,6.24,0,0
20080512,6.52,6.52,6.07,6.51,0,0
20080513,6.51,6.51,6.05,6.34,0,0
20080514,6.08,6.31,6.07,6.2,0,0
20080515,6.1,6.32,6.1,6.32,0,0
20080516,6.31,6.31,6.31,6.31,0,0
20080519,6.31,6.31,5.95,6.31,0,0
20080520,5.95,6.27,5.94,5.94,0,0
20080521,6.01,6.22,5.94,5.94,0,0
20080523,6.15,6.15,5.78,6.1,0,0
20080526,6.22,6.22,5.76,5.76,0,0
20080527,5.9,5.9,5.9,5.9,0,0
20080528,5.9,5.9,5.51,5.9,0,0
20080529,5.65,5.87,5.51,5.78,0,0
20080530,5.75,5.75,5.51,5.51,0,0
20080602,5.75,5.75,5.75,5.75,0,0
20080603,5.5,5.75,5.5,5.75,0,0
20080604,5.38,5.94,5.35,5.35,0,0
20080605,4.8,5.79,4.8,5.79,0,0
20080606,5.85,6.01,5.85,5.87,0,0
