Date,Open,High,Low,Close,Volume,OpenInt
20140205,35,35,35,35,0,0
20140206,35,35,30.2,33.2,0,0
20140207,32.2,34.6,30,34.5,0,0
20140210,33.7,38.3,33.7,36.4,0,0
20140211,38.3,38.5,32.6,36.4,0,0
20140212,37.2,37.2,31.3,33.2,0,0
20140213,33.2,37.3,33.2,37.2,0,0
20140214,37.2,37.5,29.9,31.5,0,0
20140217,29.9,32.3,27.5,31.3,0,0
20140218,30.7,31.5,27,27,0,0
20140219,27,30.5,25.9,27.5,0,0
20140220,27.2,27.8,24.3,25.9,0,0
20140221,25.9,25.9,25.6,25.9,0,0
20140224,25.9,27,25.9,27,0,0
20140225,27,29.7,27,28.6,0,0
20140226,28.6,28.6,28.6,28.6,0,0
20140227,26.1,27.5,26.1,27.5,0,0
20140228,27.5,27.5,27,27.2,0,0
20140303,27,27,23.2,25.6,0,0
20140304,25.3,26.2,25.3,26.2,0,0
20140305,26.2,26.2,23.2,25.9,0,0
20140306,26.1,26.1,21.8,25.3,0,0
20140307,25,26.1,22.6,23.2,0,0
20140310,25.1,25.1,23.2,25.1,0,0
20140311,25.1,25.1,21.8,24.5,0,0
20140312,24.5,24.8,19.9,19.9,0,0
20140313,19.7,20.1,18.1,18.1,0,0
20140314,19.8,19.8,17.9,18.6,0,0
20140317,19.3,20.4,17.5,17.5,0,0
20140318,18.6,19.7,18.2,18.3,0,0
20140319,18.1,19.2,18.1,19.2,0,0
20140320,19.2,21.4,19.2,21.4,0,0
20140321,21.2,23.1,20.7,22.5,0,0
20140324,22.5,22.5,22.5,22.5,0,0
20140325,22.5,23.4,20.5,22.9,0,0
20140326,23.1,23.1,20.9,23.1,0,0
20140327,23.1,23.8,22.9,23.8,0,0
20140328,23.8,25.8,23.8,24.2,0,0
20140331,25.3,25.5,23.3,25.1,0,0
20140401,25.1,25.8,24,25.8,0,0
20140402,25.8,29.3,25.8,28.6,0,0
20140403,29.3,29.3,27.3,28.6,0,0
20140404,28.4,28.8,26.2,27.9,0,0
20140407,28.1,28.1,25.1,27.9,0,0
20140408,27.7,28.3,27,27.9,0,0
20140409,27.7,29,27,27.3,0,0
20140410,27.9,28.8,24.2,26.4,0,0
20140411,26.4,26.4,24,25.1,0,0
20140414,24.9,26.2,24,24.9,0,0
20140415,24,25.8,23.8,24.9,0,0
20140416,24.5,24.9,22.1,24,0,0
20140417,24,25.1,23.8,24.9,0,0
20140422,25.1,29.6,24,29.6,0,0
20140423,29.6,29.6,28.1,29.6,0,0
20140424,29.6,30.4,27.5,28.8,0,0
20140425,28.8,29.6,27.5,29.1,0,0
20140428,29.1,29.6,28.1,29.3,0,0
20140429,29.3,29.3,25.4,26.5,0,0
20140430,26,27.8,25.5,27.2,0,0
20140502,27.2,27.7,25.9,26.7,0,0
20140505,26.9,26.9,22,25.4,0,0
20140506,25.4,27.2,24.4,25.7,0,0
20140507,25.7,25.7,22.6,23.9,0,0
20140508,24.2,24.4,23.3,23.3,0,0
20140509,23.8,25.4,22,22.1,0,0
20140512,23.4,23.4,21.8,22.6,0,0
