Date,Open,High,Low,Close,Volume,OpenInt
20120820,19.66,19.66,19.66,19.66,0,0
20120822,20.85,20.85,20.85,20.85,0,0
20120823,22.04,22.04,22.04,22.04,0,0
20120824,23.68,23.83,23.68,23.83,0,0
20120827,26.45,26.51,17.8,17.8,0,0
20120828,18.6,19,18,18,0,0
20120829,17,17,13,13,0,0
20120830,13,13,11.8,11.8,0,0
20120831,13,13,11.21,11.21,0,0
20120904,10,10,10,10,0,0
20120905,12,12,12,12,0,0
20120906,12,12,12,12,0,0
20120907,10.1,12,10.1,12,0,0
20120910,12.11,12.11,12.1,12.1,0,0
20120911,12.21,14,12.21,14,0,0
20120912,15,16,14.6,14.6,0,0
20120913,16,17.2,16,17.2,0,0
20120918,16,16,13.8,13.8,0,0
20120919,13.2,13.2,12,12,0,0
20120924,12,12,10,11.8,0,0
20120926,12,12,12,12,0,0
20120927,12,12,10,10.21,0,0
20120928,11.2,11.2,11,11,0,0
20121001,11,11,11,11,0,0
20121003,12,12,12,12,0,0
20121004,10.7,10.7,10.7,10.7,0,0
20121005,10.6,10.6,10.2,10.2,0,0
20121008,10.3,10.8,10.3,10.8,0,0
20121009,10.31,10.31,9.6,9.6,0,0
20121010,8.4,8.4,8.4,8.4,0,0
20121011,8.41,8.41,8.41,8.41,0,0
20121015,9.8,9.8,9.8,9.8,0,0
20121017,9.8,10.49,9.8,10.49,0,0
20121019,10.5,10.5,10.5,10.5,0,0
20121022,10.5,10.91,10.5,10.91,0,0
20121024,10.51,10.51,10.5,10.5,0,0
20121102,11.53,11.53,11.53,11.53,0,0
20121106,9.66,9.66,9.26,9.26,0,0
20121107,7.99,8.39,7.41,7.56,0,0
20121109,7.99,9.03,7.99,9.03,0,0
20121112,10.5,10.5,10.5,10.5,0,0
20121114,12.19,12.19,12.19,12.19,0,0
20121119,11.44,11.44,10.09,10.09,0,0
20121120,8.41,8.41,8.4,8.4,0,0
20121121,8.41,8.41,8.4,8.4,0,0
20121122,8.41,9.03,8.41,9.03,0,0
20121126,8.81,10.5,8.81,10.5,0,0
20121127,11.36,11.87,10.29,11.34,0,0
20121128,12.34,14.7,11.34,14.7,0,0
20121129,14.7,14.7,11.76,11.76,0,0
20121130,11.67,11.7,10.71,10.71,0,0
20121203,12.86,12.86,12.86,12.86,0,0
20121204,11.56,11.57,11.56,11.57,0,0
20121206,11.36,11.56,11.36,11.56,0,0
20121210,11.56,11.56,11.56,11.56,0,0
20121211,11.56,12.39,11.56,12.39,0,0
20121213,13.86,14.87,10.84,10.84,0,0
20121214,10.42,12.48,10.42,12.48,0,0
20121217,13.02,13.02,13.02,13.02,0,0
20121218,13.78,13.78,13.78,13.78,0,0
20121220,15.3,15.3,13.78,13.78,0,0
20121221,12.25,12.25,11.02,11.02,0,0
20121227,11.49,12.02,11.49,12.02,0,0
20121228,12.25,14.4,12.25,14.4,0,0
20130102,13.78,13.78,13.78,13.78,0,0
20130103,13.17,13.77,13.17,13.77,0,0
20130110,13.77,15.16,13.77,13.78,0,0
20130111,13.78,13.78,12.25,12.55,0,0
20130114,12.26,14.01,12.26,14.01,0,0
20130115,12.57,12.57,12.57,12.57,0,0
20130116,14.08,14.08,13.94,13.94,0,0
20130117,14.83,16.72,14.83,16.72,0,0
20130118,17.61,17.61,15.16,15.16,0,0
20130121,15.31,15.31,15.31,15.31,0,0
20130122,16.61,16.61,16.61,16.61,0,0
20130128,15.16,15.16,15.16,15.16,0,0
20130131,13.79,13.79,13.79,13.79,0,0
20130206,13.79,13.79,13.79,13.79,0,0
20130207,15.31,15.31,15.31,15.31,0,0
20130208,15.31,15.31,14.1,14.1,0,0
20130211,15.31,15.31,14.26,14.26,0,0
20130212,15.31,15.31,15.31,15.31,0,0
20130214,12.9,12.9,12.01,12.01,0,0
20130215,12.89,12.89,12.89,12.89,0,0
20130219,13.61,14.38,13.61,14.38,0,0
20130220,14.7,14.7,13.61,13.61,0,0
20130221,13.54,13.54,13.54,13.54,0,0
20130222,14.05,14.05,11.89,11.89,0,0
