Date,Open,High,Low,Close,Volume,OpenInt
20130918,11.3,11.3,11.3,11.3,0,0
20130919,10.4,11.3,10.4,11.3,0,0
20130920,10.4,10.4,9.4,10.4,0,0
20130923,9.4,10.4,9.4,10.4,0,0
20130924,10.4,11.3,10.4,11.3,0,0
20130925,11.3,11.3,10.4,10.4,0,0
20130926,10.4,10.4,9.4,10.4,0,0
20130927,9.4,9.4,9.4,9.4,0,0
20130930,10.4,10.4,10.4,10.4,0,0
20131001,9.4,10.4,9.4,10.4,0,0
20131003,9.4,9.4,9.4,9.4,0,0
20131004,9.4,9.4,9.4,9.4,0,0
20131008,9.4,10.4,9.4,10.4,0,0
20131009,9.4,9.4,9.4,9.4,0,0
20131010,10.4,11.3,10.4,11.3,0,0
20131011,10.4,11.3,10.4,11.3,0,0
20131014,10.4,10.4,10.4,10.4,0,0
20131016,9.4,10.4,9.4,10.4,0,0
20131017,9.4,10.4,9.4,10.4,0,0
20131022,9.4,10.4,9.4,10.4,0,0
20131023,9.4,10.4,9.4,10.4,0,0
20131024,9.4,10.4,9.4,10.4,0,0
20131025,9.4,10.4,9.4,10.4,0,0
20131028,9.4,9.4,9.4,9.4,0,0
20131029,9.4,10.4,9.4,10.4,0,0
20131030,9.4,10.4,9.4,10.4,0,0
20131031,10.4,10.4,10.4,10.4,0,0
20131104,9.4,9.4,9.4,9.4,0,0
20131108,8.5,9.4,8.5,9.4,0,0
20131112,9.4,11.3,9.4,9.4,0,0
20131113,9.4,11.3,9.4,11.3,0,0
20131114,10.4,12.3,10.4,11.3,0,0
20131115,11.3,13.2,11.3,13.2,0,0
20131118,13.2,14.2,12.3,12.3,0,0
20131119,12.3,12.3,11.3,12.3,0,0
20131120,11.3,12.3,11.3,12.3,0,0
20131121,11.3,12.3,11.3,12.3,0,0
20131122,11.3,12.3,11.3,12.3,0,0
20131125,11.3,12.3,11.3,12.3,0,0
20131126,11.3,13.2,11.3,13.2,0,0
20131127,13.2,14.2,12.3,14.1,0,0
20131128,15.1,16,14.2,15.1,0,0
20131129,15.1,17,15.1,16,0,0
20131202,17,17.9,17,17.9,0,0
20131203,17.9,17.9,16,17,0,0
20131204,18.9,18.9,15.1,17,0,0
20131206,15.1,17,15.1,16,0,0
20131209,16,16,14.2,15.1,0,0
20131210,15.1,16,15.1,15.1,0,0
