Date,Open,High,Low,Close,Volume,OpenInt
20120119,1.91,1.91,1.91,1.91,0,0
20120120,1.91,2.05,1.58,1.91,0,0
20120123,1.91,1.91,1.91,1.91,0,0
20120124,1.91,1.91,1.91,1.91,0,0
20120125,1.91,1.91,1.91,1.91,0,0
20120126,1.95,1.98,1.95,1.98,0,0
20120127,1.98,1.98,1.86,1.86,0,0
20120130,1.86,1.86,1.81,1.81,0,0
20120201,1.71,1.81,1.64,1.81,0,0
20120207,1.73,1.73,1.71,1.71,0,0
20120220,1.67,1.96,1.67,1.96,0,0
20120221,1.96,1.96,1.96,1.96,0,0
20120222,1.96,1.96,1.96,1.96,0,0
20120227,2.01,2.01,2.01,2.01,0,0
20120228,1.98,1.98,1.87,1.91,0,0
20120229,1.92,1.92,1.92,1.92,0,0
20120309,2,2.15,2,2.15,0,0
20120312,2.35,2.46,2.35,2.46,0,0
20120313,2.51,2.51,2.51,2.51,0,0
20120314,2.58,2.66,2.58,2.66,0,0
20120315,2.66,2.66,2.58,2.58,0,0
20120316,2.41,2.41,2.41,2.41,0,0
20120319,2.3,2.3,2.3,2.3,0,0
20120326,2.1,2.1,1.98,1.98,0,0
20120327,1.77,1.77,1.48,1.48,0,0
20120328,1.5,1.5,1.5,1.5,0,0
20120402,1.43,1.43,1.43,1.43,0,0
20120405,1.43,1.58,1.43,1.58,0,0
20120413,1.5,1.5,1.43,1.43,0,0
20120416,1.5,1.5,1.5,1.5,0,0
20120417,1.54,1.54,1.54,1.54,0,0
20120418,1.59,1.59,1.59,1.59,0,0
20120419,1.66,1.66,1.66,1.66,0,0
20120423,1.72,1.72,1.72,1.72,0,0
20120424,1.72,1.72,1.72,1.72,0,0
20120425,1.72,1.72,1.72,1.72,0,0
20120426,1.72,1.72,1.72,1.72,0,0
20120427,1.72,1.72,1.72,1.72,0,0
20120504,1.72,1.72,1.72,1.72,0,0
20120507,1.64,1.64,1.64,1.64,0,0
20120628,1.66,1.66,1.66,1.66,0,0
20120710,1.66,1.66,1.66,1.66,0,0
20130201,1.7,1.7,1.38,1.38,0,0
20130212,1.38,1.65,1.38,1.65,0,0
20130213,1.38,1.38,1.38,1.38,0,0
20130228,1.38,1.38,1.38,1.38,0,0
20130301,1.38,1.38,1.38,1.38,0,0
20130304,1.38,1.38,1.38,1.38,0,0
20130305,1.38,1.38,1.38,1.38,0,0
20130306,1.38,1.38,1.38,1.38,0,0
20130307,1.38,1.38,1.38,1.38,0,0
20130308,1.38,1.38,1.38,1.38,0,0
20130311,1.38,1.38,1.38,1.38,0,0
20130312,1.38,1.38,1.38,1.38,0,0
20130313,1.38,1.38,1.38,1.38,0,0
20130314,1.38,1.38,1.38,1.38,0,0
20130315,1.38,1.38,1.38,1.38,0,0
20130318,1.38,1.38,1.38,1.38,0,0
20130319,1.38,1.38,1.38,1.38,0,0
20130320,1.38,1.38,1.38,1.38,0,0
20130321,1.38,1.38,1.38,1.38,0,0
20130322,1.38,1.38,1.38,1.38,0,0
20130325,1.38,1.38,1.38,1.38,0,0
20130326,1.38,1.38,1.38,1.38,0,0
20130327,1.38,1.38,1.38,1.38,0,0
20130328,1.38,1.38,1.38,1.38,0,0
20130402,1.38,1.38,1.38,1.38,0,0
20130403,1.38,1.38,1.38,1.38,0,0
20130404,1.38,1.38,1.38,1.38,0,0
20130405,1.38,1.38,1.38,1.38,0,0
20130408,1.38,1.38,1.38,1.38,0,0
20130409,1.38,1.38,1.38,1.38,0,0
20130410,1.38,1.38,1.38,1.38,0,0
20130411,1.38,1.38,1.38,1.38,0,0
20130412,1.38,1.38,1.38,1.38,0,0
20130419,1.38,1.38,1.38,1.38,0,0
20130422,1.38,1.38,1.38,1.38,0,0
20130423,1.38,1.38,1.38,1.38,0,0
20130424,1.38,1.38,1.38,1.38,0,0
20130425,1.38,1.38,1.38,1.38,0,0
20130426,1.38,1.38,1.38,1.38,0,0
20130429,1.38,1.38,1.38,1.38,0,0
20130430,1.38,1.38,1.38,1.38,0,0
20130502,1.38,1.38,1.38,1.38,0,0
20130506,1.38,1.38,1.38,1.38,0,0
20130507,1.38,1.38,1.38,1.38,0,0
20130508,1.38,1.38,1.38,1.38,0,0
20130509,1.38,1.38,1.38,1.38,0,0
20130510,1.38,1.38,1.38,1.38,0,0
20130513,1.38,1.38,1.38,1.38,0,0
20130514,1.38,1.38,1.38,1.38,0,0
20130515,1.38,1.38,1.38,1.38,0,0
20130516,1.38,1.38,1.38,1.38,0,0
20130517,1.38,1.38,1.38,1.38,0,0
20130520,1.38,1.38,1.38,1.38,0,0
20130521,1.38,1.38,1.38,1.38,0,0
20130522,1.38,1.38,1.38,1.38,0,0
20130523,1.38,1.38,1.38,1.38,0,0
20130524,1.38,1.38,1.38,1.38,0,0
20130527,1.38,1.38,1.38,1.38,0,0
20130528,1.38,1.38,1.38,1.38,0,0
20130529,1.38,1.38,1.38,1.38,0,0
20130531,1.38,1.38,1.38,1.38,0,0
20130603,1.38,1.38,1.38,1.38,0,0
20130604,1.38,1.5,1.38,1.5,0,0
20130605,1.5,1.5,1.5,1.5,0,0
20130606,1.5,1.5,1.5,1.5,0,0
20130607,1.5,1.5,1.5,1.5,0,0
20130610,1.5,1.5,1.5,1.5,0,0
