Date,Open,High,Low,Close,Volume,OpenInt
20120220,27.3,32,27.3,32,0,0
20120221,32,32,32,32,0,0
20120222,32,32,32,32,0,0
20120227,32.8,32.8,32.8,32.8,0,0
20120228,32.4,32.4,30.5,31.2,0,0
20120229,31.3,31.3,31.3,31.3,0,0
20120309,32.6,35.1,32.6,35.1,0,0
20120312,38.5,40.1,38.5,40.1,0,0
20120313,41,41,41,41,0,0
20120314,42.2,43.4,42.2,43.4,0,0
20120315,43.5,43.5,42.2,42.2,0,0
20120316,39.5,39.5,39.4,39.4,0,0
20120319,37.5,37.6,37.5,37.6,0,0
20120326,34.4,34.4,32.4,32.4,0,0
20120327,28.9,28.9,24.2,24.2,0,0
20120328,24.6,24.6,24.6,24.6,0,0
20120402,23.4,23.4,23.4,23.4,0,0
20120405,23.4,25.8,23.4,25.8,0,0
20120413,24.6,25.2,24.6,25.2,0,0
20120416,26.4,26.4,26.4,26.4,0,0
20120417,27.2,27.2,27.2,27.2,0,0
20120418,28,28,28,28,0,0
20120419,29.4,29.4,29.4,29.4,0,0
20120423,30.4,30.4,30.4,30.4,0,0
20120424,30.4,30.4,30.4,30.4,0,0
20120425,30.4,30.4,30.4,30.4,0,0
20120426,30.4,30.4,30.4,30.4,0,0
20120427,30.4,30.4,30.4,30.4,0,0
20120504,30.4,30.4,30.4,30.4,0,0
20120507,29,29.1,29,29.1,0,0
20120628,25.5,25.5,25.5,25.5,0,0
20120710,25.5,25.5,25.5,25.5,0,0
20130201,21.6,21.6,17.5,17.5,0,0
20130212,17.5,21,17.5,21,0,0
20130213,17.5,17.5,17.5,17.5,0,0
20130228,17.5,17.5,17.5,17.5,0,0
20130301,17.5,17.5,17.5,17.5,0,0
20130304,17.5,17.5,17.5,17.5,0,0
20130305,17.5,17.5,17.5,17.5,0,0
20130306,17.5,17.5,17.5,17.5,0,0
20130307,17.5,17.5,17.5,17.5,0,0
20130308,17.5,17.5,17.5,17.5,0,0
20130311,17.5,17.5,17.5,17.5,0,0
20130312,17.5,17.5,17.5,17.5,0,0
20130313,17.5,17.5,17.5,17.5,0,0
20130314,17.5,17.5,17.5,17.5,0,0
20130315,17.5,17.5,17.5,17.5,0,0
20130318,17.5,17.5,17.5,17.5,0,0
