Date,Open,High,Low,Close,Volume,OpenInt
20130918,143.8,143.8,143.8,143.8,0,0
20130919,143.9,143.9,143.8,143.8,0,0
20130920,143.9,143.9,143.8,143.8,0,0
20130923,143.9,143.9,143.8,143.8,0,0
20130924,143.9,143.9,143.8,143.8,0,0
20130925,143.9,143.9,143.7,143.7,0,0
20130926,143.9,143.9,143.8,143.8,0,0
20130927,143.9,143.9,143.8,143.8,0,0
20130930,143.9,143.9,143.8,143.8,0,0
20131001,143.9,143.9,143.8,143.8,0,0
20131002,143.9,143.9,143.8,143.8,0,0
20131003,143.9,143.9,143.8,143.8,0,0
20131004,143.9,143.9,143.8,143.8,0,0
20131007,143.9,143.9,143.8,143.8,0,0
20131009,143.9,143.9,143.8,143.8,0,0
20131010,143.9,143.9,143.8,143.8,0,0
20131011,143.9,143.9,143.8,143.8,0,0
20131014,143.9,143.9,143.8,143.8,0,0
20131015,134.1,143.9,134.1,143.8,0,0
20131016,143.9,143.9,143.8,143.8,0,0
20131017,143.9,143.9,143.8,143.8,0,0
20131018,143.9,143.9,143.8,143.8,0,0
20131021,143.9,143.9,143.8,143.8,0,0
20131022,143.9,143.9,143.8,143.8,0,0
20131023,143.9,154.7,143.9,154.6,0,0
20131024,154.7,154.7,154.6,154.6,0,0
20131115,156.1,158.3,156.1,158.2,0,0
20131118,158.3,158.3,158.2,158.2,0,0
20131119,158.3,158.3,158.2,158.2,0,0
20131120,158.3,158.3,158.2,158.2,0,0
20131121,165.5,170.1,165.5,170.1,0,0
20140116,178.4,193.2,178.4,193.2,0,0
20140117,187.1,187.1,151,151,0,0
20140130,170.1,172.7,170.1,172.6,0,0
20140520,14.7,14.7,14.7,14.7,0,0
20140521,14.7,14.7,14.7,14.7,0,0
20140522,14.7,14.7,14.7,14.7,0,0
20140523,14.7,14.7,14.7,14.7,0,0
20140604,14.2,14.2,12,12,0,0
20140610,13.2,13.2,13.2,13.2,0,0
20140806,13.3,13.3,12.8,12.8,0,0
20140807,12.8,12.8,12.8,12.8,0,0
20140808,12.8,12.8,12.5,12.5,0,0
20141008,9.3,9.4,9.3,9.4,0,0
20141009,9.5,9.5,9.4,9.4,0,0
20141010,9.5,9.5,9.5,9.5,0,0
20141014,9.6,9.6,9.5,9.5,0,0
20141015,9.5,9.5,9.5,9.5,0,0
20141016,9.5,9.5,9.5,9.5,0,0
20141022,9.5,9.5,9.5,9.5,0,0
20141023,9.5,9.5,9.5,9.5,0,0
20141028,9.7,9.7,9.7,9.7,0,0
20141031,9.5,9.5,9.5,9.5,0,0
20141103,9.5,9.5,9.5,9.5,0,0
20141104,9.5,9.5,9.5,9.5,0,0
20141105,9.5,9.5,9.5,9.5,0,0
20141110,9.4,9.4,9.1,9.1,0,0
20141112,9.4,9.4,8.9,8.9,0,0
20141118,9,9,8.4,8.4,0,0
20141119,8.4,8.4,8.3,8.3,0,0
20141125,9.1,9.1,9.1,9.1,0,0
20141211,7.5,7.5,7.4,7.4,0,0
20141212,7.4,7.4,7.4,7.4,0,0
20141229,7.5,8.3,7.5,8.3,0,0
20141230,7,8.2,7,7.1,0,0
