Date,Open,High,Low,Close,Volume,OpenInt
20080509,70.7,70.7,70.7,70.7,0,0
20080512,69.35,69.35,57.9,57.9,0,0
20080513,53.86,63.15,53.86,57.57,0,0
20080514,60.4,60.6,60.4,60.46,0,0
20080515,55.88,60.6,53.86,60.6,0,0
20080516,63.23,63.97,63.23,63.96,0,0
20080519,59.92,63.96,59.25,63.96,0,0
20080520,57.9,63.96,57.9,63.96,0,0
20080521,55.95,63.96,55.88,63.96,0,0
20080523,63.96,63.96,63.96,63.96,0,0
20080526,50.49,63.96,50.49,63.96,0,0
20080527,63.96,63.96,63.96,63.96,0,0
20080528,51.17,61.61,51.17,61.61,0,0
20080529,50.5,59.93,50.5,59.92,0,0
20080530,50.9,59.45,50.9,59.45,0,0
20080603,50.5,59.92,50.5,59.92,0,0
20080604,51.23,57.9,51.17,57.9,0,0
20080605,51.57,57.56,51.57,57.23,0,0
20080606,51.31,57.9,51.31,57.16,0,0
20080609,50.63,54.53,50.49,54.2,0,0
20080611,43.76,54.07,43.76,54.07,0,0
20080612,53.8,53.8,53.8,53.8,0,0
20080613,53.8,53.8,53.8,53.8,0,0
20080616,43.23,47.13,43.02,43.02,0,0
20080623,34.47,43.02,34.47,43.02,0,0
20080624,34.67,40.26,34.67,40.26,0,0
20080627,32.25,39.72,32.25,39.72,0,0
20080630,40.06,40.06,40.06,40.06,0,0
20080710,36.96,41.74,36.96,41.68,0,0
20080714,34.07,41.75,34.07,41.74,0,0
20080716,34.27,41.61,33.73,41.07,0,0
20080717,34.4,40.67,34.4,40.67,0,0
20080721,34,39.05,34,39.05,0,0
20080722,40.4,46.46,40.4,46.46,0,0
20080723,43.16,46.8,43.16,46.46,0,0
20080724,46.8,53.19,46.8,53.19,0,0
20080725,53.19,53.19,53.19,53.19,0,0
20080728,53.8,53.8,53.8,53.8,0,0
20080730,53.8,56.56,53.8,56.56,0,0
20080731,56.63,57.91,56.63,57.9,0,0
20080801,57.9,59.25,57.9,59.25,0,0
20080804,59.25,59.25,59.25,59.25,0,0
20080805,59.25,63.63,59.25,63.63,0,0
20080806,63.63,63.97,63.63,63.96,0,0
20080808,63.96,67.39,63.96,63.96,0,0
20080811,67.33,67.4,67.33,67.4,0,0
20080812,67.4,67.4,67.4,67.4,0,0
20080814,67.33,67.33,67.33,67.33,0,0
20080819,67.4,67.4,67.4,67.4,0,0
20080822,60.67,60.67,60.66,60.66,0,0
20080825,67.19,67.2,67.19,67.2,0,0
20080826,60.6,60.6,60.6,60.6,0,0
20080827,55.21,60.47,55.21,60.46,0,0
20080828,66.45,66.45,66.45,66.45,0,0
20080901,53.93,65.31,53.93,65.31,0,0
20080902,53,53.93,53,53.93,0,0
20080903,60.6,60.6,60.6,60.6,0,0
20080904,54.27,54.27,54.2,54.2,0,0
20080905,50.5,60.46,47.13,47.13,0,0
20080908,56.49,56.49,56.49,56.49,0,0
20080909,57.9,57.9,57.9,57.9,0,0
20080912,47.2,53.19,47.13,53.19,0,0
20080919,53.19,60.53,53.19,60.53,0,0
20080922,60.33,60.33,60.33,60.33,0,0
20080929,53.87,59.79,53.87,59.79,0,0
20080930,47.87,59.18,47.87,59.18,0,0
20081013,47.4,57.23,47.4,57.23,0,0
20081014,45.78,57.16,45.78,57.16,0,0
20081015,45.78,55.81,33.66,33.67,0,0
20081016,40.4,47.14,39.73,47.13,0,0
20081017,50.5,50.5,43.76,50.16,0,0
20081020,49.96,50.03,49.96,50.03,0,0
20081028,40.06,40.06,40.06,40.06,0,0
20081029,47.13,47.13,47.13,47.13,0,0
20081030,49.82,49.82,49.82,49.82,0,0
20081113,39.86,45.65,39.86,45.65,0,0
20081120,50.16,50.16,50.16,50.16,0,0
20081124,49.76,49.76,40.13,47.13,0,0
20081125,47.13,47.13,47.13,47.13,0,0
20081201,47.13,47.13,37.7,47.13,0,0
20081202,37.7,37.7,37.7,37.7,0,0
20081203,40.39,40.4,40.39,40.4,0,0
20081216,40.4,47.13,40.4,47.13,0,0
20081217,38.04,38.04,33.66,33.67,0,0
20081218,32.46,47.14,32.32,45.65,0,0
20081219,46.73,46.73,33.67,33.67,0,0
20081222,33.74,40.4,29.97,40.4,0,0
20081223,32.99,37.37,32.99,37.37,0,0
20081231,40.33,48.41,40.33,48.41,0,0
20090105,43.43,43.43,38.78,38.78,0,0
20090112,33.73,34,31.04,31.38,0,0
20090113,33.67,33.67,31.38,31.44,0,0
20090114,31.57,31.58,31.57,31.58,0,0
20090119,31.78,31.78,31.78,31.78,0,0
20090128,25.45,31.78,25.45,31.78,0,0
20090129,31.65,31.65,31.65,31.65,0,0
20090204,25.32,25.32,25.32,25.32,0,0
20090205,29.63,29.63,29.63,29.63,0,0
20090211,27.95,27.95,27.94,27.94,0,0
20090216,28.28,28.28,28.28,28.28,0,0
20090303,26.26,26.26,26.26,26.26,0,0
