Date,Open,High,Low,Close,Volume,OpenInt
20111130,1.71,1.71,1.71,1.71,0,0
20111201,1.88,1.88,1.88,1.88,0,0
20111202,1.97,2.31,1.97,2.14,0,0
20111205,2.4,2.4,1.97,2.14,0,0
20111213,1.97,2.48,1.97,2.48,0,0
20111215,2.23,2.23,2.06,2.06,0,0
20111216,2.23,2.23,2.23,2.23,0,0
20111221,2.06,2.23,1.97,2.23,0,0
20111222,2.14,2.14,2.14,2.14,0,0
20111223,1.88,2.23,1.8,2.23,0,0
20111227,2.14,2.14,2.14,2.14,0,0
20111230,2.14,2.23,2.14,2.23,0,0
20120103,2.31,2.31,2.31,2.31,0,0
20120110,1.97,2.23,1.88,2.23,0,0
20120116,2.23,2.31,2.23,2.31,0,0
20120119,2.23,2.23,2.23,2.23,0,0
20120123,2.23,2.31,2.23,2.31,0,0
20120125,1.97,1.97,1.97,1.97,0,0
20120126,1.97,2.23,1.97,2.23,0,0
20120130,1.97,2.06,1.97,1.97,0,0
20120131,1.97,1.97,1.97,1.97,0,0
20120201,2.14,2.14,2.14,2.14,0,0
20120202,1.97,1.97,1.97,1.97,0,0
20120206,1.97,2.14,1.97,2.14,0,0
20120217,2.09,2.09,2.09,2.09,0,0
20120229,1.76,1.76,1.76,1.76,0,0
20120301,2.01,2.01,2.01,2.01,0,0
20120305,1.76,1.76,1.76,1.76,0,0
20120306,1.67,1.67,1.5,1.67,0,0
20120307,1.42,1.42,1.42,1.42,0,0
20120308,1.42,1.42,1.42,1.42,0,0
20120313,1.5,1.76,1.5,1.76,0,0
20120314,1.76,1.76,1.76,1.76,0,0
20120320,1.76,1.76,1.76,1.76,0,0
20120322,1.59,1.76,1.59,1.76,0,0
20120327,1.5,1.67,1.5,1.67,0,0
20120403,1.42,1.59,1.42,1.59,0,0
20120412,1.42,1.42,1.42,1.42,0,0
20120413,1.34,1.6,1.34,1.6,0,0
20120420,1.68,1.68,1.51,1.68,0,0
20120510,1.68,1.68,1.68,1.68,0,0
20120515,1.43,1.68,1.43,1.68,0,0
20120523,1.34,1.51,1.34,1.51,0,0
20120606,1.52,1.52,1.52,1.52,0,0
20120628,1.52,1.69,1.52,1.69,0,0
20120629,1.69,1.78,1.69,1.78,0,0
20120702,1.69,1.95,1.69,1.95,0,0
20120703,1.61,1.61,1.61,1.61,0,0
20120704,1.78,1.86,1.78,1.86,0,0
20120705,2.12,2.2,2.03,2.2,0,0
20120706,2.54,3.05,2.54,3.05,0,0
20120711,2.45,2.88,2.45,2.88,0,0
20120712,2.54,2.54,2.54,2.54,0,0
20120713,2.71,2.71,2.71,2.71,0,0
20120716,2.71,2.71,2.54,2.54,0,0
20120717,2.54,2.54,2.54,2.54,0,0
20120719,2.54,2.54,2.54,2.54,0,0
20120724,2.54,2.54,2.29,2.29,0,0
20120725,2.45,2.45,2.45,2.45,0,0
20120730,2.54,2.54,2.54,2.54,0,0
20120802,2.62,2.79,2.62,2.62,0,0
20120806,2.37,2.37,2.37,2.37,0,0
20120809,2.45,2.45,2.45,2.45,0,0
