Date,Open,High,Low,Close,Volume,OpenInt
20110512,3.84,3.84,3.84,3.84,0,0
20110513,5.44,6.3733,4.4178,5.44,0,0
20110516,5.6,6.08,4.48,5.76,0,0
20110517,5.5111,5.7956,4.3822,4.3822,0,0
20110518,4.2933,4.2933,3.5556,3.6533,0,0
20110519,3.7156,4.1956,3.52,3.52,0,0
20110520,3.52,4.16,3.52,4.16,0,0
20110523,3.3956,3.8756,3.3956,3.8133,0,0
20110524,3.9378,4,3.68,3.68,0,0
20110525,3.5556,3.5556,3.1733,3.5556,0,0
20110526,3.5556,3.7156,3.1733,3.5911,0,0
20110527,3.68,3.9111,3.52,3.7422,0,0
20110530,3.7156,4.0978,3.36,3.7422,0,0
20110531,3.84,3.84,3.6178,3.8133,0,0
20110601,3.8133,3.8133,3.3956,3.52,0,0
20110602,3.36,3.5556,3.2711,3.5556,0,0
20110603,3.4933,3.4933,2.8533,3.36,0,0
20110606,3.3333,3.4222,3.04,3.04,0,0
20110607,3.2,3.36,2.9156,3.1022,0,0
20110608,3.4933,3.68,3.1022,3.2,0,0
20110609,3.2,3.2,2.9422,2.9422,0,0
20110610,2.9422,3.04,2.6933,2.88,0,0
20110613,2.88,3.1022,2.72,3.0756,0,0
20110614,3.0756,3.1022,2.88,2.88,0,0
20110615,2.88,3.04,2.88,2.88,0,0
20110616,2.7822,2.8178,2.72,2.7556,0,0
20110617,2.8533,2.88,2.8178,2.8178,0,0
20110620,2.7556,2.9156,2.3378,2.7556,0,0
20110621,2.5333,2.88,2.5333,2.88,0,0
20110622,2.8178,2.88,2.56,2.72,0,0
20110624,2.6933,2.6933,2.56,2.6578,0,0
20110627,2.6578,2.6578,2.24,2.2756,0,0
20110628,2.3378,2.3378,2.1778,2.24,0,0
20110629,2.1422,2.6933,2.08,2.56,0,0
20110630,2.56,2.56,2.4,2.4,0,0
20110701,2.3644,2.3644,2.24,2.3378,0,0
20110704,2.3644,2.4,2.3644,2.4,0,0
20110705,2.4356,2.4356,2.4,2.4,0,0
20110706,2.4356,2.4356,2.4356,2.4356,0,0
20110707,2.4356,2.4356,2.4356,2.4356,0,0
20110708,2.3378,2.3378,1.9556,1.9556,0,0
20110711,2.1778,2.1778,1.92,1.92,0,0
20110713,1.8578,1.8933,1.6622,1.8933,0,0
20110714,1.76,1.76,1.6978,1.6978,0,0
20110715,1.8222,1.9822,1.8222,1.92,0,0
20110718,1.9556,1.9556,1.8933,1.8933,0,0
20110719,1.92,1.92,1.7244,1.7244,0,0
20110720,1.7956,1.8933,1.7956,1.8933,0,0
20110721,1.9822,1.9822,1.6356,1.76,0,0
20110722,1.8222,1.8222,1.6,1.6,0,0
20110725,1.6,1.6356,1.6,1.6,0,0
20110726,1.6622,1.6622,1.6622,1.6622,0,0
20110727,1.5733,1.8578,1.3422,1.8578,0,0
20110728,1.8578,1.8578,1.6978,1.6978,0,0
20110729,1.6978,1.6978,1.6622,1.6622,0,0
