Date,Open,High,Low,Close,Volume,OpenInt
20100219,1.58,1.58,1.58,1.58,0,0
20100222,1.85,2.29,1.85,2.29,0,0
20100223,2.9101,3.0799,2.73,2.82,0,0
20100224,2.73,2.9101,2.55,2.9101,0,0
20100225,3.0799,3.61,2.9901,3.2599,0,0
20100226,3.2599,3.35,2.9901,3.1699,0,0
20100301,3.0799,3.2599,2.9901,2.9901,0,0
20100302,2.9901,2.9901,2.82,2.9101,0,0
20100303,2.9101,2.9101,2.73,2.73,0,0
20100304,2.73,3.1699,2.64,2.9101,0,0
20100305,2.9101,2.9101,2.82,2.9101,0,0
20100308,2.82,2.9101,2.82,2.9101,0,0
20100309,2.82,2.82,2.64,2.73,0,0
20100310,2.73,2.9101,2.55,2.82,0,0
20100311,2.82,2.82,2.64,2.73,0,0
20100312,2.73,2.9101,2.64,2.82,0,0
20100315,2.9101,2.9101,2.73,2.82,0,0
20100316,2.73,2.73,2.64,2.73,0,0
20100317,2.64,2.73,2.64,2.64,0,0
20100318,2.64,2.64,2.55,2.55,0,0
20100319,2.64,2.64,2.55,2.64,0,0
20100322,2.55,2.55,2.38,2.55,0,0
20100323,2.47,2.55,2.47,2.55,0,0
20100324,2.55,2.55,2.47,2.55,0,0
20100325,2.47,2.64,2.47,2.55,0,0
20100326,2.47,2.55,2.47,2.47,0,0
20100329,2.47,2.55,2.47,2.55,0,0
20100330,2.55,2.55,2.47,2.55,0,0
20100331,2.55,2.55,2.38,2.38,0,0
20100401,2.38,2.47,2.38,2.47,0,0
20100406,2.47,2.47,2.38,2.47,0,0
20100407,2.38,2.9101,2.38,2.82,0,0
20100408,2.82,2.82,2.64,2.82,0,0
20100409,2.73,2.82,2.73,2.82,0,0
20100412,2.64,2.73,2.64,2.64,0,0
20100413,2.64,2.73,2.55,2.73,0,0
20100414,2.73,2.73,2.55,2.73,0,0
20100415,2.73,2.73,2.64,2.73,0,0
20100416,2.73,2.73,2.55,2.55,0,0
20100419,2.55,2.73,2.55,2.73,0,0
20100420,2.73,2.73,2.55,2.64,0,0
20100421,2.64,2.64,2.55,2.64,0,0
20100422,2.64,2.64,2.55,2.64,0,0
20100423,2.64,2.64,2.47,2.64,0,0
20100426,2.64,2.64,2.47,2.64,0,0
20100427,2.64,2.64,2.47,2.64,0,0
20100428,2.55,2.55,2.47,2.47,0,0
20100429,2.47,2.55,2.47,2.55,0,0
20100430,2.55,2.64,2.55,2.55,0,0
20100504,2.55,2.55,2.47,2.47,0,0
20100505,2.47,2.47,2.38,2.47,0,0
20100506,2.47,2.47,2.38,2.47,0,0
20100507,2.38,2.47,2.29,2.29,0,0
20100510,2.29,2.47,2.29,2.47,0,0
20100511,2.47,2.47,2.29,2.47,0,0
20100512,2.47,2.47,2.29,2.29,0,0
20100513,2.29,2.47,2.29,2.47,0,0
20100514,2.47,2.47,2.29,2.29,0,0
20100517,2.29,2.38,2.2,2.38,0,0
20100518,2.29,2.38,2.2,2.2,0,0
20100519,2.2,2.29,2.12,2.17,0,0
20100520,2.17,2.17,2.08,2.08,0,0
20100521,2.08,2.17,1.99,2.17,0,0
20100524,2.17,2.17,1.99,1.99,0,0
20100525,1.99,1.99,1.99,1.99,0,0
20100526,1.99,2.17,1.99,2.17,0,0
20100527,2.17,2.17,2.08,2.17,0,0
20100528,2.17,2.43,2.17,2.43,0,0
20100531,2.43,2.43,2.17,2.17,0,0
20100601,2.17,2.25,2.08,2.08,0,0
20100602,2.08,2.17,1.99,2.08,0,0
20100604,2.08,2.08,1.99,2.08,0,0
20100607,2.08,2.08,1.99,2.08,0,0
20100608,2.08,2.08,1.99,2.08,0,0
20100609,2.08,2.08,1.91,2.08,0,0
20100610,1.99,2.08,1.91,1.99,0,0
20100611,1.99,1.99,1.91,1.91,0,0
20100614,1.99,1.99,1.91,1.99,0,0
20100615,1.99,1.99,1.82,1.99,0,0
20100616,1.99,1.99,1.82,1.91,0,0
20100617,1.91,1.99,1.82,1.91,0,0
20100618,1.91,1.99,1.91,1.99,0,0
20100621,1.99,1.99,1.91,1.91,0,0
20100622,1.91,1.91,1.82,1.82,0,0
20100623,1.82,1.91,1.82,1.91,0,0
20100624,1.91,2.17,1.82,2.17,0,0
20100625,2.17,2.17,1.91,1.99,0,0
20100628,1.91,1.99,1.91,1.99,0,0
20100629,1.99,1.99,1.91,1.91,0,0
20100630,1.91,1.99,1.91,1.99,0,0
20100701,1.99,1.99,1.91,1.91,0,0
20100702,1.99,1.99,1.91,1.91,0,0
20100705,1.99,1.99,1.91,1.91,0,0
20100706,1.91,1.99,1.91,1.99,0,0
20100707,1.99,1.99,1.99,1.99,0,0
20100708,1.99,1.99,1.82,1.91,0,0
20100709,1.91,1.91,1.82,1.91,0,0
20100712,1.91,1.99,1.82,1.82,0,0
20100713,1.82,1.99,1.82,1.91,0,0
20100714,1.91,1.99,1.82,1.99,0,0
20100715,1.91,1.91,1.91,1.91,0,0
20100716,1.82,1.82,1.82,1.82,0,0
20100719,1.91,1.91,1.91,1.91,0,0
20100720,1.82,1.82,1.82,1.82,0,0
20100721,1.82,1.91,1.82,1.91,0,0
20100722,1.91,1.99,1.91,1.91,0,0
20100723,1.91,1.99,1.91,1.99,0,0
20100726,1.99,1.99,1.99,1.99,0,0
20100727,1.99,1.99,1.99,1.99,0,0
20100728,1.99,2.08,1.99,1.99,0,0
20100729,1.99,2.17,1.99,2.08,0,0
20100730,2.08,2.08,1.99,2.08,0,0
20100802,2.08,2.08,1.99,1.99,0,0
20100803,1.99,1.99,1.91,1.99,0,0
20100804,1.91,1.99,1.82,1.82,0,0
20100805,1.82,1.99,1.82,1.99,0,0
20100806,1.99,1.99,1.91,1.91,0,0
20100809,1.91,1.91,1.91,1.91,0,0
20100810,1.91,1.91,1.91,1.91,0,0
20100811,1.91,1.99,1.91,1.99,0,0
20100812,1.99,1.99,1.91,1.91,0,0
20100813,1.99,1.99,1.99,1.99,0,0
20100816,1.99,2.43,1.99,2.25,0,0
20100817,2.17,2.34,2.07,2.07,0,0
20100818,1.99,1.99,1.99,1.99,0,0
20100819,2.07,2.3,2.07,2.3,0,0
20100820,2.15,2.22,2.15,2.15,0,0
20100823,2.15,2.3,2.15,2.3,0,0
20100824,2.3,2.3,2.15,2.15,0,0
20100825,2.15,2.22,2.15,2.15,0,0
20100826,2.15,2.22,2.15,2.15,0,0
20100827,2.22,2.22,2.15,2.22,0,0
20100830,2.22,2.22,2.07,2.15,0,0
20100831,2.15,2.22,2.07,2.22,0,0
20100901,2.22,2.22,2.15,2.22,0,0
20100902,2.22,2.22,2.15,2.15,0,0
20100903,2.15,2.15,1.99,2.07,0,0
20100906,2.07,2.07,2.07,2.07,0,0
20100907,2.07,2.07,1.99,2.07,0,0
20100908,2.07,2.07,2.07,2.07,0,0
20100909,2.07,2.07,2.07,2.07,0,0
20100910,2.07,2.22,2.07,2.22,0,0
20100913,2.22,2.22,2.07,2.22,0,0
20100914,2.22,2.46,2.15,2.38,0,0
20100915,2.46,2.62,2.46,2.62,0,0
20100916,2.62,2.62,2.38,2.54,0,0
20100917,2.54,2.54,2.46,2.46,0,0
20100920,2.46,2.54,2.38,2.46,0,0
20100921,2.46,2.54,2.46,2.54,0,0
20100922,2.46,2.54,2.38,2.54,0,0
20100923,2.54,2.7,2.54,2.62,0,0
20100924,2.62,2.8601,2.62,2.8601,0,0
20100927,2.8601,3.0201,2.7,2.9401,0,0
20100928,2.9401,3.0201,2.8601,2.8601,0,0
20100929,2.8601,2.9401,2.8601,2.8601,0,0
20100930,2.9401,2.9401,2.78,2.8601,0,0
20101001,2.8601,2.9401,2.8601,2.8601,0,0
20101004,2.8601,2.8601,2.7,2.8601,0,0
20101005,2.8601,2.8601,2.7,2.78,0,0
20101006,2.78,2.8601,2.78,2.8601,0,0
20101007,2.8601,2.8601,2.8601,2.8601,0,0
20101008,2.9401,2.9401,2.8601,2.8601,0,0
20101011,2.8601,2.9401,2.78,2.78,0,0
20101012,2.78,2.8601,2.78,2.78,0,0
20101013,2.78,2.8601,2.78,2.78,0,0
20101014,2.78,2.8601,2.78,2.8601,0,0
20101015,2.78,2.78,2.7,2.78,0,0
20101018,2.78,2.8601,2.78,2.8601,0,0
20101019,2.78,2.8601,2.7,2.7,0,0
20101020,2.7,3.2599,2.7,3.2599,0,0
20101021,3.34,4.05,3.34,3.97,0,0
20101022,4.13,4.13,3.58,3.81,0,0
20101025,3.97,3.97,3.1799,3.2599,0,0
20101026,3.1799,3.1799,3.1099,3.1099,0,0
20101027,3.0301,3.2699,3.0301,3.1899,0,0
20101028,3.1099,3.1099,3.0301,3.0301,0,0
20101029,3.1099,3.1899,3.0301,3.1099,0,0
20101102,3.1099,3.2699,3.1099,3.1099,0,0
20101103,3.1099,3.1099,3.0301,3.0301,0,0
20101104,3.0301,3.42,3.0301,3.34,0,0
20101105,3.42,3.73,3.2699,3.73,0,0
20101108,3.73,3.73,3.58,3.66,0,0
20101109,3.58,3.66,3.5,3.66,0,0
20101110,3.66,3.73,3.58,3.58,0,0
