Date,Open,High,Low,Close,Volume,OpenInt
20080128,12.73,12.73,12.73,12.73,0,0
20080129,12.82,12.96,12.82,12.96,0,0
20080130,12.96,13.02,12.96,13.02,0,0
20080131,13.38,15.25,13.33,15.25,0,0
20080201,15.47,17.14,15.47,16.7,0,0
20080204,17.03,18.92,17.03,18.27,0,0
20080205,18.25,18.25,17.58,17.91,0,0
20080206,18.25,18.27,17.91,18.27,0,0
20080207,18.35,18.58,17.69,18.47,0,0
20080208,17.81,17.81,16.69,16.7,0,0
20080211,17.12,17.59,17.12,17.58,0,0
20080212,17.76,17.76,17.76,17.76,0,0
20080213,17.76,18.14,17.76,18.14,0,0
20080214,17.81,17.81,17.14,17.81,0,0
20080215,17.91,17.91,17.37,17.37,0,0
20080218,18.03,18.14,17.81,17.81,0,0
20080219,18.14,18.56,18.14,18.39,0,0
20080220,18.37,18.59,18.37,18.47,0,0
20080221,18.47,18.47,18.47,18.47,0,0
20080222,18.03,18.45,17.81,17.81,0,0
20080225,17.81,18.03,17.81,17.81,0,0
20080226,18.01,18.03,17.37,17.58,0,0
20080227,18.02,18.02,17.81,17.81,0,0
20080228,17.81,17.81,17.7,17.7,0,0
20080229,17.7,17.7,17.39,17.39,0,0
20080303,17.59,17.59,17.58,17.58,0,0
20080305,17.49,17.81,17.49,17.81,0,0
20080306,17.81,17.81,17.81,17.81,0,0
20080307,17.7,17.7,17.7,17.7,0,0
20080310,17.81,17.81,17.78,17.78,0,0
20080311,17.78,17.81,17.78,17.81,0,0
20080312,17.81,17.81,17.81,17.81,0,0
20080314,17.25,17.29,17.25,17.29,0,0
20080317,17.25,17.91,17.02,17.91,0,0
20080318,16.27,17.78,16.27,17.78,0,0
20080319,17.2,17.2,17.18,17.18,0,0
20080320,17.25,17.25,17.25,17.25,0,0
20080325,17.25,17.81,17.25,17.81,0,0
20080326,17.78,17.78,17.23,17.23,0,0
20080328,17.25,17.25,17.18,17.18,0,0
20080402,18.92,18.92,18.92,18.92,0,0
20080403,18.37,18.37,17.52,17.52,0,0
20080404,17.49,17.49,17.47,17.47,0,0
20080408,17.58,17.58,17.58,17.58,0,0
20080409,17.91,18.12,17.6,18.03,0,0
20080410,17.81,18.03,17.81,18.03,0,0
20080411,18.26,18.26,18.25,18.25,0,0
