Date,Open,High,Low,Close,Volume,OpenInt
20121221,10.7,10.7,10.7,10.7,0,0
20121228,10.2,10.2,8.5,8.5,0,0
20130102,8.5,8.5,5.6,5.6,0,0
20130103,5.6,5.6,5.6,5.6,0,0
20130104,5.6,6.7,5.2,5.2,0,0
20130107,5.1,5.1,4.9,4.9,0,0
20130108,4.9,4.9,4.9,4.9,0,0
20130110,5,5,4.5,4.5,0,0
20130122,4.6,4.8,4.5,4.5,0,0
20130123,4.6,4.7,4.6,4.7,0,0
20130125,4.4,5.4,4.4,5.3,0,0
20130128,4.8,4.8,4.8,4.8,0,0
20130129,4.4,4.4,4.4,4.4,0,0
20130130,4,4.1,4,4.1,0,0
20130205,4.1,4.1,3.8,3.8,0,0
20130208,3.9,5,3.9,4.5,0,0
20130211,4.4,4.4,4.1,4.1,0,0
20130212,4.2,5.8,4,4.8,0,0
20130213,4.8,5.8,4.7,5.8,0,0
20130214,6.7,8.1,6.7,8,0,0
20130215,9.4,11.3,8.5,11.3,0,0
20130218,12.2,13.4,10.7,11.7,0,0
20130219,12,12,9.4,9.4,0,0
20130220,9.1,9.1,7.3,7.5,0,0
20130221,6.6,6.9,6,6.1,0,0
20130222,6.8,6.8,6.4,6.7,0,0
20130225,5.7,5.7,5.4,5.7,0,0
20130226,6.1,6.1,5.3,5.7,0,0
20130227,5.4,5.4,4.9,4.9,0,0
20130228,4.9,4.9,4.8,4.9,0,0
20130301,4.9,4.9,4.6,4.7,0,0
20130304,4.7,6.8,4.6,6.7,0,0
20130305,6.7,6.8,5.5,6,0,0
20130306,5.7,7,5.6,6.9,0,0
20130307,6.3,6.3,6.1,6.1,0,0
20130308,5.7,5.7,5.3,5.4,0,0
20130311,5.6,5.7,5.6,5.7,0,0
20130312,5.4,5.4,4.6,4.7,0,0
20130313,4.8,4.8,4.8,4.8,0,0
20130315,4.8,37.4,4.5,37.4,0,0
20130318,40.7,44,37.6,43.8,0,0
20130319,43.8,43.8,43.8,43.8,0,0
20130320,43.8,43.8,43.8,43.8,0,0
20130321,43.8,43.8,43.8,43.8,0,0
20130322,43.8,43.8,40.7,40.8,0,0
20130325,40.8,50.6,40.8,46.3,0,0
20130326,49.3,50,39.9,39.9,0,0
20130328,42.1,42.1,40.3,40.3,0,0
20130402,42.3,42.3,42.3,42.3,0,0
20130403,42.3,44.1,40.7,40.8,0,0
20130405,40.8,40.8,40.8,40.8,0,0
20130408,40.8,40.8,40.8,40.8,0,0
20130409,40.8,40.8,40.8,40.8,0,0
20130410,43,43,40.8,40.8,0,0
20130411,40.8,40.8,40.8,40.8,0,0
20130412,41.9,41.9,41.9,41.9,0,0
20130417,40.8,40.8,40.8,40.8,0,0
20130419,40.8,41.9,40.8,41.9,0,0
20130424,39.1,39.1,31.3,31.3,0,0
20130425,30.8,30.8,26.4,26.4,0,0
20130426,26.4,26.4,26.4,26.4,0,0
20130429,28.6,28.6,28.6,28.6,0,0
20130502,25.3,25.3,20.9,23.4,0,0
20130506,23.4,24.3,22.1,24,0,0
20130507,24,24,24,24,0,0
20130508,24,24,24,24,0,0
20130509,24,24,20,20,0,0
20130510,19.8,26.4,17.6,26,0,0
20130513,26,29.7,26,29.7,0,0
20130514,29.7,29.7,24.2,24.2,0,0
20130515,24.2,24.2,23.1,23.1,0,0
20130516,22,22,20.2,22,0,0
20130517,20.9,20.9,19.8,19.8,0,0
20130520,19.1,19.8,19.1,19.8,0,0
20130521,20.9,20.9,20.9,20.9,0,0
20130522,22,22,22,22,0,0
20130523,20.9,20.9,18.7,18.7,0,0
20130524,19.8,22,18.9,22,0,0
20130527,22,26.4,22,26,0,0
20130528,26,35.2,26,35.2,0,0
20130529,28.6,37.9,28.6,37.9,0,0
20130531,37.9,41.9,36.3,38.5,0,0
20130603,38.5,39.6,33,33,0,0
20130604,33,33,33,33,0,0
20130605,33,38.5,33,38.5,0,0
20130606,36.3,36.3,29.7,29.7,0,0
20130607,28.6,28.6,28.6,28.6,0,0
20130611,29.7,207.1,26.4,207.1,0,0
20130612,224.1,233,224.1,233,0,0
20130618,224.1,224.1,206.9,207.1,0,0
20130624,189.7,189.8,189.7,189.8,0,0
20130703,189.7,189.7,172.4,172.6,0,0
20130704,163.8,163.9,163.8,163.9,0,0
20130705,163.8,163.9,163.8,163.9,0,0
20130712,163.8,163.9,163.8,163.9,0,0
20130722,65.5,75.9,65.5,75.9,0,0
20130723,72.4,79.4,69,79.4,0,0
20130724,69,69,64.1,69,0,0
20130725,69.7,69.7,69.7,69.7,0,0
20130726,69.7,82.8,64.1,82.8,0,0
20130729,82.8,93.2,82.8,93.2,0,0
20130731,84.1,84.1,82.8,82.8,0,0
20130812,78.6,78.6,64.1,64.2,0,0
20130813,63.4,67,63.4,67,0,0
20130826,69,75.2,69,75.2,0,0
20130828,72.4,72.4,70.3,70.4,0,0
20130909,71.7,71.8,71.7,71.8,0,0
20130910,74.5,74.5,74.5,74.5,0,0
20130912,75.2,75.2,75.2,75.2,0,0
20130913,75.2,75.2,75.2,75.2,0,0
20130916,75.2,75.2,75.2,75.2,0,0
20130917,75.2,75.2,75.2,75.2,0,0
20130918,75.2,75.2,75.2,75.2,0,0
20140131,12.7,12.7,12.7,12.7,0,0
20140203,12.7,12.7,11.1,11.1,0,0
20140204,11.1,11.1,11.1,11.1,0,0
20140206,11.5,11.5,11.5,11.5,0,0
20140210,11.8,14.2,11.1,11.5,0,0
20140211,11.5,13.2,11.5,12.6,0,0
20140212,13.9,16.2,11.1,11.5,0,0
20140213,12.8,12.8,12.7,12.7,0,0
20140214,12.7,13.7,12.7,13.7,0,0
20140217,13.5,13.5,13.5,13.5,0,0
20140218,13.5,13.5,11.8,11.8,0,0
20140219,13.1,13.1,12.1,12.2,0,0
20140220,13.2,13.2,13.1,13.1,0,0
20140221,13.1,13.1,13.1,13.1,0,0
20140224,13.1,13.1,13.1,13.1,0,0
20140225,13.1,13.1,13.1,13.1,0,0
20140226,13.1,13.1,13.1,13.1,0,0
20140227,13.1,13.1,13.1,13.1,0,0
20140228,13.1,13.1,13.1,13.1,0,0
20140304,13.1,13.1,13.1,13.1,0,0
20140305,13.1,13.1,13.1,13.1,0,0
20140306,13.1,13.1,13.1,13.1,0,0
20140307,13.1,13.1,13.1,13.1,0,0
20140310,13.1,13.1,13.1,13.1,0,0
20140311,13.1,13.1,13.1,13.1,0,0
20140312,13.1,13.1,13.1,13.1,0,0
20140313,13.1,13.1,13.1,13.1,0,0
20140314,13.1,13.1,11.4,11.5,0,0
20140317,12.2,12.2,10.8,10.8,0,0
20140318,10.8,10.8,10.8,10.8,0,0
20140320,10.8,10.8,10.5,10.5,0,0
20140324,10.5,10.5,10.5,10.5,0,0
20140325,10.4,10.4,7.7,7.7,0,0
20140326,7.7,7.7,7.7,7.7,0,0
20140327,7.7,7.7,7.7,7.7,0,0
20140331,8.4,8.4,7.7,7.7,0,0
20140401,7.8,7.8,7.8,7.8,0,0
20140402,8.4,8.4,8.4,8.4,0,0
20140403,8.4,9.9,7.1,9.8,0,0
20140404,9,10.8,9,10.8,0,0
20140407,11.2,11.9,9,9.9,0,0
20140408,9.9,11.5,8.2,11.5,0,0
20140409,10.9,13.8,10.9,13.8,0,0
20140410,14.8,14.8,11.9,13,0,0
20140411,11.3,14,9.2,13.9,0,0
20140414,14,14,14,14,0,0
20140415,13.5,13.5,13.5,13.5,0,0
20140416,13.4,13.4,10.8,11.9,0,0
20140417,11.7,11.7,9.4,11.7,0,0
20140422,11.2,13.4,9,9,0,0
20140423,8.4,8.7,7.7,7.9,0,0
20140424,7.6,9.1,7.6,7.9,0,0
20140425,7.9,9.2,7,7.7,0,0
20140428,7,7.8,7,7.3,0,0
20140429,7.4,8,7.4,8,0,0
20140430,7.4,9.9,7.4,9.9,0,0
20140502,10.2,11.2,10.2,11.2,0,0
20140505,11.1,12.8,9.7,12.8,0,0
20140506,12.7,12.7,12.7,12.7,0,0
20140507,11.2,11.9,11.2,11.9,0,0
20140508,11.2,13.3,11.2,13.3,0,0
20140509,13.3,13.3,11.8,13.3,0,0
20140512,13.2,13.2,11.3,11.3,0,0
20140513,11.8,12.3,11.8,12.2,0,0
