Date,Open,High,Low,Close,Volume,OpenInt
20130219,172.3,172.3,172.3,172.3,0,0
20130221,173.1,176.1,165.4,176.1,0,0
20130225,169.2,169.2,160.8,160.8,0,0
20130226,157.7,157.7,157,157,0,0
20130227,157.7,157.7,157,157,0,0
20130228,153.8,153.8,153.1,153.1,0,0
20130301,153.8,169.2,153.8,168.4,0,0
20130306,173.1,173.1,172.3,172.3,0,0
20130311,173.1,173.1,172.3,172.3,0,0
20130312,173.1,173.1,172.3,172.3,0,0
20130313,173.1,173.1,172.3,172.3,0,0
20130315,180.8,180.8,179.9,179.9,0,0
20130318,176.9,176.9,176.1,176.1,0,0
20130319,176.9,176.9,176.1,176.1,0,0
20130320,184.6,188.5,184.6,187.6,0,0
20130321,188.5,196.2,188.5,195.2,0,0
20130322,200,211.5,200,210.6,0,0
20130326,192.3,192.3,183.8,183.8,0,0
20130327,180.8,180.8,157,157,0,0
20130328,153.8,180.8,153.8,179.9,0,0
20130403,173.1,173.1,157.7,168.4,0,0
20130404,173.1,183.8,173.1,183.8,0,0
20130405,184.6,196.2,184.6,191.4,0,0
20130408,192.3,223.1,192.3,199.1,0,0
20130409,192.3,192.3,191.4,191.4,0,0
20130410,192.3,196.2,192.3,195.2,0,0
20130411,196.2,196.2,195.2,195.2,0,0
20130412,192.3,192.3,191.4,191.4,0,0
20130415,284.6,284.6,283.3,283.3,0,0
20130417,276.9,330.8,223.1,223.1,0,0
20130418,219.2,219.2,168.4,168.4,0,0
20130419,169.2,192.3,160.8,160.8,0,0
20130422,157.7,188.5,146.2,187.6,0,0
20130423,180.8,180.8,161.5,168.4,0,0
20130424,169.2,169.2,111,111,0,0
20130425,115.4,115.4,80.4,80.4,0,0
20130426,76.9,76.9,76.6,76.6,0,0
20130429,80.8,84.6,76.9,84.2,0,0
20130430,84.6,119.2,84.6,118.7,0,0
20130502,126.9,150,126.9,149.3,0,0
20130506,153.8,161.5,149.3,149.3,0,0
20130507,153.8,153.8,141.6,141.6,0,0
20130508,142.3,142.3,137.8,137.8,0,0
20130509,138.5,138.5,137.8,137.8,0,0
20130510,138.5,169.2,138.5,168.4,0,0
20130513,173.1,173.1,172.3,172.3,0,0
20130514,173.1,173.1,172.3,172.3,0,0
20130515,173.1,184.6,173.1,183.8,0,0
20130516,180.8,184.6,168.4,168.4,0,0
20130520,173.1,173.1,168.4,168.4,0,0
20130522,165.4,165.4,164.6,164.6,0,0
20130528,169.2,169.2,168.4,168.4,0,0
20130529,169.2,169.2,168.4,168.4,0,0
20130531,169.2,169.2,118.8,118.8,0,0
20130604,108.1,108.1,108,108,0,0
20130605,105.4,105.4,105.3,105.3,0,0
20130606,105.4,105.4,105.3,105.3,0,0
20130607,105.4,105.4,105.3,105.3,0,0
20130610,102.7,102.7,83.7,83.7,0,0
20130611,89.2,94.6,89.2,94.5,0,0
20130612,94.6,94.6,94.5,94.5,0,0
20130614,94.6,94.6,94.5,94.5,0,0
20130617,94.6,94.6,94.5,94.5,0,0
20130618,94.6,94.6,94.5,94.5,0,0
20130627,91.9,91.9,72.9,72.9,0,0
20130628,81.1,94.6,81.1,94.5,0,0
20130704,86.5,86.5,81,81,0,0
20130708,78.4,78.4,75.6,75.6,0,0
20130710,75.7,75.7,75.6,75.6,0,0
20130716,78.4,78.4,78.3,78.3,0,0
20130827,204.2,204.2,204.2,204.2,0,0
20130828,208.3,250,208.3,248.4,0,0
20130829,277.8,322.2,266.7,311.9,0,0
20130830,347.2,347.2,288.9,314.6,0,0
20130902,302.8,327.8,276,276,0,0
20130903,302.8,302.8,244.4,298.1,0,0
20130904,302.8,302.8,277.8,281.5,0,0
20130905,277.8,283.3,258.3,278.7,0,0
20130906,277.8,311.1,269.4,309.1,0,0
20130909,319.4,325,305.6,322.9,0,0
20130910,313.9,313.9,295.3,295.3,0,0
20130911,297.2,297.2,287,287,0,0
20130912,283.3,283.3,238.9,245.6,0,0
