Date,Open,High,Low,Close,Volume,OpenInt
20080801,5.8651,5.8651,5.8651,5.8651,0,0
20080804,5.7606,5.7986,5.7606,5.7986,0,0
20080805,5.1437,5.5424,5.1437,5.5424,0,0
20080806,5.0773,5.438,5.0394,5.362,0,0
20080807,5.0394,5.0394,4.5648,4.9634,0,0
20080808,4.9254,4.9919,4.859,4.9254,0,0
20080811,5.5139,5.5139,5.5044,5.5044,0,0
20080812,5.1437,5.1437,5.1437,5.1437,0,0
20080813,5.0773,5.0773,4.7073,4.9254,0,0
20080814,4.6408,5.0773,4.6408,5.0773,0,0
20080818,4.4604,5.0773,4.4604,5.0773,0,0
20080819,4.7832,4.7832,4.4225,4.4984,0,0
20080820,5.0394,5.0394,4.1662,4.2802,0,0
20080821,4.9254,4.9254,4.2042,4.2042,0,0
20080822,4.9254,4.9254,4.2802,4.3466,0,0
20080825,4.2802,4.6408,4.2802,4.6408,0,0
20080826,4.3466,4.3466,4.3466,4.3466,0,0
20080827,3.948,5.0394,3.8057,4.9634,0,0
20080828,4.4509,4.859,4.4509,4.859,0,0
20080829,4.3466,4.7547,4.3466,4.7452,0,0
20080901,4.0239,4.7073,4.0239,4.4509,0,0
20080902,4.2897,4.5648,4.2897,4.5648,0,0
20080903,4.7832,4.7832,4.5648,4.7073,0,0
20080904,4.6787,4.6787,4.6693,4.6693,0,0
20080905,4.0903,4.6029,4.0903,4.4984,0,0
20080909,4.0998,4.5269,4.0998,4.5269,0,0
20080910,4.4509,4.7832,4.4509,4.6029,0,0
20080912,4.7073,5.0679,4.4509,4.7832,0,0
20080915,4.1662,4.7073,4.1662,4.7073,0,0
20080916,4.2042,4.2042,4.1662,4.1662,0,0
20080917,4.3087,4.3087,4.3087,4.3087,0,0
20080918,4.3466,4.3466,4.3466,4.3466,0,0
20080919,4.6029,4.7073,4.6029,4.7073,0,0
20080923,4.2042,4.2042,4.2042,4.2042,0,0
20080924,4.7073,4.7073,4.7073,4.7073,0,0
20080925,4.3466,4.5648,4.3466,4.5648,0,0
20080929,4.6029,4.6029,4.3466,4.3466,0,0
20080930,4.2802,4.6693,4.2802,4.4509,0,0
20081001,4.6312,4.6408,4.6312,4.6408,0,0
20081006,3.948,4.3466,3.948,4.3466,0,0
20081007,4.3181,4.3466,4.3181,4.3466,0,0
20081008,4.3466,4.4225,3.9859,4.4225,0,0
20081009,3.9859,4.4509,3.9859,4.1662,0,0
20081010,4.489,4.6408,4.489,4.6408,0,0
20081014,4.1662,4.2042,3.948,4.1662,0,0
20081016,4.5269,4.6029,4.5269,4.6029,0,0
20081017,3.9859,3.9859,3.948,3.948,0,0
20081020,3.7297,3.9859,3.6538,3.9859,0,0
20081022,4.2326,4.2326,4.1662,4.1662,0,0
20081024,4.0239,4.0903,3.6917,4.0903,0,0
20081029,4.0903,4.1947,4.0619,4.0619,0,0
20081030,3.6253,4.0903,3.4735,4.0903,0,0
20081031,3.9859,3.9859,3.2931,3.3311,0,0
