Date,Open,High,Low,Close,Volume,OpenInt
20110818,16.5,16.5,13.6,14.92,0,0
20110819,15.49,17.9,14.67,17.83,0,0
20110822,16.44,25.23,16.44,25.23,0,0
20110823,25.61,30.73,25.1,27.06,0,0
20110824,34.21,36.68,34.21,34.78,0,0
20110825,35.92,40.79,32.25,34.46,0,0
20110826,36.99,38,27.82,32.25,0,0
20110829,31.62,33.39,27.7,29.47,0,0
20110830,29.34,29.34,18.78,18.78,0,0
20110831,18.91,21.37,15.05,15.05,0,0
20110901,12.65,12.65,9.67,9.67,0,0
20110902,8.85,8.85,7.27,7.59,0,0
20110905,7.52,8.16,6.64,7.15,0,0
20110906,7.15,7.46,7.15,7.4,0,0
20110907,7.4,7.4,6.01,6.58,0,0
20110908,6.64,7.78,6.01,7.65,0,0
20110909,7.9,7.9,6.64,7.02,0,0
20110912,6.32,6.58,5.63,6.2,0,0
20110913,6.45,6.45,5.69,5.82,0,0
20110914,5.82,6.01,5.56,5.75,0,0
20110915,6.2,6.2,5.56,6.01,0,0
20110916,5.94,6.01,5.5,6.01,0,0
20110919,5.69,6.07,5.44,5.56,0,0
20110920,5.5,6.32,5.37,5.63,0,0
20110921,5.69,6.64,5.69,6.01,0,0
20110922,6.01,6.32,5.69,5.69,0,0
20110923,5.94,6.13,5.63,6.13,0,0
20110926,6.13,6.64,5.88,6.39,0,0
20110927,6.51,8.22,6.51,8.22,0,0
20110928,8.85,9.04,7.9,8.47,0,0
20110929,8.03,8.22,6.83,7.08,0,0
20110930,6.45,7.02,6.26,6.58,0,0
20111003,6.64,6.64,5.75,5.75,0,0
20111004,6.32,6.58,6.32,6.58,0,0
20111005,6.45,7.27,5.82,6.58,0,0
20111006,6.58,7.59,6.58,7.4,0,0
20111007,7.84,8.03,7.46,7.78,0,0
20111010,7.71,7.71,6.51,7.4,0,0
20111011,7.4,7.4,6.77,7.08,0,0
20111012,7.4,7.4,6.83,7.02,0,0
20111013,6.51,6.77,6.26,6.51,0,0
20111014,6.39,6.51,6.01,6.51,0,0
20111017,7.78,7.78,6.26,6.64,0,0
20111018,6.64,7.59,6.2,7.59,0,0
20111019,7.34,7.71,6.64,7.71,0,0
20111020,7.84,7.84,7.59,7.71,0,0
20111021,7.84,7.84,7.59,7.59,0,0
20111024,7.59,7.59,6.96,7.52,0,0
20111025,7.52,7.52,6.96,7.4,0,0
20111026,7.27,7.34,6.64,7.34,0,0
20111027,7.4,7.4,7.15,7.34,0,0
20111028,7.34,7.34,6.58,7.34,0,0
20111031,7.21,7.65,7.21,7.65,0,0
20111102,7.46,7.84,7.46,7.59,0,0
20111103,7.59,7.65,7.15,7.59,0,0
20111104,7.52,7.59,7.52,7.59,0,0
20111107,7.4,7.59,7.34,7.59,0,0
20111108,7.59,7.59,7.52,7.59,0,0
20111109,7.59,7.59,7.4,7.4,0,0
20111110,7.27,7.52,7.27,7.46,0,0
20111114,7.46,7.59,7.02,7.52,0,0
20111115,7.52,7.52,7.4,7.4,0,0
20111116,7.4,7.78,7.4,7.78,0,0
20111117,7.46,7.46,7.46,7.46,0,0
20111118,7.4,7.46,7.4,7.46,0,0
20111121,7.59,7.59,7.27,7.46,0,0
20111122,7.52,7.52,7.4,7.4,0,0
20111123,7.52,7.52,7.46,7.46,0,0
20111124,7.52,7.52,7.52,7.52,0,0
20111125,6.89,7.4,6.77,7.4,0,0
20111128,7.4,7.4,6.83,7.34,0,0
20111129,7.27,7.27,6.26,6.7,0,0
20111130,6.58,6.58,6.58,6.58,0,0
20111201,6.32,6.45,6.32,6.45,0,0
20111202,6.45,6.45,6.45,6.45,0,0
20111206,6.45,6.45,5.82,6.45,0,0
20111207,6.45,8.98,6.45,8.54,0,0
20111208,8.79,8.79,7.15,7.59,0,0
