Date,Open,High,Low,Close,Volume,OpenInt
19980121,14.691,15.531,14.691,15.531,237,0
19980123,15.107,15.107,15.107,15.107,120,0
19980127,15.107,15.107,15.107,15.107,237,0
19980130,15.107,15.107,15.107,15.107,476,0
19980204,15.107,15.107,15.107,15.107,357,0
19980310,15.28,15.28,15.28,15.28,11,0
19980316,14.102,14.102,14.102,14.102,120,0
19980318,13.937,13.937,13.937,13.937,59,0
19980323,13.937,13.937,13.937,13.937,47,0
19980325,14.942,14.942,14.942,14.942,59,0
19980401,13.764,13.764,13.764,13.764,237,0
19980429,14.604,14.604,14.604,14.604,59,0
19980430,14.604,14.604,14.604,14.604,59,0
19980602,13.435,13.435,13.435,13.435,120,0
19980615,13.262,13.262,13.262,13.262,47,0
19980617,13.097,13.097,13.011,13.011,237,0
19980618,13.011,13.011,13.011,13.011,120,0
19980624,12.673,12.673,12.595,12.595,232,0
19980709,13.011,13.011,13.011,13.011,237,0
19980828,13.435,13.435,13.011,13.011,445,0
19980831,13.011,13.011,13.011,13.011,85,0
19980901,11.755,11.755,11.755,11.755,10,0
19980914,11.755,11.755,11.755,11.755,120,0
19981022,8.3935,8.3935,8.3935,8.3935,237,0
19981126,10.074,10.074,10.074,10.074,120,0
19981127,10.074,10.074,10.074,10.074,120,0
19981130,10.074,10.074,10.074,10.074,120,0
19981217,10.074,10.074,10.074,10.074,120,0
19981218,10.074,10.074,10.074,10.074,120,0
19981230,10.074,10.074,10.074,10.074,120,0
19990120,9.2334,9.2334,9.2334,9.2334,59,0
19990125,8.4801,8.4801,8.4801,8.4801,59,0
19990126,8.4801,8.4801,8.4801,8.4801,59,0
19990201,8.3935,8.3935,8.3935,8.3935,237,0
19990204,7.4667,7.5534,7.4667,7.5534,66,0
19990205,7.4667,7.5534,7.4667,7.5534,66,0
19990524,9.3986,9.987,9.3986,9.987,237,0
19990526,10.411,10.411,10.411,10.411,120,0
19990621,8.3935,8.3935,8.3935,8.3935,88,0
19990622,7.9778,7.9778,7.9778,7.9778,83,0
19990805,8.3935,8.3935,8.3935,8.3935,1190,0
19990906,8.818,8.818,8.818,8.818,59,0
19991029,6.7131,6.7131,6.7131,6.7131,59,0
19991105,6.7131,6.7131,6.7131,6.7131,120,0
19991109,6.7131,6.7131,6.7131,6.7131,120,0
19991123,6.9643,6.9643,6.9643,6.9643,59,0
19991125,9.2334,9.2334,9.2334,9.2334,83,0
19991126,8.3935,8.3935,8.3935,8.3935,120,0
19991201,7.9778,7.9778,7.9778,7.9778,120,0
19991216,6.7131,6.7131,6.7131,6.7131,45,0
19991217,10.074,10.074,10.074,10.074,45,0
20000105,6.7131,6.7131,6.7131,6.7131,8,0
20000114,7.5534,7.5534,7.5534,7.5534,630,0
20000117,7.5534,7.5534,7.5534,7.5534,70,0
20000124,7.5534,7.5534,7.5534,7.5534,1079,0
20000125,7.5534,10.074,7.5534,10.074,34,0
20000131,7.5534,7.5534,7.5534,7.5534,120,0
20000201,7.5534,7.5534,7.5534,7.5534,214,0
20000203,7.9778,7.9778,7.9778,7.9778,120,0
20000204,7.8044,7.9778,7.8044,7.9778,525,0
20000207,8.2723,8.2723,8.2723,8.2723,237,0
20000208,7.5534,8.3935,7.5534,8.3935,763,0
20000209,9.0691,9.0691,9.0691,9.0691,83,0
20000216,9.0691,9.0691,9.0691,9.0691,70,0
20000222,8.8965,8.8965,8.8965,8.8965,59,0
20000223,8.4801,8.4801,8.4801,8.4801,120,0
20000225,8.4801,8.4801,8.4801,8.4801,83,0
20000229,8.818,8.818,8.818,8.818,473,0
20000302,8.4801,8.4801,8.4801,8.4801,34,0
20000303,6.7131,6.7131,6.7131,6.7131,9,0
20000306,9.987,10.914,8.3935,8.3935,357,0
20000307,8.3935,8.3935,8.3935,8.3935,59,0
20000310,8.0557,8.0557,8.0557,8.0557,500,0
20000313,7.5534,7.5534,7.5534,7.5534,9,0
20000323,8.3935,8.3935,8.3935,8.3935,117,0
20000329,8.3935,8.3935,8.3935,8.3935,237,0
20000330,8.3935,8.3935,8.3935,8.3935,11,0
20000331,7.9778,7.9778,7.9778,7.9778,18,0
20000403,8.7313,8.7313,8.7313,8.7313,23,0
20000407,7.5534,7.5534,7.5534,7.5534,11,0
20000516,7.5534,8.3068,7.5534,8.3068,237,0
20000518,7.3888,7.3888,7.3888,7.3888,23,0
20000522,6.2974,7.9778,6.2974,7.9778,125,0
20000525,9.2334,9.2334,9.2334,9.2334,34,0
20000526,7.9778,7.9778,7.9778,7.9778,120,0
20000530,7.1375,7.1375,7.1375,7.1375,34,0
20000620,7.1375,7.5534,7.1375,7.5534,275,0
20000626,6.7131,6.7131,6.7131,6.7131,47,0
20000627,6.7131,6.7131,6.7131,6.7131,47,0
20000630,6.7131,6.7131,6.7131,6.7131,17,0
