Date,Open,High,Low,Close,Volume,OpenInt
20110713,3.12,3.74,3.12,3.6,207100,0
20110715,5.51,5.51,5.51,5.51,89410,0
20110718,5,5.95,4.71,4.75,43025,0
20110719,4.73,5.45,4.5,5,215902,0
20110720,5.01,7.2,5,7.2,70562,0
20110721,8.6,10.32,7.2,9.2,18083,0
20110722,10.1,12.12,8.1,10.55,26561,0
20110725,11,11.8,7.5,7.55,32123,0
20110726,4.6,4.6,3.3,3.3,219834,0
20110727,3.1,3.72,2.04,2.04,342031,0
20110728,2.1,2.44,1.99,2.2,147256,0
20110729,2.21,2.36,2.03,2.18,18229,0
20110801,2.17,2.34,1.76,1.88,69390,0
20110802,1.88,2,1.66,1.92,56350,0
20110803,1.8,1.85,1.44,1.58,41660,0
20110804,1.58,1.8,1.36,1.69,40720,0
20110805,1.64,1.65,1.36,1.64,18299,0
20110808,1.59,1.64,1.33,1.54,42707,0
20110809,1.31,1.54,1.3,1.38,18075,0
20110810,1.5,1.53,1.22,1.35,8864,0
20110811,1.15,1.37,1.07,1.25,13968,0
20110812,1.28,1.49,1.16,1.22,16270,0
20110816,1.17,1.21,1,1.02,26264,0
20110817,1.09,1.46,0.96,1.45,70886,0
20110818,1.45,1.45,1.17,1.26,11512,0
20110819,1.27,1.51,1.22,1.3,8782,0
20110822,1.47,1.47,1.18,1.31,16828,0
20110823,1.28,1.28,1.15,1.18,2626,0
20110824,1.1,1.17,1.02,1.12,8519,0
20110825,1.05,1.13,1.01,1.09,5767,0
20110826,1.09,1.12,1.01,1.01,5514,0
20110829,1.05,1.09,1.01,1.05,1231,0
20110830,1.05,1.08,0.96,1.06,2925,0
20110831,1.08,1.11,1.04,1.11,5265,0
20110901,1.11,1.12,0.92,1.05,7139,0
20110902,1.15,1.15,0.83,0.83,14061,0
20110905,0.9,0.92,0.84,0.92,8336,0
20110906,0.91,1.04,0.82,0.94,37136,0
20110907,0.94,0.95,0.84,0.9,10196,0
20110908,0.93,0.93,0.86,0.93,961,0
20110909,0.93,0.94,0.75,0.82,13204,0
20110912,0.81,0.81,0.75,0.81,4093,0
20110913,0.81,0.81,0.7,0.79,4211,0
20110914,0.79,0.79,0.68,0.74,561,0
20110915,0.69,0.8,0.69,0.8,1753,0
20110916,0.81,0.81,0.8,0.8,650,0
20110919,0.7,0.75,0.7,0.75,150,0
20110920,0.7,0.7,0.65,0.7,2700,0
20110921,0.69,0.7,0.63,0.69,5076,0
20110922,0.63,0.65,0.59,0.65,5010,0
20110923,0.62,0.69,0.6,0.69,1939,0
20110926,0.63,0.63,0.63,0.63,670,0
20110927,0.64,0.72,0.64,0.72,1232,0
20110928,0.74,0.81,0.65,0.74,10676,0
20110930,0.73,0.79,0.7,0.79,2109,0
20111003,0.79,0.8,0.75,0.8,2103,0
20111004,0.81,0.81,0.73,0.73,3750,0
20111005,0.75,0.79,0.69,0.75,28304,0
20111006,0.77,0.86,0.77,0.86,5626,0
20111007,0.8,0.83,0.77,0.8,7499,0
20111010,0.8,1.02,0.79,1.02,33661,0
20111011,1.02,1.08,0.9,0.98,4356,0
20111012,0.98,1.02,0.92,0.99,37546,0
20111013,1.04,1.18,1,1.18,10509,0
20111014,1.17,1.42,1.08,1.3,26834,0
20111017,1.41,1.69,1.31,1.63,51658,0
20111018,1.7,2.03,1.49,1.99,40422,0
20111019,1.95,1.95,1.56,1.65,30075,0
20111020,1.65,1.71,1.4,1.4,2723,0
20111021,1.42,1.59,1.42,1.59,1711,0
20111024,1.65,1.65,1.01,1.43,16137,0
20111025,1.3,1.4,1.19,1.21,5108,0
20111026,1.21,1.22,1.21,1.22,355,0
20111027,1.22,1.33,1.2,1.2,2320,0
20111028,1.28,1.66,1.12,1.5,16178,0
20111031,1.66,1.72,1.4,1.55,3410,0
20111102,1.49,1.49,1.3,1.37,5862,0
20111103,1.36,1.36,1.3,1.3,1782,0
20111104,1.27,1.27,1.05,1.25,3291,0
20111107,1.25,1.5,1.25,1.5,19716,0
20111108,1.45,1.45,1.44,1.44,3377,0
20111109,1.44,1.45,1.17,1.36,8913,0
20111110,1.2,1.5,1.2,1.48,6465,0
20111114,1.45,1.55,1.39,1.55,7665,0
20111115,1.75,1.99,1.41,1.88,2034,0
20111116,2.24,2.48,1.7,1.7,324,0
20111117,1.58,1.58,1.36,1.58,2634,0
20111118,1.58,1.58,1.46,1.47,1375,0
20111121,1.45,1.58,1.41,1.58,3873,0
20111122,1.68,1.68,1.52,1.52,300,0
20111123,1.68,1.75,1.59,1.63,2784,0
20111124,1.63,1.63,1.53,1.54,2448,0
20111128,1.43,1.59,1.26,1.59,6584,0
20111129,1.47,1.52,1.28,1.52,5226,0
20111130,1.5,1.5,1.5,1.5,20,0
20111201,1.48,1.48,1.38,1.38,985,0
20111202,1.43,1.43,1.31,1.31,2500,0
20111205,1.38,1.41,1.38,1.41,2000,0
20111206,1.35,1.43,1.35,1.43,492,0
20111207,1.38,1.38,1.3,1.36,3330,0
20111209,1.35,1.35,1.35,1.35,100,0
20111212,1.3,1.42,1.28,1.42,2782,0
20111213,1.42,1.5,1.2,1.2,3874,0
20111214,1.2,1.33,1.14,1.33,2674,0
20111215,1.23,1.34,1.23,1.34,2486,0
20111219,1.31,1.36,1.31,1.36,160,0
20111223,1.32,1.4,1.22,1.4,4115,0
20111227,1.3,1.3,1.3,1.3,100,0
20111229,1.33,1.36,1.33,1.36,201,0
20111230,1.3,1.34,1.26,1.34,465,0
20120102,1.37,1.37,1.3,1.3,110,0
20120103,1.28,1.28,1.28,1.28,100,0
20120104,1.28,1.28,1.24,1.24,2515,0
20120105,1.25,1.25,1.25,1.25,1000,0
20120109,1.25,1.25,1.22,1.22,141,0
20120110,1.22,1.22,1.14,1.14,1000,0
20120111,1.13,1.15,1.07,1.15,1600,0
20120113,1.15,1.15,1.15,1.15,450,0
20120116,1.15,1.15,1.15,1.15,100,0
20120117,1.12,1.25,1.12,1.25,2150,0
20120118,1.18,1.18,1.07,1.07,1573,0
20120119,1.07,1.07,1.07,1.07,50,0
20120123,1.22,1.22,1.22,1.22,201,0
20120124,1.22,1.27,1.2,1.27,2446,0
20120125,1.31,1.31,1.31,1.31,14,0
20120126,1.31,1.38,1.31,1.38,277,0
20120127,1.38,1.4,1.31,1.31,300,0
20120130,1.35,1.35,1.35,1.35,50,0
20120131,1.35,1.35,1.35,1.35,10,0
20120203,1.35,1.35,1.35,1.35,80,0
20120206,1.33,1.33,1.33,1.33,50,0
20120208,1.33,1.35,1.22,1.22,720,0
20120209,1.29,1.31,1.29,1.31,1890,0
20120213,1.35,1.38,1.35,1.38,200,0
20120214,1.36,1.43,1.36,1.4,1570,0
20120215,1.42,1.68,1.42,1.68,2730,0
20120216,1.65,1.65,1.63,1.63,200,0
20120217,1.6,1.6,1.58,1.6,850,0
20120220,1.62,1.62,1.6,1.61,850,0
20120221,1.62,1.62,1.62,1.62,575,0
20120222,1.62,1.78,1.62,1.78,1760,0
20120223,1.78,2,1.78,1.95,3759,0
20120224,2.08,2.2,1.97,1.97,3850,0
20120227,2.03,2.03,1.58,1.67,8386,0
20120228,1.87,1.96,1.57,1.96,203,0
20120229,1.9,1.97,1.9,1.97,1930,0
20120301,1.97,2.01,1.86,1.86,3189,0
20120302,1.95,1.95,1.95,1.95,50,0
20120306,1.9,1.9,1.88,1.88,335,0
20120307,1.91,1.91,1.91,1.91,591,0
20120308,1.9,2.08,1.9,2.08,640,0
20120309,2.07,2.07,1.81,1.81,1725,0
20120312,1.91,1.91,1.81,1.81,1500,0
20120313,1.82,1.82,1.81,1.81,1300,0
20120314,1.83,1.83,1.8,1.8,594,0
20120315,1.79,1.79,1.79,1.79,100,0
20120316,1.79,1.79,1.64,1.73,3357,0
20120320,1.68,1.68,1.64,1.64,372,0
20120321,1.62,1.62,1.62,1.62,100,0
20120322,1.62,1.62,1.62,1.62,50,0
20120323,1.62,1.62,1.62,1.62,100,0
20120326,1.62,1.71,1.62,1.7,3240,0
20120327,1.73,2.03,1.73,1.78,11800,0
20120328,1.8,1.96,1.8,1.96,2300,0
20120329,1.96,2.3,1.87,2.2,15526,0
20120330,2.1,2.1,1.91,1.91,1705,0
20120402,1.91,2,1.9,1.9,3969,0
20120403,1.83,1.83,1.67,1.72,12309,0
20120404,1.78,1.78,1.78,1.78,10,0
20120405,1.78,1.78,1.68,1.68,5405,0
20120410,1.68,1.68,1.58,1.58,4855,0
20120411,1.58,1.58,1.52,1.52,3007,0
20120412,1.52,1.52,1.52,1.52,40,0
20120413,1.52,1.52,1.52,1.52,1700,0
20120416,1.52,2.15,1.52,2.09,42035,0
20120417,2.09,2.09,1.53,1.53,26232,0
20120418,1.52,1.52,1.3,1.48,15419,0
20120419,1.55,1.55,1.35,1.52,1956,0
20120420,1.42,1.68,1.4,1.56,11447,0
20120423,1.54,1.54,1.3,1.37,8495,0
20120424,1.33,1.33,1.33,1.33,10,0
20120425,1.28,1.28,1.15,1.24,11535,0
20120426,1.11,1.17,1,1.09,10671,0
20120427,1,1.05,1,1.05,601,0
20120430,1.01,1.03,1.01,1.03,1749,0
20120502,1.03,1.05,1.03,1.05,4585,0
20120504,1,1.1,0.99,1.1,4129,0
20120507,1.1,1.1,1.1,1.1,25,0
20120508,1.1,1.1,1.1,1.1,25,0
20120509,1.06,1.06,1.03,1.03,2930,0
20120510,1,1,1,1,50,0
20120514,0.96,0.96,0.94,0.94,2000,0
20120515,0.9,0.9,0.9,0.9,200,0
20120516,0.85,0.85,0.72,0.72,3788,0
20120518,0.73,0.73,0.73,0.73,850,0
20120521,0.76,0.81,0.71,0.81,2300,0
20120522,0.78,0.88,0.78,0.86,4325,0
20120523,0.81,0.92,0.81,0.92,800,0
20120524,0.93,0.93,0.84,0.84,400,0
20120525,0.87,0.87,0.87,0.87,18,0
20120528,0.87,0.87,0.8,0.8,2002,0
20120530,0.8,0.8,0.72,0.72,7025,0
20120531,0.7,0.7,0.7,0.7,1,0
20120604,0.7,0.81,0.67,0.81,11250,0
20120605,0.65,0.65,0.65,0.65,5198,0
20120606,0.6,0.6,0.42,0.49,13847,0
20120608,0.49,0.49,0.4,0.4,713,0
20120611,0.44,0.57,0.44,0.5,21319,0
20120612,0.5,0.72,0.5,0.71,54266,0
20120613,0.71,0.71,0.46,0.55,53214,0
20120614,0.58,0.58,0.45,0.53,7398,0
20120615,0.5,0.5,0.44,0.44,3825,0
20120618,0.48,0.49,0.42,0.42,19500,0
20120619,0.45,0.48,0.4,0.42,11338,0
20120620,0.42,0.44,0.41,0.44,5605,0
20120621,0.42,0.43,0.41,0.43,18545,0
20120622,0.43,0.43,0.41,0.41,5729,0
20120625,0.42,0.43,0.37,0.37,6000,0
20120626,0.37,0.42,0.36,0.42,4199,0
20120627,0.42,0.43,0.36,0.39,1950,0
20120628,0.36,0.38,0.36,0.38,950,0
20120629,0.39,0.41,0.39,0.41,951,0
20120702,0.41,0.41,0.27,0.27,14388,0
20120703,0.3,0.38,0.3,0.35,40780,0
20120704,0.34,0.37,0.31,0.37,30695,0
20120705,0.34,0.39,0.34,0.39,27458,0
20120706,0.36,0.36,0.34,0.34,1199,0
20120709,0.32,0.32,0.3,0.3,15621,0
20120711,0.3,0.3,0.3,0.3,100,0
20120712,0.31,0.34,0.3,0.34,4905,0
20120716,0.31,0.31,0.31,0.31,500,0
20120717,0.3,0.3,0.3,0.3,250,0
20120718,0.32,0.34,0.3,0.3,7750,0
20120719,0.32,0.32,0.31,0.32,21000,0
20120720,0.33,0.36,0.32,0.35,21284,0
20120723,0.4,0.48,0.4,0.44,17193,0
20120724,0.49,0.58,0.49,0.58,106417,0
20120725,0.65,0.78,0.59,0.66,99435,0
20120726,0.6,0.67,0.56,0.57,32336,0
20120727,0.57,0.62,0.46,0.57,39596,0
20120730,0.55,0.55,0.5,0.51,5021,0
20120731,0.51,0.56,0.49,0.54,18599,0
20120801,0.57,0.57,0.49,0.51,6275,0
20120802,0.49,0.52,0.48,0.52,6161,0
20120803,0.55,0.55,0.42,0.5,5152,0
20120806,0.46,0.48,0.43,0.48,2183,0
20120807,0.42,0.42,0.42,0.42,250,0
20120808,0.47,0.5,0.47,0.5,1319,0
