Date,Open,High,Low,Close,Volume,OpenInt
20110113,13,15.6,13,14.5,31575,0
20110114,15,15,11.72,12.64,7356,0
20110117,11.8,12.1,10.16,11.75,3385,0
20110118,11.06,11.32,10.3,11.32,1554,0
20110119,10.85,12,10.64,12,1212,0
20110120,12,12.88,11.4,12.44,434,0
20110121,11.5,12.85,11.5,12.85,893,0
20110124,12.8,13.8,12.8,13.8,230,0
20110125,13.1,14.05,13.1,14.05,1166,0
20110126,13.05,13.9,13.05,13.44,683,0
20110127,14.09,14.09,13,13.44,1999,0
20110128,12.8,12.9,12.66,12.66,124,0
20110131,12.66,12.89,12.21,12.21,183,0
20110201,13.19,13.19,10.97,11.64,510,0
20110202,11.64,11.79,11.64,11.79,60,0
20110203,10.98,11.49,10.98,11.49,95,0
20110204,10.97,10.97,10.93,10.94,230,0
20110207,11.37,11.37,11.37,11.37,40,0
20110208,11.43,11.43,10.01,10.89,460,0
20110210,10.78,11.18,10.78,11.18,110,0
20110211,11.18,11.18,10.28,10.99,241,0
20110214,10.97,10.97,10.97,10.97,100,0
20110216,10.19,10.19,10.16,10.16,100,0
20110217,10.03,10.03,9.41,10,1181,0
20110218,10.28,10.28,10.28,10.28,1,0
20110221,10.49,10.49,10.49,10.49,1,0
20110222,9.5,10,9.5,10,128,0
20110223,9.41,10,9.05,9.94,315,0
20110225,10.48,10.48,10.48,10.48,5,0
20110301,10.1,10.1,10.1,10.1,111,0
20110302,10.39,10.39,10.39,10.39,5,0
20110303,10,10.48,10,10.48,65,0
20110304,10.49,10.49,10.49,10.49,10,0
20110307,10.49,10.49,10.49,10.49,5,0
20110316,9.37,10.48,9.37,10.48,105,0
20110324,10,10.2,9.6,10.2,264,0
20110325,10.29,10.29,10.29,10.29,5,0
20110328,10.48,10.48,10.48,10.48,5,0
20110329,10.49,10.49,10.49,10.49,5,0
20110404,10,10,10,10,15,0
20110405,10.2,10.2,10.2,10.2,10,0
20110406,9.6,9.8,9.6,9.8,170,0
20110407,9.8,10.3,9.8,10,380,0
20110411,10.49,10.49,10.49,10.49,50,0
20110412,10.49,10.72,10.49,10.72,100,0
20110413,10.89,10.89,10.89,10.89,50,0
20110414,10.89,10.89,10.89,10.89,80,0
20110415,10.9,11.07,10.9,11.07,150,0
20110418,11.1,11.1,11.1,11.1,10,0
20110419,11.1,11.1,11.1,11.1,40,0
20110421,11.09,11.09,11.09,11.09,40,0
20110428,11.09,11.44,11.09,11.44,190,0
20110429,10.78,11.1,10.78,11.1,210,0
20110504,11.39,11.39,10.71,11.23,90,0
20110510,10.5,10.5,10,10,275,0
20110511,10.49,10.49,10.49,10.49,40,0
20110512,10.49,10.72,10.49,10.72,40,0
20110513,10.2,10.72,10.2,10.72,50,0
20110518,10.72,10.94,10.72,10.94,130,0
20110525,10.29,10.5,10.28,10.5,200,0
20110526,10.5,10.92,10.3,10.3,260,0
20110527,10.77,10.77,10.77,10.77,10,0
20110601,10.29,10.77,10.29,10.77,60,0
20110603,10.77,10.93,10.77,10.93,105,0
20110606,10.92,11.2,10.92,11.2,165,0
20110607,10.9,10.9,10.41,10.88,230,0
20110609,10.32,10.77,9,9,718,0
20110610,9.6,10,9.6,10,190,0
20110613,10,12.09,9.95,12.09,3465,0
20110614,11.51,11.75,10.32,11.75,997,0
20110615,11.77,11.78,11.77,11.78,55,0
20110617,11.5,11.5,10.78,11.1,220,0
20110620,11.48,11.78,11.03,11.03,180,0
20110621,11.31,11.31,11.31,11.31,263,0
20110627,11.21,11.21,11.21,11.21,70,0
20110630,11.04,11.54,11.04,11.54,75,0
20110714,11.54,11.99,11.54,11.99,560,0
20110722,11.23,11.5,11.23,11.5,101,0
20110725,11.5,12.08,11.5,12.08,51,0
20110726,12,12,12,12,10,0
20110727,11.76,12.09,11.76,12.09,203,0
20110728,11.81,11.81,11.81,11.81,10,0
20110801,11.26,11.29,11.25,11.29,302,0
20110803,11.3,11.31,11.04,11.31,81,0
20110804,11.58,11.58,11.58,11.58,1,0
20110809,11,11,11,11,15,0
20110811,10.99,10.99,10.99,10.99,10,0
20110823,10.99,11.57,10.99,11.5,116,0
20110824,10.5,10.5,10.5,10.5,1,0
20110825,10.5,10.5,10.01,10.02,371,0
20110826,10.01,10.01,9.11,9.48,622,0
20110829,9.45,9.98,9.45,9.98,358,0
20110831,9.51,10.39,9.51,10.39,274,0
20110901,10.39,10.55,10.22,10.55,1103,0
20110902,10.55,10.72,10.25,10.72,1414,0
20110905,10.72,11.5,10.72,10.9,813,0
20110906,11.49,11.89,11.49,11.89,522,0
20110907,11.8,11.95,11.8,11.95,1545,0
20110908,11.97,12.09,11.8,12.01,776,0
20110909,12.09,12.23,11.7,11.7,63,0
20110912,11.8,11.8,11.7,11.7,860,0
20110913,11.7,11.95,11.7,11.95,340,0
20110914,11.95,11.95,11.95,11.95,50,0
20110915,11.95,11.95,11.95,11.95,5,0
20110916,11.95,11.99,11.95,11.99,100,0
20110919,11.24,11.74,10.81,11.74,86,0
20110922,11.74,11.74,11.74,11.74,17,0
20110923,11.74,11.74,11.74,11.74,11,0
20110926,11.74,11.74,11.74,11.74,40,0
20110927,11.91,11.91,11.91,11.91,30,0
20110928,11.17,11.17,11.16,11.16,120,0
20110929,11.68,11.71,11.68,11.7,615,0
20110930,11.71,11.71,11.71,11.71,95,0
20111003,11.07,11.8,10.81,11.8,952,0
20111004,11.64,11.92,11.64,11.92,900,0
20111005,11.88,11.93,11.88,11.93,540,0
20111006,11.93,11.95,11.93,11.95,100,0
20111007,11.95,11.95,11.95,11.95,200,0
20111010,11.94,11.97,11.94,11.97,315,0
20111011,11.97,12,11.9,11.9,308,0
20111012,11.95,11.95,11.16,11.95,300,0
20111014,11.16,11.16,11.16,11.16,1000,0
20111018,11.15,11.15,11.13,11.13,185,0
20111021,11.48,11.49,11.48,11.49,170,0
20111024,11.11,11.11,11.1,11.1,130,0
20111025,11.58,11.58,11.58,11.58,1,0
20111027,11.1,11.39,11.1,11.39,640,0
20111028,11.3,11.3,11.2,11.2,200,0
20111107,11,11,10,10.5,888,0
20111108,9.8,10.24,9.78,9.8,581,0
20111109,10.23,10.23,10.23,10.23,1,0
20111115,10.23,11.18,10.23,11.18,721,0
20111117,10.68,10.68,10.68,10.68,200,0
20111118,10.3,11.1,10.3,11.1,380,0
20111121,11,11,11,11,50,0
20111122,10.97,11,10.97,11,300,0
20111207,10.3,10.4,10.2,10.4,185,0
20111221,9.76,9.76,9,9,765,0
20111222,8.91,9.91,8.91,9.91,91,0
20111230,8.93,9.47,8.93,8.93,211,0
20120103,9.3,9.91,9.02,9.86,441,0
20120104,9.2,9.99,9.2,9.99,793,0
20120105,9.8,10.57,9.8,10.57,300,0
20120111,10.5,10.79,10.5,10.79,200,0
20120119,9.9,9.9,9.9,9.9,77,0
20120123,9.9,9.9,9.3,9.3,414,0
20120202,9.07,9.07,9.02,9.02,219,0
20120203,9,9,9,9,200,0
20120207,9,9,9,9,10,0
20120209,9.1,9.1,9.1,9.1,280,0
20120214,9.25,9.25,9.25,9.25,100,0
20120215,9,9,9,9,310,0
20120217,9.1,9.1,9.1,9.1,200,0
20120222,9.15,9.15,9.15,9.15,100,0
20120224,9.2,9.2,9.2,9.2,110,0
20120228,8.91,8.91,8.88,8.88,350,0
20120229,8.88,9.1,8.2,9.1,410,0
20120301,8.2,8.47,8,8.47,385,0
20120305,7.71,7.71,7,7,1200,0
20120306,7.69,8,7.69,7.7,200,0
20120308,7.26,7.26,6.7,6.7,3500,0
20120309,7.1,7.1,7.1,7.1,100,0
20120312,7.23,7.68,7.23,7.68,300,0
20120314,8.09,8.09,8.09,8.09,100,0
20120315,7.8,7.8,7.5,7.5,200,0
20120316,7.6,8.08,7.22,8.08,605,0
20120319,7.22,7.69,7.22,7.69,498,0
20120320,7.69,8,7.69,8,216,0
20120321,8,8.13,8,8.13,200,0
20120327,8.45,8.45,7.9,7.9,198,0
20120328,7.6,7.6,7,7,500,0
20120403,6.86,6.86,6.73,6.73,100,0
20120405,6.73,9.68,6.5,9.68,3493,0
20120410,8.01,8.2,7.5,8.2,1128,0
20120416,7.51,7.51,6.6,7,1449,0
20120417,6.5,6.5,6.5,6.5,21,0
20120420,6.98,7.17,6.98,7.17,405,0
20120427,6.5,7.5,6.5,7.5,800,0
20120430,7.5,7.8,7.5,7.8,200,0
20120504,8.5,8.5,8.5,8.5,400,0
20120507,8,8.25,7,8.25,1349,0
20120508,8.25,8.44,8.25,8.44,201,0
20120509,7.5,7.5,7.07,7.07,300,0
20120510,7.89,8.44,7.89,8.44,400,0
20120517,7.52,7.52,7.05,7.05,747,0
20120521,7,7.39,7,7.01,384,0
20120523,7.39,7.5,7.39,7.5,100,0
20120525,7.4,7.4,7.4,7.4,2818,0
20120529,7.01,7.01,6.8,7,700,0
20120530,7.1,7.1,7.1,7.1,200,0
20120601,7.47,7.8,7.47,7.8,100,0
20120605,7.02,7.8,6.5,7.8,900,0
20120608,7.02,8.44,6.71,8.44,1200,0
20120611,7.5,8,7.29,8,625,0
20120612,7.2,7.2,6.5,7,800,0
20120613,7.17,7.48,7.17,7.48,200,0
20120618,6.88,6.88,6.5,6.6,1200,0
20120619,6.9,7.05,6.9,7.05,460,0
20120621,6.52,7.09,6.02,7.09,1910,0
20120622,7.12,7.13,7.12,7.13,80,0
20120625,6.41,6.41,6.05,6.05,299,0
20120628,6.48,6.48,6,6.35,875,0
20120629,6.43,6.43,6.43,6.43,500,0
20120702,6.2,6.57,5.87,6.57,1973,0
20120703,6.14,6.14,6,6,1561,0
20120705,5.93,6.34,5.93,6.34,563,0
20120709,5.9,6.34,5.86,5.86,315,0
20120710,5.86,5.86,5.8,5.8,150,0
20120713,5.9,5.9,5.9,5.9,271,0
20120716,5.82,5.82,5.81,5.81,250,0
20120724,6,6.34,6,6.34,306,0
20120725,6.34,6.4,6.34,6.4,917,0
20120726,6.4,6.4,6.4,6.4,1491,0
20120731,6.4,6.4,6.4,6.4,150,0
20120801,6.01,6.4,6.01,6.4,312,0
20120803,6,6.45,6,6.45,560,0
20120806,6.64,7.24,6.64,7.24,430,0
