Date,Open,High,Low,Close,Volume,OpenInt
20100729,4.82,5.6,4.82,5.2,127484,0
20100730,5.25,5.34,4.4,4.4,29781,0
20100802,4.37,4.37,3.98,4.15,19931,0
20100803,4.14,4.15,4,4,7867,0
20100804,4,4.16,4,4.16,4983,0
20100805,4.01,4.09,4.01,4.09,230,0
20100806,4.01,4.17,4,4.17,4290,0
20100809,4.08,4.19,4.08,4.19,603,0
20100810,4.08,4.29,4.08,4.29,1028,0
20100811,4.19,4.39,4.19,4.39,1590,0
20100812,4.38,4.62,4.22,4.5,7002,0
20100813,4.6,4.65,4.58,4.6,1500,0
20100816,4.65,4.65,4.41,4.46,2400,0
20100817,4.45,4.48,4.45,4.45,755,0
20100818,4.5,4.5,4.5,4.5,50,0
20100819,4.49,4.49,4.2,4.2,4937,0
20100820,4,4.2,4,4.2,131,0
20100823,4.2,4.2,3.96,4,5250,0
20100824,4,4.1,4,4.1,608,0
20100825,4,4.14,4,4.12,1114,0
20100826,4.16,4.2,4.1,4.1,741,0
20100827,4,4.15,4,4.1,1222,0
20100830,4.2,4.2,3.96,4.01,5680,0
20100831,3.98,4.05,3.98,4.05,627,0
20100901,4.08,4.08,4.08,4.08,168,0
20100902,4.2,4.23,4.2,4.22,800,0
20100903,4.2,4.23,4.2,4.23,800,0
20100906,4.23,4.33,4.23,4.33,750,0
20100907,4.3,4.3,4.3,4.3,100,0
20100908,4.25,4.4,4.25,4.4,211,0
20100909,4.37,4.37,4.37,4.37,50,0
20100910,4.33,4.33,4.21,4.21,250,0
20100915,4.15,4.15,4,4.12,778,0
20100916,4,4.05,4,4.05,80,0
20100917,4.05,4.17,4.05,4.17,401,0
20100920,4.19,4.19,4,4,550,0
20100921,4,4.03,4,4.03,400,0
20100922,4,4,4,4,300,0
20100923,4,4,4,4,30,0
20100924,4,4.1,4,4.1,71,0
20100927,4.1,4.29,4.1,4.29,726,0
20100929,4.29,4.29,4.2,4.2,250,0
20100930,4.2,4.2,4,4.05,2089,0
20101001,4.06,4.06,4,4,2299,0
20101004,4.05,4.12,4.05,4.12,280,0
20101005,4.12,4.19,4.12,4.18,1170,0
20101006,4.18,4.18,4.18,4.18,50,0
20101007,4.18,4.18,4.18,4.18,50,0
20101008,4.18,4.18,4.02,4.02,200,0
20101011,4.06,4.1,4.06,4.1,534,0
20101012,4.07,4.25,4.07,4.25,1038,0
20101013,4.3,4.3,4.15,4.15,1108,0
20101014,4.15,4.2,4.15,4.2,650,0
20101018,4.16,4.16,4.06,4.15,722,0
20101020,4.12,4.2,4.12,4.2,300,0
20101021,4.17,4.48,4.17,4.45,1880,0
20101025,4.35,4.35,4.3,4.3,90,0
20101026,4.3,4.3,4.3,4.3,30,0
20101027,4.3,4.41,4.3,4.41,391,0
20101028,4.43,4.48,4.4,4.4,978,0
20101029,4.4,4.4,4.38,4.4,169,0
20101102,4.4,4.4,4.4,4.4,10,0
20101103,4.39,4.39,4.33,4.33,70,0
20101105,4.35,4.39,4.35,4.39,250,0
20101108,4.39,4.39,4.14,4.31,1590,0
20101109,4.2,4.26,4.2,4.26,330,0
20101110,4.17,4.17,4.17,4.17,17,0
20101112,4.15,4.18,4,4.18,1935,0
20101115,4.1,4.12,3.9,4.06,1600,0
20101116,4.08,4.39,3.95,4.1,7889,0
20101117,4.1,4.17,4.1,4.17,110,0
20101118,4.15,4.15,4.15,4.15,669,0
20101119,4.17,4.17,3.95,4,4398,0
20101122,4,4.22,4,4,2496,0
20101123,4,4.05,4,4,4632,0
20101124,4,4,4,4,4096,0
20101125,4,4.04,3.92,4.04,1700,0
20101126,3.95,4,3.64,3.95,5079,0
20101129,4,4,3.85,3.85,4094,0
20101130,3.87,3.95,3.85,3.85,415,0
20101201,3.85,3.85,3.85,3.85,20,0
20101202,4,4,3.95,3.95,1316,0
20101203,4,4,3.85,4,862,0
20101206,4,4,3.6,3.7,6186,0
20101207,3.75,3.85,3.6,3.85,5600,0
20101208,3.85,3.9,3.85,3.9,206,0
20101209,3.85,3.9,3.8,3.9,135,0
20101210,3.8,3.9,3.8,3.9,141,0
20101213,3.85,3.85,3.85,3.85,50,0
20101214,3.8,3.9,3.8,3.9,115,0
20101215,3.8,3.84,3.75,3.84,2100,0
20101216,3.84,3.84,3.84,3.84,75,0
20101217,3.86,3.86,3.86,3.86,10,0
20101220,3.9,3.9,3.9,3.9,20,0
20101221,3.9,3.9,3.8,3.9,541,0
20101222,3.85,3.85,3.8,3.85,1177,0
20101223,3.9,3.9,3.9,3.9,20,0
20101227,3.8,3.85,3.7,3.85,1760,0
20101228,3.9,3.9,3.85,3.85,945,0
20101229,3.9,3.9,3.85,3.85,1170,0
20101230,3.85,3.85,3.85,3.85,430,0
20101231,3.9,3.9,3.9,3.9,100,0
20110103,3.8,3.86,3.8,3.85,1066,0
20110104,3.85,3.85,3.81,3.81,1981,0
20110105,3.81,3.81,3.81,3.81,50,0
20110107,3.81,3.81,3.81,3.81,20,0
20110110,3.81,3.83,3.81,3.83,130,0
20110111,3.81,3.9,3.81,3.9,120,0
20110112,3.81,3.9,3.81,3.9,1110,0
20110113,3.9,3.9,3.85,3.85,545,0
20110114,3.81,3.85,3.78,3.85,800,0
20110118,3.85,3.95,3.85,3.95,478,0
20110119,3.82,4,3.82,4,370,0
20110120,3.9,4.03,3.9,4.03,110,0
20110121,4.05,4.15,4.05,4.15,635,0
20110124,4.15,4.15,4.14,4.15,300,0
20110125,4.15,4.2,4.15,4.2,2870,0
20110126,4.1,4.2,4.1,4.2,500,0
20110127,4.1,4.2,4.1,4.2,70,0
20110128,4.19,4.19,4.05,4.1,350,0
20110201,4.03,4.03,4.02,4.02,1690,0
20110203,3.91,3.91,3.88,3.88,150,0
20110207,3.86,3.88,3.85,3.88,800,0
20110208,3.85,3.86,3.85,3.85,1500,0
20110209,3.85,3.85,3.85,3.85,100,0
20110210,3.85,3.85,3.85,3.85,25,0
20110211,3.85,3.85,3.85,3.85,100,0
20110214,3.85,3.9,3.85,3.9,1320,0
20110215,3.85,3.85,3.64,3.7,9860,0
20110216,3.7,3.76,3.7,3.76,249,0
20110217,3.76,3.76,3.76,3.76,350,0
20110218,3.7,3.7,3.7,3.7,50,0
20110221,3.79,3.79,3.79,3.79,25,0
20110222,3.79,3.79,3.79,3.79,10,0
20110223,3.79,3.79,3.79,3.79,20,0
20110224,3.79,3.79,3.79,3.79,20,0
20110225,3.79,3.79,3.78,3.78,100,0
20110228,3.67,3.7,3.67,3.7,260,0
20110301,3.78,3.78,3.78,3.78,50,0
20110302,3.79,3.79,3.79,3.79,20,0
20110303,3.79,3.79,3.79,3.79,20,0
20110307,3.79,3.79,3.79,3.79,30,0
20110308,3.79,3.79,3.79,3.79,20,0
20110309,3.79,3.79,3.79,3.79,20,0
20110310,3.79,3.79,3.79,3.79,30,0
20110311,3.79,3.79,3.79,3.79,30,0
20110314,3.79,3.79,3.79,3.79,30,0
20110315,3.79,3.79,3.73,3.73,252,0
20110316,3.8,3.8,3.7,3.75,8811,0
20110317,3.75,3.75,3.75,3.75,2100,0
20110318,3.75,3.81,3.75,3.8,6130,0
20110321,3.8,3.8,3.8,3.8,80,0
20110322,3.85,3.85,3.8,3.8,210,0
20110323,3.83,4,3.83,3.9,2190,0
20110324,3.9,3.9,3.9,3.9,100,0
20110325,3.9,3.9,3.9,3.9,100,0
20110329,3.9,3.9,3.9,3.9,50,0
20110331,3.9,3.93,3.9,3.9,18237,0
20110401,3.93,3.93,3.93,3.93,100,0
20110406,3.98,3.98,3.98,3.98,100,0
20110411,4,4.05,4,4.04,5600,0
20110412,4.04,4.04,4.04,4.04,50,0
20110413,4.04,4.04,4.04,4.04,25,0
20110414,4.04,4.04,4.04,4.04,25,0
20110415,4.04,4.04,4.04,4.04,30,0
20110418,4,4,3.91,3.91,330,0
20110419,3.91,3.91,3.91,3.91,70,0
20110420,3.97,3.97,3.97,3.97,50,0
20110421,3.97,3.97,3.9,3.97,750,0
20110426,3.92,4.14,3.92,4.05,4950,0
20110427,4.14,4.14,4.08,4.08,120,0
20110428,4.06,4.06,4.06,4.06,780,0
20110429,4.06,4.06,4.06,4.06,40,0
20110502,4.06,4.06,4.06,4.06,2260,0
20110504,4.1,4.1,4.1,4.1,750,0
20110509,3.99,3.99,3.99,3.99,10,0
20110510,4.06,4.06,4.06,4.06,150,0
20110511,4.06,4.06,4.06,4.06,150,0
20110513,4,4.02,4,4,5350,0
20110516,3.96,3.96,3.8,3.9,2890,0
20110517,3.91,3.91,3.91,3.91,100,0
20110519,3.91,3.91,3.91,3.91,636,0
20110520,3.9,3.9,3.9,3.9,50,0
20110523,3.9,3.95,3.9,3.95,135,0
20110524,3.93,3.93,3.7,3.7,1288,0
20110525,3.8,3.88,3.8,3.8,1418,0
20110526,3.82,3.82,3.82,3.82,100,0
20110527,3.85,3.88,3.85,3.86,11700,0
20110601,3.8,3.8,3.8,3.8,50,0
20110602,3.8,3.8,3.8,3.8,550,0
20110603,3.8,3.8,3.8,3.8,30,0
20110606,3.8,3.8,3.8,3.8,50,0
20110607,3.8,3.8,3.8,3.8,50,0
20110608,3.8,3.8,3.8,3.8,50,0
20110609,3.8,3.8,3.8,3.8,30,0
20110610,3.8,3.87,3.8,3.87,125,0
20110614,3.86,3.86,3.73,3.73,130,0
20110616,3.8,3.85,3.8,3.85,60,0
20110617,3.8,3.8,3.8,3.8,30,0
20110620,3.8,3.8,3.77,3.77,145,0
20110621,3.8,3.8,3.8,3.8,50,0
20110622,3.8,3.81,3.8,3.81,50,0
20110624,3.8,3.8,3.79,3.79,60,0
20110627,3.8,3.8,3.8,3.8,20,0
20110628,3.8,3.8,3.75,3.79,92,0
20110629,3.73,3.73,3.65,3.65,245,0
20110712,3.7,3.7,3.7,3.7,100,0
20110714,3.65,3.65,3.65,3.65,50,0
20110715,3.65,3.65,3.65,3.65,30,0
20110718,3.65,3.65,3.65,3.65,30,0
20110719,3.65,3.65,3.65,3.65,30,0
20110720,3.65,3.65,3.65,3.65,30,0
20110721,3.65,3.65,3.65,3.65,30,0
20110726,3.7,3.7,3.7,3.7,25,0
20110728,3.65,3.65,3.6,3.6,150,0
20110801,3.6,3.6,3.6,3.6,30,0
20110802,3.6,3.6,3.6,3.6,30,0
20110803,3.55,3.55,3.3,3.3,530,0
20110804,3.3,3.3,3.3,3.3,10,0
20110805,3.2,3.2,3.2,3.2,50,0
20110808,3.13,3.13,3.04,3.04,50,0
20110809,2.8,2.8,2.65,2.65,300,0
20110810,2.59,2.59,2.18,2.18,745,0
20110811,2.15,2.15,2,2,1670,0
20110812,2,2,2,2,10,0
20110816,2.34,2.34,1.99,1.99,1800,0
20110817,1.95,1.95,1.9,1.9,338,0
20110825,1.95,1.95,1.95,1.95,150000,0
20111005,1.92,1.92,1.92,1.92,50,0
20111006,1.9,1.9,1.9,1.9,50,0
20111007,1.9,1.9,1.9,1.9,100,0
20111010,1.9,1.9,1.9,1.9,80,0
20111017,1.85,1.85,1.74,1.74,1660,0
20111018,1.7,1.7,1.67,1.67,1600,0
20111125,1.62,1.62,1.58,1.58,260,0
20111201,1.6,1.6,1.6,1.6,200,0
20111206,1.58,1.58,1.58,1.58,100,0
20111208,1.57,1.57,1.52,1.52,190,0
20111212,1.51,1.51,1.43,1.45,400,0
20111213,1.41,1.41,1.2,1.2,2900,0
20111214,1.27,1.27,1.25,1.25,36,0
20111216,1.31,1.31,1.31,1.31,1140,0
