Date,Open,High,Low,Close,Volume,OpenInt
20130221,2.1145,2.1145,1.6916,1.6916,12766,0
20130222,1.5736,1.5736,1.0917,1.0917,610,0
20130225,1.0326,1.0326,0.8261,0.836,4703,0
20130226,0.7179,0.954,0.5409,0.954,20025,0
20130227,1.131,1.1605,0.9048,1.0917,19128,0
20130228,0.9048,1.0622,0.7179,0.7474,27191,0
20130301,0.7474,0.7474,0.7081,0.7081,2170,0
20130304,0.7573,0.8458,0.7573,0.8458,1865,0
20130305,0.9343,0.9835,0.9343,0.9835,712,0
20130306,0.954,0.9835,0.954,0.9835,1322,0
20130307,0.9736,0.9835,0.9736,0.9835,1017,0
20130308,0.8851,0.8851,0.7868,0.7868,6543,0
20130311,0.7671,0.8851,0.7376,0.7474,1157,0
20130312,0.6393,0.8851,0.6393,0.8851,1373,0
20130313,0.8655,0.8655,0.8655,0.8655,1017,0
20130318,0.8753,0.8753,0.8753,0.8753,1017,0
20130319,0.8753,0.8753,0.8753,0.8753,1464,0
20130320,0.8753,0.8753,0.8753,0.8753,569,0
20130321,0.8556,0.8556,0.8556,0.8556,1611,0
20130322,0.8556,0.8556,0.8556,0.8556,1932,0
20130325,0.8655,0.8655,0.8655,0.8655,3355,0
20130327,0.8753,0.8753,0.8753,0.8753,712,0
20130328,0.8753,0.8753,0.8753,0.8753,51,0
20130402,0.9048,0.9048,0.9048,0.9048,31,0
20130403,0.8851,0.8851,0.8851,0.8851,2644,0
20130404,0.8851,0.8851,0.7376,0.8851,4067,0
20130405,0.8851,0.8851,0.8851,0.8851,51,0
20130408,0.8851,0.8851,0.8851,0.8851,51,0
20130409,0.836,0.836,0.836,0.836,1017,0
20130410,0.8556,0.8655,0.8556,0.8655,1678,0
20130412,0.7868,0.8458,0.7868,0.8458,203,0
20130415,1.013,1.013,1.013,1.013,5,0
20130417,0.9736,0.9736,0.9441,0.9441,3050,0
20130418,0.9441,0.9638,0.9441,0.954,6091,0
20130422,0.9441,0.9441,0.9441,0.9441,3050,0
20130425,0.9343,0.9441,0.8851,0.9441,3050,0
20130426,0.9441,0.9441,0.9441,0.9441,51,0
20130430,0.8163,0.9736,0.8163,0.9736,2435,0
20130502,0.9736,0.9736,0.9736,0.9736,51,0
20130506,0.9736,0.9736,0.9736,0.9736,20,0
20130508,0.9736,0.9736,0.9736,0.9736,31,0
20130509,0.9736,0.9736,0.9736,0.9736,31,0
20130510,0.9736,0.9736,0.836,0.9736,1106,0
20130516,0.8163,0.8753,0.7966,0.8753,2994,0
20130517,0.7966,0.8753,0.7966,0.8753,1373,0
20130523,0.8753,0.8753,0.8753,0.8753,51,0
20130527,0.9245,0.9343,0.9245,0.9343,1068,0
20130528,0.7966,0.9245,0.7966,0.9245,2115,0
20130531,0.92,0.92,0.92,0.92,51,0
20130606,0.9245,0.9245,0.9245,0.9245,41,0
