Date,Open,High,Low,Close,Volume,OpenInt
20110801,13.707,13.707,9.791,10.77,59315,0
20110802,11.75,13.707,10.77,12.729,12571,0
20110803,12.729,12.729,10.77,10.77,6666,0
20110804,10.77,10.77,9.791,10.77,6807,0
20110805,10.77,11.75,9.791,10.77,2678,0
20110808,10.77,11.75,10.77,11.75,944,0
20110809,10.77,11.75,10.77,10.77,1151,0
20110810,10.77,12.729,10.77,11.75,5556,0
20110811,11.75,11.75,10.77,11.75,62,0
20110812,11.75,11.75,10.77,11.75,312,0
20110816,11.75,11.75,9.791,9.791,5898,0
20110817,9.791,10.77,9.791,10.77,2005,0
20110818,9.791,9.791,9.791,9.791,1584,0
20110819,9.791,9.791,9.791,9.791,473,0
20110822,10.77,10.77,9.791,10.77,66,0
20110823,9.791,10.77,9.791,10.77,204,0
20110824,10.77,10.77,9.791,9.791,112,0
20110825,10.77,10.77,10.77,10.77,10,0
20110826,9.791,9.791,9.791,9.791,164,0
20110829,9.791,9.791,9.791,9.791,11,0
20110830,9.791,10.77,9.791,10.77,30,0
20110831,9.791,9.791,9.791,9.791,2532,0
20110901,9.791,10.77,9.791,9.791,464,0
20110902,9.791,11.75,9.791,11.75,12448,0
20110905,11.75,12.729,11.75,12.729,25864,0
20110906,13.707,18.604,13.707,17.624,23917,0
20110907,18.604,21.541,17.624,20.561,13979,0
20110908,21.541,26.436,20.561,26.436,9240,0
20110909,26.436,31.332,26.436,27.416,10348,0
20110912,27.416,28.395,25.457,26.436,4172,0
20110913,28.395,28.395,25.457,25.457,5055,0
20110914,22.52,23.499,19.582,23.499,4150,0
20110915,23.499,23.499,19.582,20.561,1995,0
20110916,20.561,20.561,19.582,20.561,574,0
20110919,20.561,24.479,20.561,23.499,2017,0
20110920,23.499,24.479,22.52,24.479,445,0
20110921,24.479,26.436,23.499,26.436,197,0
20110922,26.436,26.436,22.52,24.479,1218,0
20110923,24.479,24.479,23.499,24.479,104,0
20110926,23.499,32.311,23.499,32.311,7348,0
20110927,33.29,36.227,32.311,33.29,3404,0
20110928,35.249,35.249,27.416,33.29,11453,0
20110929,34.27,34.27,30.352,31.332,749,0
20110930,31.332,32.311,30.352,32.311,198,0
20111003,32.311,32.311,27.416,31.332,1865,0
20111004,31.332,32.311,29.374,32.311,660,0
20111005,32.311,33.29,29.374,32.311,402,0
20111006,32.311,32.311,30.352,31.332,268,0
20111007,31.332,37.207,30.352,36.227,5325,0
20111010,36.227,41.123,36.227,39.165,5085,0
20111011,39.165,39.165,35.249,38.186,454,0
20111012,34.27,34.27,30.352,31.332,1268,0
20111013,31.332,33.29,28.395,33.29,406,0
20111014,36.227,37.207,32.311,35.249,672,0
20111017,35.249,35.249,30.352,33.29,225,0
20111018,32.311,32.311,30.352,30.352,701,0
20111019,30.352,30.352,30.352,30.352,319,0
20111020,30.352,31.332,22.52,31.332,1422,0
20111021,28.395,30.352,27.416,30.352,270,0
20111024,30.352,31.332,30.352,31.332,30,0
20111025,31.332,31.332,29.374,31.332,69,0
20111026,29.374,31.332,29.374,31.332,104,0
20111027,30.352,31.332,28.395,31.332,113,0
20111028,28.395,29.374,26.436,26.436,466,0
20111031,26.436,26.436,25.457,25.457,58,0
20111102,24.479,25.457,21.541,25.457,287,0
20111103,24.479,25.457,22.52,25.457,49,0
20111104,25.457,25.457,23.499,23.499,125,0
20111107,23.499,24.479,23.499,24.479,11,0
20111108,24.479,24.479,21.541,24.479,145,0
20111109,24.479,24.479,24.479,24.479,1,0
20111110,24.479,24.479,24.479,24.479,4,0
20111114,24.479,25.457,24.479,25.457,53,0
20111115,25.457,25.457,23.499,24.479,41,0
20111116,24.479,26.436,24.479,26.436,34,0
20111117,26.436,28.395,26.436,28.395,38,0
20111118,28.395,29.374,28.395,29.374,173,0
20111121,27.416,27.416,25.457,25.457,174,0
20111122,25.457,29.374,25.457,28.395,425,0
20111123,27.416,28.395,26.436,26.436,39,0
20111124,27.416,27.416,27.416,27.416,5,0
20111125,27.416,27.416,24.479,27.416,129,0
20111128,27.416,27.416,22.52,25.457,137,0
20111129,25.457,25.457,25.457,25.457,4,0
20111130,22.52,23.499,22.52,23.499,142,0
20111201,23.499,25.457,19.582,24.479,500,0
20111202,24.479,24.479,21.541,21.541,14,0
20111205,21.541,23.499,21.541,23.499,24,0
20111206,23.499,24.479,23.499,24.479,85,0
20111207,24.479,24.479,21.541,22.52,695,0
20111208,22.52,25.457,21.541,25.457,850,0
20111209,25.457,25.457,25.457,25.457,4,0
20111212,25.457,26.436,25.457,26.436,126,0
20111213,26.436,26.436,26.436,26.436,9,0
20111214,26.436,26.436,25.457,26.436,144,0
20111215,25.457,26.436,25.457,26.436,4,0
20111216,26.436,26.436,24.479,24.479,203,0
20111219,26.436,26.436,26.436,26.436,260,0
20111220,26.436,26.436,25.457,26.436,691,0
20111221,26.436,26.436,24.479,26.436,53,0
20111222,26.436,26.436,26.436,26.436,4,0
20111223,26.436,26.436,26.436,26.436,2,0
20111227,26.436,26.436,26.436,26.436,484,0
20111228,27.416,27.416,26.436,26.436,6,0
20111229,25.457,26.436,25.457,26.436,25,0
20120102,26.436,26.436,26.436,26.436,63,0
20120103,26.436,26.436,25.457,25.457,14,0
20120104,25.457,25.457,25.457,25.457,68,0
20120105,23.499,25.457,23.499,25.457,189,0
20120109,25.457,25.457,25.457,25.457,15,0
20120110,25.457,25.457,25.457,25.457,5,0
20120111,25.457,25.457,24.479,24.479,15,0
20120112,24.479,24.479,24.479,24.479,4,0
20120113,24.479,24.479,24.479,24.479,2,0
20120116,24.479,24.479,24.479,24.479,4,0
20120117,24.479,24.479,22.52,23.499,105,0
20120119,21.541,23.499,21.541,23.499,59,0
20120120,23.499,23.499,21.541,23.499,484,0
20120123,23.499,23.499,20.561,23.499,639,0
20120124,23.499,23.499,19.582,20.561,733,0
20120125,20.561,22.52,20.561,22.52,32,0
20120126,22.52,22.52,22.52,22.52,3,0
20120127,20.561,20.561,20.561,20.561,102,0
20120130,20.561,20.561,19.582,20.561,813,0
20120131,20.566,21.543,20.566,21.543,15,0
20120201,20.561,21.541,20.561,21.541,63,0
20120202,20.561,20.561,20.561,20.561,102,0
20120203,20.561,21.541,19.582,19.582,184,0
20120206,19.582,19.582,18.604,19.582,266,0
20120207,17.624,24.479,17.624,24.479,811,0
20120208,22.52,28.395,22.52,28.395,900,0
20120209,27.416,29.374,27.416,29.374,556,0
20120210,29.374,29.374,25.457,29.374,242,0
20120213,28.395,28.395,25.457,26.436,57,0
20120214,25.457,26.436,24.479,25.457,180,0
20120215,25.457,29.374,25.457,29.374,529,0
20120216,29.374,29.374,26.436,29.374,256,0
20120217,29.374,29.374,27.416,27.416,113,0
20120220,27.416,27.416,25.457,25.457,58,0
20120221,24.479,26.436,24.479,26.436,189,0
20120222,24.479,25.457,24.479,25.457,11,0
20120224,23.499,23.499,22.52,23.499,318,0
20120227,23.499,23.499,21.541,22.52,38,0
20120228,21.541,21.541,21.541,21.541,82,0
20120229,21.541,21.541,20.561,21.541,100,0
20120301,21.541,24.479,20.561,21.541,213,0
20120302,21.541,23.499,21.541,21.541,116,0
20120305,21.541,22.52,20.561,22.52,216,0
20120306,21.541,21.541,21.541,21.541,110,0
20120307,21.541,21.541,21.541,21.541,112,0
20120308,21.541,21.541,21.541,21.541,184,0
20120309,22.52,22.52,22.52,22.52,82,0
20120312,20.561,21.541,20.561,20.561,330,0
20120313,20.561,21.541,20.561,21.541,107,0
20120314,21.541,23.499,20.561,20.561,59,0
20120315,20.561,21.541,20.561,20.561,4,0
20120316,20.561,22.52,20.561,22.52,31,0
20120319,23.499,23.499,22.52,22.52,29,0
20120320,23.499,23.499,23.499,23.499,4,0
20120321,23.499,23.499,21.541,21.541,178,0
20120322,21.541,21.541,19.582,19.582,152,0
20120323,20.561,20.561,20.561,20.561,5,0
20120326,20.561,20.561,20.561,20.561,41,0
