Date,Open,High,Low,Close,Volume,OpenInt
20081029,0.42388,0.42388,0.1919,0.22392,579417,0
20081030,0.23992,0.23992,0.1919,0.21597,108724,0
20081031,0.21597,0.23197,0.18395,0.20792,120271,0
20081103,0.21597,0.21597,0.18395,0.18395,55300,0
20081104,0.1919,0.19995,0.18395,0.1919,20625,0
20081105,0.1919,0.1919,0.18395,0.1919,20299,0
20081106,0.1919,0.1919,0.15989,0.15989,15094,0
20081107,0.15989,0.18395,0.15989,0.18395,33256,0
20081110,0.17599,0.20792,0.17599,0.18395,4384,0
20081112,0.18395,0.18395,0.17599,0.18395,16111,0
20081113,0.17599,0.17599,0.17599,0.17599,3766,0
20081114,0.15203,0.18395,0.15203,0.18395,6865,0
20081117,0.18395,0.18395,0.18395,0.18395,681,0
20081118,0.18395,0.18395,0.18395,0.18395,68,0
20081119,0.18395,0.18395,0.18395,0.18395,205,0
20081120,0.18395,0.18395,0.17599,0.17599,68,0
20081121,0.17599,0.17599,0.17599,0.17599,68,0
20081124,0.17599,0.17599,0.15203,0.15203,3134,0
20081125,0.15203,0.21597,0.15203,0.17599,11528,0
20081126,0.18395,0.18395,0.15989,0.18395,9052,0
20081127,0.15989,0.18395,0.15989,0.18395,4521,0
20081128,0.18395,0.18395,0.16794,0.16794,4783,0
20081201,0.16794,0.16794,0.16794,0.16794,48,0
20081202,0.16794,0.19995,0.16794,0.19995,48434,0
20081203,0.16794,0.16794,0.16794,0.16794,24560,0
20081204,0.16794,0.16794,0.16794,0.16794,6164,0
20081205,0.15203,0.15203,0.15203,0.15203,12,0
20081209,0.15989,0.15989,0.15989,0.15989,2717,0
20081210,0.15989,0.17599,0.15989,0.17599,2731,0
20081211,0.17599,0.17599,0.17599,0.17599,26,0
20081212,0.17599,0.1919,0.15989,0.1919,6809,0
20081215,0.15989,0.15989,0.15989,0.15989,3397,0
20081216,0.15203,0.15203,0.15203,0.15203,26,0
20081217,0.15989,0.1919,0.15989,0.15989,7511,0
20081218,0.15203,0.15989,0.15203,0.15989,20400,0
20081219,0.15203,0.15203,0.15203,0.15203,26,0
20081222,0.15203,0.15203,0.15203,0.15203,26,0
20081223,0.15203,0.15989,0.15203,0.15989,693,0
20081229,0.15203,0.15203,0.15203,0.15203,26,0
20081230,0.15203,0.15203,0.15203,0.15203,1670,0
20090105,0.17599,0.18395,0.17599,0.18395,2731,0
20090106,0.18395,0.18395,0.17599,0.17599,707,0
20090107,0.18395,0.18395,0.18395,0.18395,26,0
20090108,0.18395,0.18395,0.18395,0.18395,26,0
20090109,0.18395,0.18395,0.14397,0.14397,31573,0
20090112,0.14397,0.15203,0.14397,0.15203,2337,0
20090113,0.15203,0.15203,0.15203,0.15203,9164,0
20090114,0.15203,0.15203,0.15203,0.15203,26,0
20090115,0.15203,0.15203,0.15203,0.15203,26,0
20090116,0.15203,0.15203,0.15203,0.15203,26,0
20090119,0.15203,0.15203,0.15203,0.15203,26,0
20090120,0.15203,0.15203,0.15203,0.15203,26,0
20090128,0.16794,0.16794,0.16794,0.16794,5,0
20090129,0.18395,0.18395,0.18395,0.18395,1385,0
20090130,0.18395,0.18395,0.18395,0.18395,26,0
20090202,0.18395,0.18395,0.15989,0.15989,13603,0
20090203,0.17599,0.17599,0.15203,0.15203,16149,0
20090204,0.15203,0.15203,0.15203,0.15203,2,0
20090205,0.15203,0.15203,0.14397,0.14397,20386,0
20090209,0.16794,0.16794,0.16794,0.16794,3398,0
20090210,0.16794,0.16794,0.16794,0.16794,682,0
20090211,0.16794,0.17599,0.16794,0.17599,26996,0
20090212,0.17599,0.17599,0.17599,0.17599,26,0
20090213,0.17599,0.18395,0.17599,0.18395,28499,0
20090216,0.18395,0.18395,0.18395,0.18395,26,0
20090217,0.18395,0.18395,0.18395,0.18395,26,0
20090218,0.18395,0.18395,0.18395,0.18395,26,0
20090219,0.18395,0.18395,0.17599,0.17599,17454,0
20090220,0.18395,0.18395,0.18395,0.18395,3397,0
20090224,0.19995,0.20792,0.19995,0.20792,693,0
20090225,0.20792,0.24798,0.20792,0.24798,11361,0
20090226,0.26389,0.26389,0.24798,0.25594,8328,0
20090227,0.25594,0.25594,0.24798,0.24798,2731,0
20090302,0.25594,0.25594,0.24798,0.24798,2744,0
20090303,0.25594,0.25594,0.20792,0.20792,14134,0
20090304,0.18395,0.23992,0.17599,0.19995,11088,0
20090305,0.19995,0.19995,0.19995,0.19995,26,0
20090306,0.19995,0.19995,0.19995,0.19995,5570,0
20090310,0.1919,0.1919,0.1919,0.1919,12,0
20090311,0.1919,0.1919,0.1919,0.1919,2704,0
20090312,0.17599,0.17599,0.17599,0.17599,26,0
20090313,0.18395,0.20792,0.18395,0.20792,2731,0
20090316,0.1919,0.20792,0.1919,0.20792,26,0
20090317,0.19995,0.21597,0.19995,0.20792,9747,0
20090318,0.20792,0.23992,0.20792,0.23197,7730,0
20090319,0.23992,0.25594,0.23197,0.24798,86295,0
20090320,0.26389,0.26389,0.25594,0.25594,22295,0
20090323,0.25594,0.25594,0.21597,0.24798,6537,0
20090324,0.24798,0.25594,0.24798,0.24798,14978,0
20090325,0.25594,0.25594,0.23197,0.24798,8318,0
20090326,0.25594,0.25594,0.24798,0.25594,15656,0
