Date,Open,High,Low,Close,Volume,OpenInt
20110824,5.95,5.95,5.5,5.5,675,0
20110825,5.81,5.81,5.5,5.5,30,0
20110826,5.33,5.33,4.35,4.64,1081,0
20110829,4.4,4.79,3.72,4.3,365,0
20110830,4.3,4.78,3.44,4.03,341,0
20110831,3.44,4.4,3.23,3.5,715,0
20110901,3.2,3.69,2.56,3.58,1625,0
20110902,3.52,3.52,2.83,3.39,31,0
20110905,2.72,3.24,2.5,3.24,50,0
20110906,3.15,3.15,2.53,3.04,41,0
20110907,3.06,3.06,2.7,2.97,111,0
20110908,2.97,2.97,2.38,2.84,69,0
20110909,2.82,2.82,2.82,2.82,10,0
20110912,2.82,2.82,1.81,2.68,453,0
20110914,2.15,3.2,2.15,3.2,2012,0
20110915,3.4,3.4,2.5,2.88,1210,0
20110916,3.4,3.4,2.31,2.31,542,0
20110919,2.45,2.79,2.45,2.79,272,0
20110920,2.8,3.3,2.3,3.3,1571,0
20110921,3.8,4.56,3.79,4.56,3452,0
20110922,4.85,4.85,3.2,3.2,3284,0
20110923,3.6,3.8,2.56,3.6,6488,0
20110926,3.6,3.6,2.88,2.88,630,0
20110927,2.88,3.2,2.31,3.2,1083,0
20110928,3.2,3.2,2.6,3.15,233,0
20110929,3.12,3.2,2.8,2.8,190,0
20110930,2.8,3.4,2.8,3.4,2475,0
20111003,3.2,3.2,2.6,2.85,711,0
20111004,2.85,2.85,2.85,2.85,9,0
20111005,2.66,2.79,2.55,2.79,778,0
20111006,2.6,2.71,2.25,2.71,2460,0
20111007,2.3,2.3,2.2,2.2,160,0
20111010,2.15,2.15,2,2,100,0
20111011,2,2,2,2,62,0
20111013,2,2,2,2,25,0
20111017,2.13,2.33,2.13,2.33,110,0
20111019,2.2,2.2,2.15,2.15,105,0
20111020,2.05,2.15,2.05,2.15,90,0
20111021,2.1,2.1,1.9,1.9,268,0
20111024,2.15,2.45,1.9,2.45,3730,0
20111025,2.3,2.45,2.1,2.25,200,0
20111026,2.1,2.24,2,2.23,522,0
20111027,2.1,2.3,1.8,2,1580,0
20111028,1.95,2.1,1.8,1.9,2655,0
20111031,1.88,2.28,1.75,1.9,5466,0
20111102,1.8,2,1.8,2,535,0
20111103,1.85,1.95,1.85,1.95,110,0
20111104,1.85,1.99,1.82,1.99,371,0
20111107,1.85,1.97,1.85,1.85,170,0
20111108,1.85,1.85,1.85,1.85,60,0
20111109,1.84,1.95,1.8,1.95,270,0
20111110,1.8,2.34,1.8,2.05,6698,0
20111114,2.05,2.05,1.64,1.64,6253,0
20111115,1.75,1.95,1.4,1.75,10461,0
20111116,1.77,1.89,1.77,1.89,153,0
20111117,1.99,1.99,1.65,1.85,535,0
20111118,1.84,1.84,1.84,1.84,67,0
20111121,1.7,1.7,1.5,1.6,451,0
20111122,1.55,1.6,1.55,1.6,145,0
20111123,1.55,1.7,1.4,1.5,37059,0
20111130,1.5,1.55,1.4,1.4,2700,0
20111201,1.4,1.5,1.4,1.5,210,0
20111202,1.45,1.45,1.3,1.4,2460,0
20111206,1.35,1.35,1.17,1.17,2201,0
20111207,1.16,1.16,1.16,1.16,50,0
20111208,1.16,1.16,1.16,1.16,100,0
20111209,1.16,1.35,1.16,1.35,6350,0
20111212,1.37,1.37,1.25,1.25,170,0
20111213,1.25,1.5,1.1,1.5,10004,0
20111214,1.46,1.7,1.46,1.52,2250,0
20111215,1.66,1.7,1.4,1.4,701,0
20111216,1.45,1.5,1.45,1.5,2500,0
20111219,1.5,1.65,1.5,1.65,1000,0
20111220,1.6,1.6,1.6,1.6,50,0
20111221,1.65,1.75,1.6,1.75,5365,0
20111222,1.75,2,1.75,1.99,8900,0
20111223,2.2,2.2,1.76,2,3489,0
20111227,1.99,1.99,1.99,1.99,50,0
20111228,1.98,1.98,1.98,1.98,50,0
20111229,1.99,1.99,1.99,1.99,25,0
20111230,1.99,1.99,1.8,1.98,326,0
20120102,1.99,1.99,1.99,1.99,25,0
20120103,1.96,1.96,1.96,1.96,25,0
20120104,1.96,1.96,1.96,1.96,25,0
20120109,1.96,1.96,1.96,1.96,55,0
20120110,1.96,2.05,1.95,2.05,1285,0
20120111,2.05,2.3,2,2.3,670,0
20120112,2.34,2.34,2.15,2.2,1170,0
20120113,2.25,2.63,2.24,2.63,1735,0
20120116,2.6,3.1,2.28,3,8028,0
20120117,3.4,4.05,3.4,4.04,3443,0
20120118,4.04,4.04,3.4,3.5,2120,0
20120119,3.5,3.5,3.3,3.49,4385,0
20120120,3.55,4,3.55,4,120,0
20120123,3.98,3.98,3.49,3.98,1780,0
20120124,4,4,4,4,20,0
20120125,3.99,3.99,3.7,3.7,190,0
20120126,3.7,3.95,3.65,3.7,6396,0
20120127,3.89,3.93,3.8,3.93,450,0
20120130,3.92,3.95,3.7,3.7,1554,0
20120131,3.8,3.8,3.55,3.8,14870,0
20120201,3.8,3.8,3.78,3.78,930,0
20120202,3.78,3.78,3.6,3.6,5865,0
20120203,3.65,3.65,3.45,3.45,110,0
