Date,Open,High,Low,Close,Volume,OpenInt
20111026,2.4111,2.7443,1.9328,1.9485,241416,0
20111027,1.8426,2.0896,1.6662,1.7171,109865,0
20111028,1.772,2.0387,1.725,1.8034,37335,0
20111031,1.8034,1.8779,1.6544,1.678,16292,0
20111102,1.627,2.3092,1.5839,1.9289,38781,0
20111103,2.1053,2.3013,1.925,2.2739,20656,0
20111104,2.3131,2.5483,2.1249,2.5444,11725,0
20111107,2.5875,2.8227,2.4307,2.4307,14156,0
20111108,2.4307,3.497,2.3523,3.1364,40751,0
20111109,3.1756,3.6068,2.9404,3.1364,43807,0
20111110,3.1364,3.4108,2.7051,3.0227,17407,0
20111114,3.0227,3.2462,2.3562,2.3562,18355,0
20111115,2.3444,2.3483,1.9563,2.1131,6624,0
20111116,1.9406,2.1053,1.6976,1.8583,16312,0
20111117,1.8583,2.1563,1.823,1.9642,9583,0
20111118,2.3013,2.3523,1.9994,2.2661,12976,0
20111121,2.6581,3.1246,2.5208,2.9364,55948,0
20111122,2.8619,2.8619,2.2346,2.3483,5920,0
20111123,2.2346,2.6816,2.0779,2.3131,10275,0
20111124,2.2739,2.2739,1.9602,1.9602,13292,0
20111125,1.8662,1.9367,1.8269,1.9014,9381,0
20111128,1.9014,2.2739,1.8152,2.0779,15575,0
20111129,2.2346,2.2346,1.9289,2.0504,8172,0
20111130,1.9211,1.9211,1.7015,1.9211,3087,0
20111201,1.8034,1.8975,1.7642,1.8975,1339,0
20111202,1.9054,1.9054,1.5721,1.8426,4869,0
20111205,1.8779,1.8779,1.725,1.725,1783,0
20111206,1.6466,1.6466,1.4937,1.6035,6145,0
20111207,1.6035,1.6819,1.529,1.6819,5797,0
20111208,1.6819,1.6819,1.5682,1.6466,156,0
20111209,1.5682,1.5682,1.4624,1.4976,1663,0
20111212,1.529,1.627,1.4898,1.4898,2925,0
20111213,1.4898,1.5604,1.4898,1.5604,895,0
20111214,1.431,1.4898,1.3918,1.3918,3061,0
20111215,1.4858,1.725,1.2624,1.725,45625,0
20111216,1.6701,1.6701,1.4231,1.431,5971,0
20111219,1.5682,1.5682,1.2938,1.2938,3188,0
20111220,1.2545,1.333,1.2545,1.333,260,0
20111221,1.3682,1.3682,1.2742,1.3682,207,0
20111222,1.3682,1.3682,1.3682,1.3682,76,0
20111223,1.3682,1.3682,1.2154,1.2154,332,0
20111227,1.2154,1.3682,1.1801,1.2938,7729,0
20111228,1.1801,1.2938,1.0977,1.1369,1839,0
20111229,1.1369,1.2938,1.0389,1.1762,35085,0
20111230,1.2375,1.2375,1.2375,1.2375,3,0
20120102,1.2545,1.2938,1.0232,1.0977,4316,0
20120103,1.0507,1.133,1.0507,1.133,1277,0
20120104,1.1252,1.1723,1.0703,1.1723,860,0
20120105,1.1565,1.1565,1.0468,1.1369,64433,0
20120109,1.0977,1.1369,0.984,0.988,40905,0
20120110,1.1134,1.133,0.988,0.9919,5423,0
20120111,0.9958,1.1252,0.9449,0.9449,3227,0
20120112,1.0037,1.0037,0.9056,0.9919,3383,0
20120113,0.9919,1.0586,0.9683,1.0586,4031,0
20120117,1.0389,1.0389,1.0193,1.0232,4821,0
20120118,1.0232,1.0781,0.9801,0.9801,7736,0
20120119,0.9801,0.988,0.9331,0.9801,5236,0
20120120,1.0193,1.0193,0.9331,0.9801,903,0
20120123,0.9801,0.9801,0.8429,0.8429,4451,0
20120124,0.9409,1.2114,0.9409,1.2114,137001,0
20120125,1.235,1.6858,1.235,1.6858,58947,0
20120126,1.6466,1.7838,1.4898,1.6074,53045,0
20120127,1.627,1.7446,1.3133,1.4898,6733,0
20120130,1.431,1.431,1.2075,1.2154,54716,0
20120131,1.2,1.305,1.095,1.305,58667,0
20120201,1.1957,1.4858,1.1565,1.4741,20433,0
20120202,1.4663,1.7054,1.3721,1.6858,12613,0
20120203,1.6819,1.9367,1.5407,1.6858,30619,0
20120206,1.7838,1.7838,1.5251,1.5251,17049,0
20120207,1.4153,1.4702,1.3721,1.4506,11275,0
20120208,1.4192,1.4192,1.333,1.4192,9367,0
20120209,1.4114,1.5055,1.1879,1.4231,58975,0
20120210,1.4231,1.5173,1.3565,1.5173,10649,0
20120213,1.5173,1.6427,1.4898,1.6074,9233,0
20120214,1.6074,1.6701,1.529,1.6427,7037,0
20120215,1.3487,1.4702,1.2938,1.3996,7428,0
20120216,1.3996,1.431,1.2232,1.431,10624,0
20120217,1.3918,1.427,1.3643,1.427,280,0
20120220,1.4114,1.5251,1.4114,1.5251,5344,0
20120221,1.5015,1.5015,1.5015,1.5015,128,0
20120222,1.5015,1.5251,1.4036,1.4702,6749,0
20120223,1.5251,1.5839,1.5251,1.5839,4336,0
20120224,1.5878,1.7838,1.5878,1.7838,8459,0
20120227,1.7838,1.9211,1.6701,1.823,31644,0
20120228,1.6662,1.8113,1.5682,1.6427,15217,0
20120229,1.6231,1.6231,1.529,1.58,2015,0
20120301,1.529,1.6231,1.4898,1.6231,21427,0
20120302,1.6192,2.0582,1.58,2.0387,123365,0
20120305,2.019,2.1641,2.019,2.0779,29372,0
20120306,2.117,2.117,2.0426,2.0896,5560,0
20120307,2.0779,2.3483,1.9916,2.0348,10716,0
20120308,1.9916,2.1876,1.9916,2.0975,3061,0
20120309,2.0269,2.1563,1.9955,2.121,3696,0
20120312,2.1249,2.1288,1.9799,1.9799,27239,0
20120313,1.9211,2.1524,1.9211,2.0936,8515,0
20120314,2.0779,2.4307,1.6898,1.8818,98501,0
20120315,1.9328,1.9328,1.6898,1.7995,2433,0
20120316,1.7956,1.7956,1.4937,1.6388,31183,0
20120319,1.529,1.7603,1.5094,1.7603,5353,0
20120320,1.6192,1.674,1.5995,1.6662,11001,0
20120321,1.6074,1.7407,1.5878,1.7329,9695,0
20120322,1.7446,1.925,1.7015,1.8191,4989,0
20120323,1.7642,1.8662,1.7015,1.8152,9871,0
20120326,1.8387,1.874,1.529,1.6937,7928,0
20120327,1.7054,1.9524,1.7054,1.8269,3741,0
20120328,1.8113,1.8113,1.6505,1.7525,3099,0
20120329,1.7603,1.7603,1.5682,1.7486,1097,0
20120330,1.65,1.9575,1.65,1.95,25763,0
20120402,1.9367,1.9367,1.7956,1.823,3535,0
20120403,1.7956,1.8191,1.6074,1.7603,37801,0
20120404,1.678,1.678,1.529,1.6152,17735,0
20120405,1.5682,1.7995,1.5486,1.7995,13519,0
20120410,1.7642,1.7642,1.5604,1.5604,3023,0
20120411,1.5525,1.6623,1.5525,1.6623,408,0
20120412,1.6858,1.6858,1.5486,1.5525,2219,0
20120413,1.5564,1.5564,1.5525,1.5525,1084,0
20120416,1.5878,1.7015,1.5564,1.6701,2316,0
20120417,1.6388,1.6388,1.5407,1.5643,3913,0
20120418,1.5486,1.6074,1.5368,1.6074,1925,0
