Date,Open,High,Low,Close,Volume,OpenInt
20070914,104.04,104.04,104.04,104.04,10,0
20070921,107.28,107.28,107.28,107.28,10,0
20080723,80.38,80.38,80.38,80.38,1,0
20081105,53.77,53.77,53.77,53.77,1,0
20090217,42.22,42.22,42.22,42.22,1,0
20090407,50.71,50.71,50.71,50.71,1,0
20091103,72.14,72.14,72.14,72.14,14,0
20091104,73.26,73.26,73.22,73.22,126,0
20091105,73.4,73.4,73.4,73.4,14,0
20091106,75.69,75.69,75.69,75.69,14,0
20091116,77.57,77.57,77.57,77.57,28,0
20091117,77.45,77.45,77.45,77.45,14,0
20091118,77.4,77.4,77.4,77.4,14,0
20091123,77.05,77.05,77.05,77.05,14,0
20091127,73.29,73.29,73.29,73.29,14,0
20091130,75.09,75.09,75.09,75.09,14,0
20091201,75.9,75.9,75.9,75.9,21,0
20091202,75.83,75.83,75.83,75.83,21,0
20091210,74.83,74.83,74.83,74.83,14,0
20091211,74.84,74.84,74.84,74.84,21,0
20091214,75.51,75.51,75.51,75.51,21,0
20091222,75.12,75.12,75.12,75.12,21,0
20091228,75.32,75.32,75.32,75.32,15,0
20100125,77.67,77.67,77.67,77.67,14,0
20100203,76.54,76.54,76.54,76.54,28,0
20100215,72.48,72.48,72.48,72.48,38,0
20100216,73.17,73.17,73.17,73.17,19,0
20100519,76.64,76.64,76.64,76.64,12,0
20100708,75,75,75,75,150,0
20100719,75.03,75.03,75.03,75.03,40,0
20100723,77.95,77.95,77.95,77.95,89,0
20100727,78.15,78.15,78.15,78.15,33,0
20100805,79.81,79.81,79.81,79.81,110,0
20100817,77.8,77.8,77.8,77.8,89,0
20100823,78.05,78.05,78.05,78.05,70,0
20100824,76.53,76.53,76.53,76.53,70,0
20100826,76.48,76.48,76.48,76.48,168,0
20100830,75.95,76,75.68,75.68,168,0
20100910,77.46,77.46,77.46,77.46,30,0
20100913,78.64,78.64,78.64,78.64,29,0
20100914,78.59,78.59,78.59,78.59,29,0
20100915,78.39,78.39,78.39,78.39,30,0
20100927,81.05,81.23,81.05,81.23,140,0
20101014,81.91,81.91,81.91,81.91,140,0
20101021,81.29,81.29,81.29,81.29,10,0
20110304,87.31,87.31,87.31,87.31,60,0
20110310,85.76,85.76,85.76,85.76,30,0
20110316,84.57,84.57,84.57,84.57,90,0
20110706,86.48,86.49,86.48,86.49,210,0
20111010,69.14,69.14,69.14,69.14,115,0
20111012,68.95,68.95,68.95,68.95,115,0
20120910,71.87,71.87,71.87,71.87,3,0
20120920,72.64,72.64,72.64,72.64,2,0
20130116,75.18,75.18,75.18,75.18,1,0
20130729,68.03,68.03,68.03,68.03,100,0
20131024,75.08,75.08,75.08,75.08,40,0
20131118,75.74,75.74,75.74,75.74,40,0
20140630,70.83,70.83,70.83,70.83,15,0
