Date,Open,High,Low,Close,Volume,OpenInt
20070918,15.04,15.04,15.04,15.04,100,0
20070927,14.94,14.94,14.94,14.94,100,0
20070928,15.27,15.27,15.27,15.27,100,0
20071002,14.67,14.67,14.67,14.67,100,0
20071003,14.81,14.81,14.81,14.81,605,0
20071005,14.92,14.92,14.92,14.92,100,0
20071009,14.55,14.55,14.55,14.55,605,0
20071011,14.99,14.99,14.95,14.95,1480,0
20071015,15.11,15.2,15.11,15.2,615,0
20071016,15.52,15.52,15.52,15.52,120,0
20071018,15.45,15.45,15.45,15.45,1330,0
20071024,15.22,15.22,15.22,15.22,140,0
20071025,15.74,15.74,15.65,15.65,600,0
20071026,16.02,16.02,16.02,16.02,200,0
20071029,16.12,16.12,16.12,16.12,100,0
20071031,15.69,16.08,15.66,16.08,600,0
20071102,16.3,16.43,16.3,16.43,165,0
20071106,16.56,16.56,16.51,16.51,218,0
20071107,16.9,16.9,16.76,16.76,5018,0
20071108,16.69,16.79,16.65,16.78,733,0
20071109,16.45,16.68,16.44,16.68,21463,0
20071112,16.51,16.6,16.37,16.37,2572,0
20071113,16.33,16.36,16.07,16.07,17019,0
20071114,16,16.08,15.91,16.08,8729,0
20071115,16.62,16.62,16.4,16.4,4938,0
20071116,16.69,16.69,16.66,16.66,2179,0
20071119,16.83,16.83,16.83,16.83,1450,0
20071120,16.9,16.91,16.9,16.91,157,0
20071121,17.42,17.42,17.17,17.17,2281,0
20071122,17.27,17.27,17.26,17.26,386,0
20071123,17.02,17.27,17.02,17.27,5920,0
20071126,17.4,17.4,17.15,17.15,950,0
20071127,17.09,17.12,16.87,16.87,51018,0
20071128,16.76,16.79,16.76,16.79,906,0
20071129,16.54,16.68,16.54,16.6,1140,0
20071130,15.73,15.9,15.73,15.88,666,0
20071205,16.03,16.29,16.03,16.28,264,0
20071206,15.78,15.78,15.65,15.65,385,0
20071207,16.15,16.15,16.15,16.15,98,0
20071211,15.67,15.67,15.67,15.67,220,0
20071213,16.5,16.55,16.5,16.55,1193,0
20071217,17.03,17.03,16.73,16.73,880,0
20071218,16.76,16.79,16.76,16.79,300,0
20071219,16.69,16.69,16.69,16.69,180,0
20071220,16.94,16.94,16.94,16.94,160,0
20071221,16.7,16.7,16.7,16.7,300,0
20080102,16.83,17.21,16.83,17.21,1478,0
20080103,17.61,17.61,17.42,17.42,645,0
20080104,17.42,17.42,17.37,17.37,700,0
20080107,17.33,17.33,17.33,17.33,300,0
20080108,17.08,17.08,17.08,17.08,8,0
20080109,17.04,17.07,17.04,17.07,150,0
20080110,16.85,16.85,16.49,16.49,1109,0
20080111,16.4,16.45,16.35,16.35,534,0
20080114,16.6,16.6,15.98,16.24,1251,0
20080116,16.12,16.12,16.12,16.12,210,0
20080117,16.2,16.23,16.2,16.2,700,0
20080118,16.1,16.37,16.1,16.37,417,0
20080121,16.26,16.3,16.2,16.2,910,0
20080122,16.01,16.2,16,16.2,1400,0
20080123,16.04,16.04,15.99,15.99,380,0
20080125,16.23,16.24,16.23,16.24,193,0
20080128,16.37,16.37,16.3,16.3,328,0
20080129,16.48,16.49,16.48,16.49,154,0
20080130,16.6,16.69,16.5,16.5,597,0
20080131,16.3,16.3,16.13,16.13,150,0
20080201,16.37,16.37,16.37,16.37,7,0
20080204,15.77,15.77,15.77,15.77,77,0
20080205,15.87,15.87,15.87,15.87,300,0
20080207,15.82,15.82,15.82,15.82,100,0
20080208,16.42,16.42,16.42,16.42,135,0
20080211,16.82,16.82,16.67,16.67,714,0
20080212,17.05,17.05,16.82,16.88,305,0
20080218,17.1,17.1,17.1,17.1,50,0
20080219,17.2,17.25,17.2,17.25,250,0
20080221,17.4,17.4,17.4,17.4,100,0
20080222,17.17,17.17,17.05,17.05,250,0
20080226,17.1,17.1,17,17,278,0
20080227,17.25,17.3,17.25,17.25,95,0
20080228,16.88,16.99,16.88,16.99,120,0
20080303,17.27,17.27,17.15,17.15,547,0
20080304,17.14,17.3,17.14,17.3,70,0
20080305,16.88,17,16.86,17,1118,0
20080306,17.2,17.2,17.15,17.15,1000,0
20080307,17.47,17.5,17.47,17.5,595,0
20080310,17.5,17.5,17.5,17.5,114,0
20080317,17.99,17.99,17.5,17.5,1548,0
20080319,17.13,17.13,17.13,17.13,220,0
20080320,16.8,16.8,16.66,16.72,423,0
20080325,16.74,16.92,16.74,16.92,297,0
20080326,16.91,16.95,16.91,16.92,252,0
20080327,17.36,17.38,17.33,17.38,520,0
20080328,17.19,17.19,17.13,17.13,220,0
20080331,17.02,17.02,17.02,17.02,99,0
20080401,16.57,16.57,16.57,16.57,264,0
20080402,16.6,16.6,16.6,16.6,80,0
20080403,17,17,16.99,16.99,354,0
20080404,16.99,16.99,16.94,16.94,127,0
20080407,17.09,17.37,17.09,17.32,1059,0
20080408,17.33,17.5,17.33,17.5,690,0
20080410,17.56,17.56,17.56,17.56,27,0
20080415,17.7,17.7,17.7,17.7,470,0
20080416,17.74,17.74,17.74,17.74,210,0
20080417,17.9,17.9,17.9,17.9,286,0
20080418,17.85,17.85,17.85,17.85,780,0
20080421,18.1,18.1,18.1,18.1,60,0
20080422,18.18,18.25,18.18,18.2,275,0
20080424,18.51,18.72,18.51,18.55,851,0
20080425,18.41,18.41,18.41,18.41,260,0
20080428,18.91,18.91,18.91,18.91,780,0
20080429,19,19,19,19,250,0
20080505,18.98,19.26,18.98,19.26,922,0
20080506,19.32,19.65,19.2,19.65,663,0
20080507,19.87,19.87,19.75,19.75,124,0
20080508,20.03,20.17,20.03,20.17,320,0
20080509,20.36,20.36,20.36,20.36,100,0
20080512,20.4,20.42,20.26,20.26,374,0
20080513,19.99,19.99,19.99,19.99,81,0
20080514,20.3,20.3,20.17,20.17,380,0
20080515,20.1,20.3,20.1,20.3,120,0
20080516,20.14,20.48,20.12,20.48,245,0
20080519,20.2,20.3,19.88,20.3,429,0
20080520,20.44,20.44,20.44,20.44,100,0
20080521,20.67,20.68,20.6,20.6,490,0
20080523,21.1,21.39,21.1,21.39,499,0
20080526,21.19,21.25,20.99,21.25,1184,0
20080527,21.31,21.31,20.64,20.64,1810,0
20080528,20.35,20.43,20.2,20.43,602,0
20080529,20.83,20.83,20.83,20.83,70,0
20080530,20.35,20.71,20.35,20.71,175,0
20080602,20.53,20.53,20.5,20.5,274,0
20080603,20.55,20.55,20.34,20.34,498,0
20080604,20,20.2,19.86,20.2,1417,0
20080605,19.92,19.92,19.75,19.75,525,0
20080606,20.58,21.43,20.58,21.43,1387,0
20080609,21.65,21.71,21.45,21.5,798,0
20080610,21.5,22.17,21.46,21.96,333,0
20080611,21.46,21.51,21.43,21.47,593,0
20080612,21.96,21.96,21.96,21.96,100,0
20080613,22.1,22.1,21.96,21.96,440,0
20080616,21.75,22,21.75,22,929,0
20080617,21.66,21.66,21.45,21.58,245,0
20080618,21.63,21.72,21.56,21.68,241,0
20080619,21.54,21.54,21.44,21.44,330,0
20080620,21.25,21.3,21.23,21.3,280,0
20080624,21.67,21.85,21.67,21.76,400,0
20080625,21.83,21.83,21.55,21.55,195,0
20080626,21.1,21.52,21.1,21.52,243,0
20080627,22.12,22.27,22.04,22.04,394,0
20080630,22.34,22.46,22.3,22.3,1833,0
20080701,22.2,22.48,22.2,22.47,583,0
20080702,22.27,22.3,22,22.01,524,0
20080703,22.69,22.8,22.58,22.58,964,0
20080704,22.7,22.75,22.7,22.75,311,0
20080707,22.44,22.44,22,22.18,1448,0
20080708,22.02,22.02,21.27,21.27,1498,0
20080709,21.34,21.36,21.08,21.08,596,0
20080710,21.07,21.2,21.07,21.2,150,0
20080711,22,22.26,22,22.17,727,0
20080714,21.71,21.97,21.71,21.97,8182,0
20080715,21.92,21.92,21.92,21.92,2090,0
