Date,Open,High,Low,Close,Volume,OpenInt
20120914,125.59,125.59,125.59,125.59,1,0
20120920,140,140,140,140,1,0
20120925,124.46,124.46,124.46,124.46,1,0
20121001,110.86,110.86,110.86,110.86,35,0
20121005,114.23,115.81,114.23,115.81,45,0
20121012,100,108.59,100,108.59,2,0
20121016,113.75,113.75,113.75,113.75,19,0
20121019,121.31,121.31,121.31,121.31,99,0
20121022,100,100,100,100,1,0
20121025,114.62,114.62,114.62,114.62,40,0
20121102,120.12,120.12,120.12,120.12,40,0
20121113,112.5,112.5,112.5,112.5,237,0
20121119,105.11,105.7,105.11,105.7,42,0
20121120,109.77,112.91,109.77,112.91,130,0
20121123,117.48,120.28,117.48,120.28,440,0
20121126,106,119.04,106,118.5,212,0
20121128,115.15,115.15,114.96,114.96,250,0
20121129,122.76,122.76,122.58,122.58,236,0
20121130,126.33,126.85,126.33,126.85,236,0
20121210,126.51,126.51,126.51,126.51,60,0
20121211,130.04,132.54,130.04,132.2,1328,0
20121212,136.1,136.1,134.78,135,123,0
20121213,135.61,135.61,135.61,135.61,15,0
20121217,133.33,134.45,132.32,134.45,1312,0
20121218,135.2,137.75,135.2,137.75,230,0
20121219,139.41,141.52,139.41,141.52,85,0
20121221,135.82,137.38,135.82,137.38,57,0
20121228,137.5,137.5,137.5,137.5,50,0
20130102,144,149,144,148.63,684,0
20130103,148.16,150.73,147.77,150.5,195,0
20130104,150.08,150.08,150.08,150.08,5,0
20130107,130.57,154.26,130.57,154.26,2,0
20130110,155.81,155.81,155,155,41,0
20130111,151.9,153.9,151.9,153.9,68,0
20130114,158.82,158.82,153,153,85,0
20130115,153.1,153.1,150,152,696,0
20130116,153,153,152.42,152.87,200,0
20130117,152,156.85,152,154.52,2564,0
20130118,158.27,158.27,154.89,154.89,946,0
20130121,158,158.14,158,158.14,150,0
20130124,159.44,159.44,159.44,159.44,19,0
20130125,159.93,164.13,159.93,164.12,1532,0
20130128,163,166.15,163,166.15,1060,0
20130129,165.56,165.56,163.32,163.32,32,0
20130201,158.39,158.39,158.39,158.39,20,0
20130205,138.93,142.41,138.93,142.41,198,0
20130206,141,141.58,135.31,135.31,165,0
20130207,137.94,137.94,135.72,135.72,150,0
20130208,132.87,137.73,132.74,136.93,973,0
20130211,137.5,139.81,135.68,136.52,2372,0
20130212,134.13,134.13,134.13,134.13,50,0
20130213,142.76,142.76,142.12,142.12,70,0
20130214,142,142,137.09,139,2110,0
20130215,140.8,140.8,140.8,140.8,180,0
20130219,140,144,140,144,133,0
20130220,143.9,143.9,141.49,141.49,91,0
