Date,Open,High,Low,Close,Volume,OpenInt
20100324,85.52,85.52,85.52,85.52,12,0
20100406,80.99,80.99,80.99,80.99,4,0
20100407,82,82,82,82,40,0
20100414,81,81,79.19,79.19,271,0
20100420,81.25,81.25,81.25,81.25,20,0
20100421,81.1,81.1,80.67,80.67,260,0
20100426,79,79,79,79,260,0
20100505,90.49,91.76,88.39,91.76,2030,0
20100506,94.1,94.1,93.2,93.2,15,0
20100511,89.48,89.48,89.48,89.48,6,0
20100512,85.92,85.92,85.92,85.92,24,0
20100514,87.92,87.92,86,86,12,0
20100518,88.3,88.3,87.6,87.6,236,0
20100519,94,94,94,94,7,0
20100520,92.69,98.8,92.69,98.8,201,0
20100521,98.8,98.8,98.8,98.8,8,0
20100525,98,99.68,97.8,99.68,59,0
20100527,92.29,92.29,92.29,92.29,6,0
20100531,89.36,89.36,89.36,89.36,3,0
20100604,92.9,99.02,92.9,99.02,50,0
20100607,98.55,98.55,98.55,98.55,40,0
20100609,95.96,95.96,94.97,94.97,64,0
20100614,91.74,91.74,91.74,91.74,100,0
20100615,92,92,91.86,91.86,31,0
20100621,90.5,90.5,89.54,89.54,367,0
20100624,95.02,95.02,93.07,93.9,49,0
20100625,93.99,93.99,93.99,93.99,200,0
20100628,95,95,95,95,45,0
20100630,99,99,97.53,97.53,48,0
20100701,98.44,98.44,96.9,96.9,129,0
20100707,95.71,95.71,95.71,95.71,9,0
20100708,93.4,93.4,93.4,93.4,15,0
20100712,92.58,92.58,92.58,92.58,300,0
20100713,91.65,91.71,91.65,91.71,131,0
20100714,89.76,89.76,87.75,87.75,75,0
20100727,85,85.23,85,85.23,20,0
20100730,85.28,85.28,85.28,85.28,6,0
20100802,82.7,83.82,82.7,83.82,75,0
20100804,82.55,82.55,82.55,82.55,60,0
20100805,83.02,83.02,82.03,82.03,120,0
20100810,83.35,83.56,83.35,83.56,32,0
20100812,88.5,88.5,88.5,88.5,26,0
20100818,83.51,83.51,82.94,82.94,19,0
20100826,84.88,84.88,84.78,84.78,61,0
20100902,83.86,83.86,83.86,83.86,30,0
20100914,81.52,81.52,81.52,81.52,50,0
20100915,81.24,81.24,81.24,81.24,7,0
20100917,80.23,80.23,80.23,80.23,321,0
20100920,81.68,81.68,81.65,81.66,2420,0
20100921,78.38,78.38,78.38,78.38,7,0
20100922,80.71,80.71,80.62,80.62,100,0
20100929,81.26,81.26,81.26,81.26,100,0
20100930,81.5,81.5,81.5,81.5,100,0
20101001,79.52,79.52,79.34,79.34,215,0
20101004,79.82,79.82,79.65,79.65,85,0
20101006,75.83,75.83,75.83,75.83,7,0
20101007,76.98,79.41,76.98,79.41,280,0
20101013,78.64,78.73,76.78,76.78,270,0
20101014,75.69,75.69,75.69,75.69,100,0
20101018,75.91,75.91,75.91,75.91,11,0
20101019,79.5,79.5,79.5,79.5,20,0
20101021,76.23,76.23,76.23,76.23,4,0
20101027,76.39,76.39,76.39,76.39,10,0
20101029,77.13,77.13,77.13,77.13,20,0
20101104,73.15,73.15,72.25,72.25,1646,0
20101105,74.11,74.11,74.11,74.11,100,0
20101110,74.1,74.1,74.1,74.1,100,0
20101112,75.87,75.87,75.5,75.5,802,0
20101115,75.21,75.21,75.21,75.21,1598,0
