Date,Open,High,Low,Close,Volume,OpenInt
20120201,110,110,110,110,13,0
20120208,109.15,109.38,109.11,109.11,14,0
20120214,106.24,109.62,106.24,109.62,101,0
20120215,105.83,105.83,105,105,304,0
20120423,121.72,121.72,121.72,121.72,100,0
20120424,122,122,121,121,175,0
20120517,121,121.81,120.43,121.81,124,0
20120523,125,125.08,125,125.08,102,0
20120524,127.38,127.38,125.35,125.35,200,0
20120525,127,127.5,127,127.5,175,0
20120601,125.38,125.38,125.38,125.38,100,0
20120613,115.34,115.34,115.34,115.34,14,0
20120626,113.74,113.74,113.74,113.74,100,0
20120627,113.99,113.99,113.99,113.99,100,0
20120628,114.16,114.16,114.16,114.16,100,0
20120725,118.6,118.6,118.6,118.6,200,0
20120730,115.21,115.21,115.21,115.21,1,0
20120806,112.3,112.3,112.3,112.3,1,0
20120807,110.01,110.01,110.01,110.01,200,0
20120809,110.19,110.19,107.97,107.97,21,0
20120810,108.28,108.28,108.28,108.28,1,0
20120816,107.09,107.09,106.96,106.96,2,0
20120817,106.6,107.98,106.6,107.98,39,0
20120821,108.34,108.34,108.34,108.34,1,0
20120822,108.29,108.63,108.29,108.63,30,0
20120823,108.35,108.35,108.35,108.35,1,0
20120827,107.9,107.9,107.9,107.9,10,0
20120830,125,125,125,125,1,0
20120831,110.55,110.55,108.88,109.37,116,0
20120903,108.55,108.55,108.55,108.55,8,0
20120910,105.81,105.81,105.81,105.81,113,0
20120913,105.43,105.43,105.18,105.18,90,0
20120914,102.15,102.15,102.15,102.15,56,0
20120917,103,103,102.35,102.38,25,0
20121002,102.71,102.71,102.71,102.71,100,0
20121011,103.49,103.49,103.49,103.49,20,0
20121022,105.67,105.67,105.67,105.67,21,0
20121024,107.01,107.01,106.94,106.94,31,0
20121026,107.69,107.69,107.69,107.69,80,0
20121029,107,107,107,107,70,0
20121031,106.27,106.27,106.27,106.27,300,0
20121105,106.83,106.83,106.83,106.83,380,0
20121106,106.58,106.58,106.58,106.58,100,0
20121109,108.13,108.13,108.13,108.13,10,0
20121113,106.2,106.2,106.2,106.2,30,0
20121114,105.39,105.39,105.39,105.39,100,0
20121206,101,101,101,101,380,0
20121217,98.86,98.86,98.86,98.86,7,0
20130103,95.7,95.7,95.7,95.7,20,0
20130110,97.45,97.45,97.45,97.45,20,0
20130222,103.9,103.9,103.9,103.9,10,0
20130225,102.7,102.7,102.7,102.7,12,0
20130319,103.55,103.55,103.55,103.55,50,0
20130423,112.08,112.08,112.08,112.08,50,0
20130502,109.71,109.71,109.71,109.71,10,0
20130529,103.17,103.17,103.17,103.17,236,0
20130627,114.1,114.1,114.1,114.1,25,0
20130827,102.2,102.2,102.2,102.2,150,0
20131003,98.68,98.68,98.68,98.68,150,0
20131016,95.49,95.49,95.49,95.49,58,0
20131021,95.06,95.06,95.06,95.06,58,0
20131119,91.55,91.55,91.14,91.14,4,0
20131204,95.2,95.2,95.2,95.2,4,0
20140225,95.27,95.27,95.27,95.27,10,0
20140306,96.99,96.99,96.99,96.99,10,0
20140314,103.56,103.56,103.56,103.56,59,0
20140317,101.36,101.36,101.36,101.36,59,0
20140324,101.23,101.23,101.02,101.02,25,0
20140325,100.48,100.48,100.36,100.36,25,0
20140612,96.35,96.35,96.35,96.35,150,0
20140808,102.28,102.28,102.28,102.28,150,0
20140911,93.87,93.87,93.87,93.87,200,0
20140925,93.17,93.17,93.17,93.17,20,0
20141020,97.71,97.71,97.71,97.71,20,0
20141021,97.1,97.1,97.1,97.1,200,0
20141124,96.01,96.01,96.01,96.01,200,0
20141125,97.29,97.29,97.29,97.29,15,0
20141219,101.33,101.33,101.33,101.33,2,0
