Date,Open,High,Low,Close,Volume,OpenInt
20140402,16.5,16.5,16.5,16.5,5,5
20140404,16.48,16.5,16.48,16.5,25,30
20140407,16.1,16.22,16.1,16.2,18,48
20140411,15.54,15.9,15.54,15.9,3,50
20140423,15.5,15.5,15.5,15.5,3,50
20140425,15.4,15.4,15.4,15.4,5,57
20140512,13.84,14.55,13.84,14.55,2,58
20140514,14.98,15,14.7,14.92,17,75
20140516,14.6,14.6,14.6,14.6,3,78
20140520,15.1,15.1,15.1,15.1,2,80
20140521,14.96,14.96,14.8,14.86,12,91
20140522,15.52,15.56,15.52,15.56,6,97
20140523,15.75,15.76,15.75,15.76,12,109
20140526,15.72,15.74,15.55,15.74,21,130
20140527,15.57,15.57,15.57,15.57,1,131
20140529,15.5,15.64,15.5,15.64,3,134
20140530,15.71,15.71,15.69,15.69,5,139
20140602,15.79,15.95,15.79,15.95,4,143
20140603,15.95,16,15.9,16,4,147
20140604,15.95,16,15.95,16,7,154
20140605,16.1,16.58,16.1,16.55,7,159
20140606,17.65,17.65,17.3,17.4,23,177
20140609,17.45,17.58,17.45,17.5,17,194
20140610,17.26,17.5,17.26,17.3,16,209
20140611,17.2,17.26,17.1,17.15,23,232
20140612,17.1,17.2,17.05,17.05,12,244
20140613,17,17,16.9,16.9,6,250
20140616,16.81,16.81,16.65,16.65,3,253
20140617,17.1,17.12,16.95,17.12,12,265
20140618,17.2,17.3,17.1,17.3,27,290
20140623,17.05,17.15,16.7,17.15,41,324
20140624,17.02,17.02,16.5,16.5,19,341
20140625,16.29,16.35,15.5,15.5,93,293
20140626,15.69,15.81,15.25,15.76,36,265
20140630,15.34,15.39,14.91,15.39,19,253
20140701,15.85,15.85,15.8,15.8,2,253
20140702,15.7,15.99,15.7,15.99,14,263
20140703,15.8,15.95,15.59,15.6,19,275
20140707,15.75,15.75,15.75,15.75,2,277
20140708,15.89,15.89,15.89,15.89,5,282
20140714,15.81,15.81,15.81,15.81,3,285
20140717,15.59,15.59,15.59,15.59,1,286
20140721,15.8,15.81,15.8,15.81,7,293
20140723,16.12,16.29,16.12,16.29,2,293
20140728,16,16.12,16,16.12,4,294
20140729,16,16.19,16,16.19,3,297
20140730,15.99,16.1,15.99,16.1,4,295
20140731,15.99,15.99,15.99,15.99,1,295
20140805,15.84,15.84,15.8,15.8,7,291
20140806,15.8,16.2,15.5,16.2,9,299
20140808,14.65,14.99,14.43,14.99,20,310
20140811,14.97,14.97,14.75,14.75,14,310
20140812,14.93,14.95,14.91,14.95,5,311
20140813,15.09,15.25,15,15.15,8,314
20140814,15.49,15.49,15.41,15.41,2,312
20140818,15.89,15.89,15.78,15.78,23,331
20140819,15.81,15.98,15.81,15.98,14,342
20140820,16,16.35,16,16.35,18,350
20140821,16.8,16.8,16.55,16.55,7,354
20140826,16.2,16.29,16.2,16.29,7,361
20140827,16.2,16.4,16.2,16.4,3,364
20140828,16,16.48,16,16.48,5,365
20140829,15.95,16.19,15.95,16.19,2,367
20140902,15.61,15.9,15.61,15.89,10,369
20140903,15.71,15.9,15.71,15.9,5,370
20140904,16.27,16.39,16.27,16.39,2,372
20140905,16.4,16.4,16.4,16.4,6,377
20140908,16.4,16.4,16.4,16.4,4,381
20140909,16.6,16.9,16.6,16.9,11,385
20140910,16.6,16.6,16.6,16.6,1,385
20140911,17.35,17.4,17.35,17.4,5,390
20140917,17.38,17.38,17.38,17.38,10,388
20140918,17.35,17.35,17.35,17.35,1,388
20140919,16.7,17.21,16.7,17.2,14,388
20140922,17.05,17.05,17,17,2,388
20140923,17,17.01,16.9,17.01,6,388
20140930,16.89,17.06,16.89,17.06,18,401
20141002,16.75,16.99,16.5,16.99,17,405
20141003,16.94,16.94,16.94,16.94,1,406
20141006,17.25,17.27,17.2,17.27,19,401
20141007,17.39,17.39,17.25,17.29,8,409
20141009,17,17,17,17,1,408
20141010,17.15,17.15,16.4,16.89,24,404
20141013,16.65,16.65,16.2,16.49,22,407
20141014,16.26,16.26,15.75,16.05,28,418
20141015,15.96,16.05,15.57,15.79,8,419
20141016,15.7,15.89,15.36,15.8,32,419
20141020,16.5,17,16.41,16.5,18,418
20141021,16.6,16.6,16.51,16.51,10,422
20141022,16.6,16.6,16.6,16.6,4,419
20141023,16.99,16.99,16.63,16.63,6,421
20141024,16.83,16.83,16.73,16.73,2,421
20141027,17,17,16.75,16.86,13,414
20141028,16.86,16.86,16.86,16.86,5,414
