Date,Open,High,Low,Close,Volume,OpenInt
20140818,21.6,21.6,21.6,21.6,1,1
20140828,20.96,20.96,20.96,20.96,1,0
20140903,21.45,21.85,21.45,21.85,11,11
20140904,22.05,22.39,22.05,22.39,4,15
20140910,22.05,22.05,22.02,22.02,2,14
20140911,21.55,21.55,21,21.1,6,9
20140915,22.2,22.2,22.2,22.2,1,10
20140923,21.5,21.5,21.5,21.5,1,9
20140924,21.5,21.5,21.5,21.5,1,9
20140925,21.5,21.5,21.5,21.5,6,3
20140929,20.62,20.62,20.62,20.62,2,3
20141016,21.3,21.3,21.3,21.3,1,3
20141023,21.46,21.46,21.46,21.46,1,3
20141024,22.51,22.51,22.51,22.51,1,4
20141105,22.13,22.13,21.77,21.77,2,5
20141114,20.9,20.9,20.9,20.9,1,5
20141119,20.65,20.65,20.65,20.65,1,6
20141120,20.3,20.3,20.3,20.3,1,6
20141125,20.24,20.24,20.24,20.24,1,7
20141126,20.24,20.24,20.24,20.24,1,7
20141127,20.1,20.1,19.67,19.67,21,26
20141128,19.5,19.5,19.5,19.5,1,25
20141201,19.66,19.93,19.66,19.93,2,26
20141202,20,20.45,20,20.45,8,29
20141203,20.2,20.2,20.2,20.2,1,30
20141204,20.2,20.2,20.04,20.04,4,33
20141205,20.03,20.03,19.99,19.99,2,33
20141208,19.94,20,19.94,20,2,34
20141209,19.61,19.61,19.2,19.2,17,37
20141210,19.4,19.4,19.36,19.36,16,37
20141211,19.6,19.68,19.6,19.68,6,37
20141212,19.7,19.97,19.6,19.97,33,67
20141215,19.41,19.41,19.25,19.25,13,80
20141216,19.2,19.2,18.61,18.65,11,87
20141217,18.7,19.1,18.65,18.65,43,123
20141218,19.1,19.18,18.91,19.18,23,144
20141219,19.3,19.4,18.54,18.55,70,177
20141222,18.55,18.9,18.3,18.67,162,214
20141223,18.86,19.26,18.83,18.98,40,196
20141229,19.36,19.5,18.61,18.72,78,220
20141230,18.71,19.07,18.59,18.98,76,228
