Date,Open,High,Low,Close,Volume,OpenInt
20140922,329,329.95,329,329.95,4,3
20140923,328.5,328.5,328.5,328.5,1,2
20140924,330.33,330.33,330.33,330.33,1,3
20140925,332,332,332,332,5,8
20140926,331.15,331.15,331.15,331.15,2,10
20140929,333.43,333.43,333.43,333.43,1,11
20140930,335,335,335,335,5,16
20141001,335.39,335.39,335.39,335.39,1,17
20141002,334.85,334.85,334.85,334.85,1,16
20141003,334.85,338,334.85,338,7,19
20141006,337.6,337.6,337.5,337.5,2,21
20141007,335.5,335.5,335.5,335.5,1,20
20141008,334.85,334.85,334.85,334.85,1,19
20141009,331.45,331.45,331.45,331.45,5,14
20141010,334.2,334.2,334.2,334.2,1,15
20141015,332.87,333.5,332.87,333,21,31
20141016,332.8,332.8,332.8,332.8,250,281
20141022,336.4,336.4,336.1,336.1,6,281
20141027,336.88,336.88,336.88,336.88,1,282
20141028,334.88,334.88,334.88,334.88,1,283
20141030,338.88,339.33,337.04,337.04,6,284
20141031,339.89,340,339.32,339.32,22,265
20141103,341.4,341.4,341.4,341.4,5,265
20141104,340.73,340.73,339.2,339.2,13,265
20141107,343.8,344.14,340.05,340.05,14,265
20141112,342.8,342.8,341.48,341.48,3,265
20141113,342.51,342.51,342.51,342.51,1,265
20141114,343.2,343.2,342.02,342.02,7,265
20141117,341.53,341.53,341.53,341.53,1,265
20141118,340.61,340.62,340.09,340.09,9,267
20141119,340.19,340.19,340.01,340.01,2,266
20141120,340.25,340.25,339.52,339.52,3,265
20141121,340.24,341.99,340.24,341.21,14,266
20141124,341.75,341.86,340.76,340.76,15,270
20141125,341.19,341.19,337.06,337.06,12,269
20141126,338.54,338.56,338,338,4,270
20141127,338.49,338.49,338.49,338.49,5,271
20141201,339.55,339.55,338.05,338.18,8,275
20141202,339.33,339.33,339.33,339.33,1,275
20141203,340.99,340.99,340.04,340.04,6,276
20141204,339.43,339.43,337.3,337.3,6,276
20141205,339.9,342.39,339.9,341.42,10,275
20141208,343.16,343.35,341.79,341.79,4,274
20141209,341.55,341.55,338,338,7,271
20141211,340.1,340.42,340.1,340.42,3,271
20141212,340.11,340.11,338.53,338.53,89,271
20141215,339.57,339.7,339.57,339.7,2,273
20141216,339.64,340,339.16,340,4,272
20141217,341.95,343.9,341.95,343.9,12,281
20141218,346,349.79,345.9,349.18,21,285
20141219,348.75,352.6,348.75,351,20,301
20141222,350.6,351.41,350.6,351.22,17,301
20141223,352.47,356.11,352.47,355.85,13,302
20141229,355.98,355.98,355.42,355.42,8,305
20141230,356,357.48,355.8,355.8,3,302
