Date,Open,High,Low,Close,Volume,OpenInt
20140623,2470,2470,2432,2454,113,22
20140624,2456,2456,2446,2446,5,24
20140625,2440,2440,2414,2414,55,70
20140626,2416,2417,2387,2388,35,86
20140627,2394,2397,2389,2389,15,88
20140630,2395,2395,2394,2394,6,94
20140701,2394,2400,2389,2399,19,94
20140702,2398,2399,2369,2373,255,341
20140703,2361,2362,2349,2357,39,359
20140704,2367,2367,2366,2366,2,360
20140707,2362,2375,2362,2375,2,360
20140708,2375,2378,2361,2361,18,375
20140709,2341,2341,2330,2333,4,376
20140710,2341,2346,2308,2346,24,386
20140711,2350,2364,2350,2364,3,387
20140714,2366,2366,2366,2366,1,388
20140715,2374,2385,2374,2385,10,390
20140716,2384,2387,2380,2380,7,394
20140717,2367,2389,2367,2389,2,394
20140722,2399,2399,2399,2399,2,396
20140723,2383,2402,2383,2402,4,397
20140724,2396,2400,2388,2399,18,408
20140725,2388,2396,2388,2396,2,408
20140728,2392,2392,2387,2391,21,409
20140730,2358,2358,2329,2330,8,415
20140731,2321,2331,2305,2310,30,421
20140801,2309,2327,2288,2327,28,428
20140804,2340,2342,2339,2341,38,427
20140805,2350,2352,2344,2347,4,430
20140806,2337,2341,2323,2341,10,428
20140807,2335,2335,2313,2316,6,431
20140808,2298,2304,2287,2293,13,436
20140811,2318,2318,2316,2316,2,435
20140812,2323,2323,2320,2321,4,434
20140813,2337,2359,2336,2359,14,429
20140814,2362,2391,2362,2390,20,423
20140818,2399,2428,2399,2428,17,430
20140819,2425,2427,2413,2427,15,428
20140820,2419,2431,2419,2431,8,425
20140821,2433,2437,2429,2429,5,428
20140822,2426,2426,2415,2415,3,429
20140825,2425,2430,2421,2429,10,426
20140826,2432,2453,2432,2453,15,419
20140827,2455,2455,2435,2441,70,402
20140828,2432,2432,2377,2382,59,395
20140829,2386,2399,2386,2399,12,394
20140901,2403,2417,2403,2417,6,394
20140902,2425,2431,2421,2431,14,395
20140903,2438,2502,2438,2498,139,367
20140904,2495,2526,2494,2523,35,364
20140905,2517,2519,2517,2517,10,354
20140908,2525,2535,2516,2528,20,364
20140909,2534,2539,2529,2529,3,364
20140910,2521,2526,2514,2516,9,366
20140911,2531,2531,2487,2500,18,372
20140912,2489,2496,2489,2494,6,376
20140915,2489,2498,2484,2498,14,387
20140916,2502,2521,2493,2521,8,387
20140917,2526,2534,2526,2530,19,396
20140918,2528,2528,2509,2516,85,452
20140919,2525,2560,2524,2560,73,412
20140922,2539,2545,2538,2538,36,410
20140923,2532,2534,2495,2495,44,406
20140924,2508,2508,2485,2492,39,408
20140925,2510,2516,2482,2482,27,407
20140926,2477,2495,2477,2495,71,416
20140929,2502,2517,2479,2479,20,411
20140930,2512,2516,2503,2515,9,414
20141001,2507,2507,2471,2471,13,414
20141002,2456,2461,2450,2453,12,419
20141003,2463,2465,2460,2460,113,421
20141006,2472,2472,2458,2458,2,420
20141007,2448,2458,2444,2455,13,422
20141008,2440,2440,2420,2420,37,416
20141009,2438,2445,2429,2430,16,421
20141010,2409,2418,2400,2400,18,425
20141013,2392,2415,2392,2399,16,427
20141014,2404,2412,2384,2412,105,519
20141015,2413,2414,2370,2384,75,575
20141016,2385,2392,2358,2392,33,588
20141017,2393,2406,2387,2406,9,591
20141020,2407,2407,2390,2393,37,598
20141021,2382,2428,2382,2428,37,598
20141022,2434,2435,2427,2434,13,594
20141023,2440,2443,2430,2437,9,595
20141024,2437,2444,2432,2432,12,598
20141027,2435,2440,2435,2440,7,598
20141028,2440,2459,2440,2458,11,598
20141029,2461,2463,2457,2457,5,599
20141030,2447,2447,2425,2446,10,603
20141031,2468,2475,2464,2464,6,605
20141103,2457,2464,2457,2464,5,606
20141104,2460,2476,2460,2473,15,608
20141105,2463,2478,2460,2466,17,614
20141106,2435,2435,2435,2435,1,615
20141107,2436,2436,2418,2419,9,622
20141110,2419,2420,2412,2412,23,628
20141112,2405,2418,2405,2409,20,631
20141113,2415,2415,2394,2394,14,637
20141114,2394,2420,2392,2420,33,656
20141117,2415,2427,2414,2425,24,655
20141118,2429,2429,2429,2429,1,655
20141119,2418,2422,2415,2422,6,655
20141120,2412,2412,2393,2399,23,654
20141121,2406,2425,2406,2424,14,662
20141124,2435,2435,2435,2435,1,662
20141125,2401,2421,2401,2415,14,667
20141126,2416,2423,2411,2423,11,672
20141127,2424,2429,2424,2429,6,675
20141128,2424,2424,2417,2421,22,681
20141201,2405,2422,2402,2422,30,687
20141202,2426,2444,2426,2444,6,690
20141203,2445,2446,2440,2445,6,693
20141204,2447,2456,2424,2424,108,698
20141205,2426,2438,2426,2438,9,701
20141208,2440,2443,2430,2431,15,708
20141209,2418,2418,2391,2391,29,718
20141210,2399,2399,2370,2370,17,718
20141211,2370,2380,2360,2378,16,726
20141212,2373,2373,2359,2359,12,737
20141215,2356,2365,2319,2319,72,738
20141216,2319,2319,2250,2268,197,809
20141217,2268,2305,2265,2292,88,840
20141218,2310,2329,2310,2316,90,877
20141219,2336,2336,2290,2305,95,879
20141222,2313,2326,2309,2326,196,847
20141223,2325,2334,2320,2324,68,832
20141229,2327,2327,2290,2300,43,824
20141230,2297,2309,2288,2305,115,822
