Date,Open,High,Low,Close,Volume,OpenInt
20140325,1.091,1.104,1.091,1.104,0,0
20140326,1.104,1.114,1.104,1.113,0,0
20140327,1.112,1.115,1.107,1.107,0,0
20140328,1.107,1.107,1.099,1.104,0,0
20140331,1.104,1.111,1.104,1.109,0,0
20140401,1.109,1.115,1.109,1.114,0,0
20140402,1.152,1.156,1.151,1.152,0,0
20140403,1.154,1.156,1.147,1.147,0,0
20140404,1.145,1.147,1.143,1.147,0,0
20140407,1.147,1.147,1.132,1.134,0,0
20140408,1.134,1.135,1.128,1.132,0,0
20140409,1.133,1.138,1.133,1.136,0,0
20140410,1.136,1.142,1.136,1.14,0,0
20140411,1.14,1.14,1.129,1.134,0,0
20140414,1.134,1.134,1.111,1.115,0,0
20140415,1.115,1.117,1.11,1.11,0,0
20140416,1.11,1.113,1.098,1.099,0,0
20140417,1.099,1.103,1.097,1.1,0,0
20140422,1.1,1.109,1.1,1.109,0,0
20140423,1.109,1.111,1.104,1.106,0,0
20140424,1.106,1.106,1.097,1.098,0,0
20140425,1.098,1.098,1.087,1.098,0,0
20140428,1.091,1.092,1.084,1.089,0,0
20140429,1.089,1.091,1.085,1.087,0,0
20140430,1.087,1.092,1.083,1.092,0,0
20140502,1.092,1.092,1.087,1.089,0,0
20140505,1.089,1.089,1.069,1.073,0,0
20140506,1.073,1.074,1.064,1.065,0,0
20140507,1.064,1.064,1.042,1.054,0,0
20140508,1.054,1.057,1.051,1.053,0,0
20140509,1.053,1.055,1.04,1.04,0,0
20140512,1.04,1.041,1.033,1.037,0,0
20140513,1.037,1.044,1.037,1.041,0,0
20140514,1.041,1.045,1.039,1.044,0,0
20140515,1.044,1.05,1.044,1.047,0,0
20140516,1.047,1.047,1.039,1.044,0,0
20140519,1.044,1.047,1.041,1.044,0,0
20140520,1.044,1.048,1.044,1.047,0,0
20140521,1.047,1.051,1.046,1.046,0,0
20140522,1.046,1.051,1.046,1.051,0,0
20140523,1.051,1.056,1.051,1.053,0,0
20140526,1.053,1.066,1.053,1.066,0,0
20140527,1.066,1.068,1.06,1.06,0,0
20140528,1.06,1.063,1.059,1.062,0,0
20140529,1.062,1.066,1.061,1.066,0,0
20140530,1.066,1.072,1.064,1.072,0,0
20140602,1.072,1.074,1.068,1.071,0,0
20140603,1.076,1.078,1.074,1.077,0,0
20140604,1.072,1.072,1.066,1.069,0,0
20140605,1.069,1.072,1.069,1.072,0,0
20140606,1.072,1.074,1.07,1.074,0,0
20140609,1.074,1.077,1.072,1.075,0,0
20140610,1.077,1.077,1.077,1.077,0,0
20140611,1.076,1.079,1.069,1.072,0,0
20140612,1.071,1.074,1.066,1.067,0,0
20140613,1.067,1.068,1.061,1.064,0,0
20140616,1.064,1.064,1.054,1.058,0,0
20140617,1.058,1.062,1.055,1.055,0,0
20140618,1.055,1.058,1.052,1.057,0,0
20140620,1.057,1.059,1.056,1.059,0,0
20140623,1.059,1.06,1.054,1.059,0,0
20140624,1.056,1.057,1.051,1.056,0,0
20140625,1.061,1.061,1.046,1.049,0,0
20140626,1.049,1.054,1.045,1.046,0,0
20140627,1.045,1.057,1.045,1.057,0,0
20140630,1.057,1.06,1.052,1.056,0,0
20140701,1.044,1.044,1.036,1.037,0,0
20140702,1.051,1.052,1.038,1.041,0,0
20140703,1.041,1.042,1.029,1.033,0,0
20140704,1.033,1.037,1.033,1.036,0,0
20140707,1.036,1.037,1.033,1.034,0,0
20140708,1.034,1.036,1.031,1.032,0,0
20140709,1.032,1.034,1.027,1.03,0,0
20140710,1.029,1.029,1.018,1.019,0,0
20140711,1.016,1.025,1.016,1.025,0,0
20140714,1.025,1.029,1.025,1.025,0,0
20140715,1.025,1.025,1.019,1.019,0,0
20140716,1.019,1.021,1.012,1.015,0,0
20140717,1.015,1.016,1.009,1.013,0,0
20140718,1.013,1.013,1.007,1.013,0,0
20140721,1.013,1.013,1.004,1.007,0,0
20140722,1.007,1.008,1.002,1.006,0,0
20140723,1.006,1.009,1.006,1.007,0,0
20140724,1.007,1.009,1.004,1.006,0,0
20140725,1.006,1.006,0.999,1,0,0
20140728,1,1.001,0.995,0.998,0,0
20140729,0.998,1.004,0.993,1.004,0,0
20140730,1.004,1.004,0.989,0.991,0,0
20140731,0.985,0.987,0.98,0.987,0,0
20140801,0.987,0.987,0.978,0.985,0,0
20140804,0.985,0.989,0.985,0.989,0,0
20140805,0.989,0.991,0.984,0.987,0,0
20140806,0.987,0.988,0.971,0.974,0,0
20140807,0.974,0.974,0.958,0.961,0,0
20140808,0.961,0.961,0.946,0.95,0,0
20140811,0.95,0.957,0.95,0.956,0,0
20140812,0.956,0.957,0.952,0.955,0,0
20140813,0.955,0.957,0.952,0.956,0,0
20140814,0.956,0.957,0.952,0.955,0,0
20140818,0.955,0.962,0.954,0.962,0,0
20140819,0.962,0.967,0.961,0.963,0,0
20140820,0.964,0.966,0.961,0.964,0,0
20140821,0.963,0.971,0.963,0.971,0,0
20140822,0.971,0.975,0.971,0.975,0,0
20140825,0.975,0.979,0.972,0.976,0,0
20140826,0.976,0.977,0.973,0.976,0,0
20140827,0.976,0.979,0.973,0.976,0,0
20140828,0.976,0.977,0.953,0.956,0,0
20140829,0.956,0.963,0.955,0.961,0,0
20140901,0.961,0.964,0.957,0.959,0,0
20140902,0.959,0.962,0.953,0.956,0,0
20140903,0.956,0.967,0.955,0.967,0,0
20140904,0.967,0.973,0.967,0.973,0,0
20140905,0.973,0.98,0.973,0.977,0,0
20140908,0.977,0.987,0.977,0.987,0,0
20140909,0.987,0.99,0.984,0.989,0,0
20140910,0.989,0.993,0.989,0.992,0,0
20140911,0.992,1.003,0.992,1.003,0,0
20140912,1.003,1.012,1.003,1.012,0,0
20140915,1.012,1.015,1.011,1.012,0,0
20140916,1.012,1.017,1.012,1.017,0,0
20140917,1.017,1.023,1.017,1.022,0,0
20140918,1.022,1.025,1.018,1.02,0,0
20140919,1.02,1.028,1.02,1.028,0,0
20140922,1.028,1.033,1.028,1.032,0,0
20140923,1.028,1.028,1.02,1.02,0,0
20140924,1.02,1.021,1.014,1.015,0,0
20140925,1.015,1.019,1.01,1.017,0,0
20140926,1.017,1.019,1.015,1.019,0,0
20140929,1.019,1.024,1.017,1.024,0,0
