Date,Open,High,Low,Close,Volume,OpenInt
20120601,103720.31,103826.47,102657.59,103826.47,0,0
20120604,103826.47,105051.6,101139.95,105051.6,0,0
20120605,104999.08,105049.83,104415.88,104480.58,0,0
20120606,104480.58,106382.1,102815.57,106382.1,0,0
20120608,106382.1,106597.93,104963.13,105080.84,0,0
20120611,105080.84,106406.48,104718.43,106273.8,0,0
20120612,106273.8,106339.76,103814.26,105026.67,0,0
20120613,104336.84,104857.87,103579.4,104834.13,0,0
20120614,104834.13,104895.62,103194.49,103992.28,0,0
20120615,103992.28,104141.26,102410.43,103191.96,0,0
20120618,103191.96,106831.09,103191.96,104274.88,0,0
20120619,111906.99,113595.81,111572.14,113595.81,0,0
20120620,113595.81,113679.39,112436.23,112436.23,0,0
20120621,112436.23,112475.03,111611.19,111611.19,0,0
20120622,111611.19,112250.08,110942.1,111033.57,0,0
20120625,111033.57,111389.91,109460.66,109561.72,0,0
20120626,109561.72,111248.68,109561.72,111012.96,0,0
20120627,111012.96,111168.35,109647.77,110497.99,0,0
20120628,110418.79,110418.79,106841.06,108817.49,0,0
20120629,108797.69,109216.2,106815.85,107564.47,0,0
20120702,107564.47,111838.06,107564.47,111838.06,0,0
20120703,111838.06,111838.06,109489.85,109755.25,0,0
20120704,109755.25,109755.25,107265.81,107821.59,0,0
20120705,107826.56,108339.04,107213.39,108039.95,0,0
20120706,108039.95,108172.94,107507.67,107849.88,0,0
20120709,107626.7,107947.68,106640.45,107947.68,0,0
20120710,107947.68,108438.82,107688.28,108438.82,0,0
20120711,108397.34,108873.02,108048.32,108873.02,0,0
20120712,108873.02,110016.89,108839.38,108976.74,0,0
20120713,108976.74,110156.2,108976.74,109949.85,0,0
20120716,109949.85,110679.26,109949.85,110339.4,0,0
20120717,110339.4,110960.26,110313.15,110960.26,0,0
20120718,110960.26,111416.49,110223.36,110877.51,0,0
20120719,110877.51,111360.37,110452.3,110524.24,0,0
20120720,110524.24,110524.24,108662.65,109470.51,0,0
20120723,109470.51,109470.51,108080.93,108871.58,0,0
20120724,108871.58,109059.76,108678.1,109059.76,0,0
20120725,109059.76,109519.04,108831.39,109480.39,0,0
20120726,109480.39,110443.49,108441.02,110443.49,0,0
20120727,110443.49,110522.04,108836.74,109347.6,0,0
20120730,109347.6,109982.35,108842.88,109930.91,0,0
20120731,109930.91,109930.91,108439.59,109134.6,0,0
20120801,109134.6,109222.71,107335.81,107795.19,0,0
20120802,107795.19,108494.64,107380.21,107521.55,0,0
20120803,107521.55,108738.89,107434.11,108737.25,0,0
20120806,108737.25,109031.09,108156.09,108635.34,0,0
20120807,108640.83,109740.86,108464.85,109676.76,0,0
20120808,109676.76,111183.75,109114.3,111128.33,0,0
20120809,111128.33,111196.47,110440.76,111094,0,0
20120810,111094,112831.84,111093.5,111095.12,0,0
20120813,112094.2,112822,111502.25,111874.91,0,0
20120814,112082.85,113000.15,112081.21,112842.45,0,0
20120816,112842.45,114032.87,112842.45,113426.26,0,0
20120817,113417.94,113794.49,110844.76,111246.34,0,0
20120820,111246.34,112159.16,111201.58,112126.61,0,0
20120821,112126.61,113563.75,112125.15,113563.75,0,0
20120822,113563.75,114980.63,112856.25,113330.94,0,0
20120823,113330.94,114317.18,113330.94,113882,0,0
20120824,113882,115951.58,113255.08,115939.18,0,0
20120827,115939.18,115939.18,115110.9,115809.7,0,0
20120828,115809.7,115814.73,113627.63,114661.9,0,0
20120829,114661.9,114879.07,113488.82,114879.07,0,0
20120830,114879.07,114879.07,113888.98,114191.01,0,0
20120831,114191.01,116571.67,114058.15,116546.39,0,0
20120903,116546.39,117546.13,116017.68,116484.66,0,0
20120904,116484.66,116484.66,116029.47,116469.79,0,0
20120905,116469.79,116579.95,113798.57,114125.49,0,0
20120906,114125.49,114472.13,113661.25,113880.85,0,0
20120907,113880.85,114745.52,113571.17,113917.3,0,0
20120910,113917.3,114561.15,113870.87,113941.64,0,0
20120911,113941.64,114915.62,111988.11,114915.62,0,0
20120912,114915.62,115223.21,113861.6,114378.56,0,0
20120913,114378.56,115058.25,114314.49,114404.42,0,0
20120914,114404.42,117101.09,114404.42,117072.08,0,0
20120917,117072.08,117330.43,115610.43,115705.55,0,0
20120918,115705.55,116511.93,113419.45,116511.93,0,0
20120919,116511.93,116638.48,113711.34,115186.92,0,0
20120920,115186.92,116171.19,113033.41,116153.44,0,0
20120921,116153.44,116172.11,114908.33,114908.33,0,0
20120924,114908.33,115802.94,114805.47,115802.94,0,0
20120925,115802.94,115910.12,115802.94,115900.81,0,0
20120926,108769.75,108794.19,106089.4,106376.13,0,0
20120927,106376.13,107129.11,106143.32,106409.15,0,0
20120928,106409.15,108133.05,106409.15,106486.01,0,0
20121001,106486.01,106914.78,105947.49,106335.73,0,0
